UniProtId,Label,Gene_Name,hgnc_symbol
Q16671,reviewed,AMHR2_HUMAN,AMHR2
Q92563,reviewed,TICN2_HUMAN,TICN2
A4IF30,reviewed,S35F4_HUMAN,S35F4
Q9NZD1,reviewed,GPC5D_HUMAN,GPC5D
Q8NFK1,reviewed,CXG3_HUMAN,CXG3
O76002,reviewed,OR2J2_HUMAN,OR2J2
Q9Y6V7,reviewed,DDX49_HUMAN,DDX49
P05538,reviewed,DQB2_HUMAN,DQB2
Q13316,reviewed,DMP1_HUMAN,DMP1
D6RCP7,reviewed,U17LJ_HUMAN,U17LJ
Q9ULC6,reviewed,PADI1_HUMAN,PADI1
Q96J94,reviewed,PIWL1_HUMAN,PIWL1
O60602,reviewed,TLR5_HUMAN,TLR5
Q9Y5I2,reviewed,PCDAA_HUMAN,PCDAA
Q495C1,reviewed,RN212_HUMAN,RN212
O00487,reviewed,PSDE_HUMAN,PSDE
A1L3X0,reviewed,ELOV7_HUMAN,ELOV7
Q92564,reviewed,DCNL4_HUMAN,DCNL4
Q96B23,reviewed,ARK2N_HUMAN,ARK2N
P19883,reviewed,FST_HUMAN,FST
Q9BW62,reviewed,KATL1_HUMAN,KATL1
O76001,reviewed,OR2J3_HUMAN,OR2J3
Q59GN2,reviewed,R39L5_HUMAN,R39L5
P07358,reviewed,CO8B_HUMAN,CO8B
Q9ULC5,reviewed,ACSL5_HUMAN,ACSL5
Q7RTS5,reviewed,OTOP3_HUMAN,OTOP3
O60603,reviewed,TLR2_HUMAN,TLR2
Q02742,reviewed,GCNT1_HUMAN,GCNT1
Q9Y5I3,reviewed,PCDA1_HUMAN,PCDA1
Q9BQP9,reviewed,BPIA3_HUMAN,BPIA3
P0DI82,reviewed,TPC2B_HUMAN,TPC2B
Q6RSH7,reviewed,VHLL_HUMAN,VHLL
P30566,reviewed,PUR8_HUMAN,PUR8
A2RUB6,reviewed,CCD66_HUMAN,CCD66
P51654,reviewed,GPC3_HUMAN,GPC3
Q92565,reviewed,RPGF5_HUMAN,RPGF5
Q9UNA4,reviewed,POLI_HUMAN,POLI
O76000,reviewed,OR2B3_HUMAN,OR2B3
Q8NBV4,reviewed,PLPP7_HUMAN,PLPP7
Q13310,reviewed,PABP4_HUMAN,PABP4
Q5SWW7,reviewed,CJ055_HUMAN,CJ055
P07359,reviewed,GP1BA_HUMAN,GP1BA
Q9ULC4,reviewed,MCTS1_HUMAN,MCTS1
Q96J92,reviewed,WNK4_HUMAN,WNK4
Q7RTS6,reviewed,OTOP2_HUMAN,OTOP2
Q9H582,reviewed,ZN644_HUMAN,ZN644
P13051,reviewed,UNG_HUMAN,UNG
P16066,reviewed,ANPRA_HUMAN,ANPRA
A0A0B4J2A2,reviewed,PAL4C_HUMAN,PAL4C
Q4G0J3,reviewed,LARP7_HUMAN,LARP7
Q567U6,reviewed,CCD93_HUMAN,CCD93
Q16674,reviewed,MIA_HUMAN,MIA
