InchiKey,Canonical_SMILES
ZUQBAQVRAURMCL-DOMZBBRYSA-N,C1[C@H](CNC2=C1C(=O)N=C(N2)N)CCC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
BCFGMOOMADDAQU-UHFFFAOYSA-N,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
VHXNKPBCCMUMSW-FQEVSTJZSA-N,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5[N+](=O)[O-])N=C4C3=C2)O
FJLRGFADCXTJNV-UHFFFAOYSA-N,CC(C(C1=CC2=C(C=C1)SCC2)O)NCCCCC3=CC=CC=C3
FJLRGFADCXTJNV-CAWMZFRYSA-N,CC([C@H](C1=CC2=C(C=C1)SCC2)O)NCCCCC3=CC=CC=C3
DDYJDIHOSRTMSE-FLIBITNWSA-N,CNC(=S)N/N=C\1/N(C(=O)CS1)CC=C
UVNHKOOJXSALHN-ILQPJIFQSA-N,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OCC5=CC=C(C=C5)C(=O)O)C
IZZYUABKZYIINT-UHFFFAOYSA-N,CC1=NSC(=C1)NC(=O)C(=O)C2=C3C=CC=CN3C(=C2)CC4=CC=C(C=C4)C#N
FUXVKZWTXQUGMW-FQEVSTJZSA-N,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O
ZYJBOSYROBLSKR-UHFFFAOYSA-N,CC1=NC2=CC=CC=C2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C6=CC(=C(C=C6Cl)F)S(=O)(=O)NC(C)(C)C)C7=CC(=CC=C7)F
NHUBNGBTNGRPMH-MFOYZWKCSA-N,C1=CC(=CC=C1C(=O)/C(=C/C2=C(C=C(C=C2)Cl)Cl)/N3C=CN=C3)Cl
LLVLMYRWABCVEU-UHFFFAOYSA-N,CC1=C2C(=CC(=C1N3CCC4=CC=CC=C4C3)N)C(=O)C(=CN2C5CC5)C(=O)O
OLCWFLWEHWLBTO-HSZRJFAPSA-N,C1[C@H](N(CC2=C(N1CC3=CN=CN3)C=CC(=C2)C#N)S(=O)(=O)C4=CC=CS4)CC5=CC=CC=C5
UARVFMMJGJJSNR-UHFFFAOYSA-N,CC(C)(C)NC(=O)NC1=C(C=C2C=NC(=NC2=N1)NC3=CC4=NSN=C4C=C3)C5=C(C=CC=C5Cl)Cl
YZQRAQOSAPWELU-UHFFFAOYSA-O,CC1=C2C=C[N+](=CC2=C(C3=C1NC4=C3C=C(C=C4)O)C)C
ZUQBAQVRAURMCL-IUODEOHRSA-N,C1[C@H](CNC2=C1C(=O)N=C(N2)N)CCC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O
ZUQBAQVRAURMCL-UHFFFAOYSA-N,C1C(CNC2=C1C(=O)N=C(N2)N)CCC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
ZHJGWYRLJUCMRT-QGZVFWFLSA-N,C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N
AYCPARAPKDAOEN-LJQANCHMSA-N,CC1=NC2=C(C(=N1)NC3=NNC4=C3CN(C4(C)C)C(=O)N[C@H](CN(C)C)C5=CC=CC=C5)SC=C2
QHADVLVFMKEIIP-UHFFFAOYSA-N,CC1=CC=C(C(=O)N1C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C(C=C5C(=C4)C=NN5C)C6=CNN=C6)F
JMOVFFLYGIQXMM-UHFFFAOYSA-N,CC1=CC(=C(C2=C1C=CC=N2)O)Br
YLJOVCWVJCDPLN-UHFFFAOYSA-N,CC(C)OP(=O)(C(CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)P(=O)(OC(C)C)OC(C)C)OC(C)C
HSQAARMBHJCUOK-UHFFFAOYSA-N,C1C2CC3CC1CC(C2)(C3)CNC(=O)C4=C(C=CC(=C4)CCCNCCCO)Cl
YVIUVYJJSZFGCX-LJQANCHMSA-N,CC(=O)N1C[C@H](C2=CC=CC=C21)CCN3CCC(=CC3)C4=CNC5=C4C=CC(=C5)Cl
DCRWIATZWHLIPN-UHFFFAOYSA-N,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C(C4=CC=C(C=C4)F)O
DCRWIATZWHLIPN-KRWDZBQOSA-N,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)[C@H](C4=CC=C(C=C4)F)O
JPOJKNJIKXMZRB-UHFFFAOYSA-N,C1C(=O)NCN1C(=O)C2=NN(C(=C2)C3=CC(=CC(=C3)Cl)F)C4=CC(=C(C=C4)F)Cl
QWLNINWUBHHOLU-UHFFFAOYSA-N,CN1C2=C(C(=C(C1=O)C(=O)NCCO)O)N=CC(=C2)CC3=CC=C(C=C3)F
XJHSMFDIQHVMCY-UHFFFAOYSA-M,C(C(C(=O)[O-])S)C(=O)O.[Au+]
IXWNTLSTOZFSCM-YVACAVLKSA-N,COC1=C(C=C(C=C1)/C=C\C2=CC(=C(C(=C2)OC)OC)OC)NC(=O)[C@H](CO)N
REOJLIXKJWXUGB-UHFFFAOYSA-N,CCCCC1C(=O)NN(C1=O)C2=CC=CC=C2
UJEAABFSXKCSGI-UHFFFAOYSA-N,C1CN(CCC1OC2=C(C=CC(=C2)F)Br)C3=NOC(=C3)C4=NN(N=N4)CC(=O)O
SYYBDNPGDKKJDU-ZDUSSCGKSA-N,CC1=CC(=C(C=C1Br)NC(=O)NC2=NC=C(N=C2)C)OC[C@@H]3CNCCO3
SYYBDNPGDKKJDU-UHFFFAOYSA-N,CC1=CC(=C(C=C1Br)NC(=O)NC2=NC=C(N=C2)C)OCC3CNCCO3
PRXXYMVLYKJITB-IZZDOVSWSA-N,CN1C=C(C=N1)C2=CC=C(C=C2)S(=O)(=O)N3C=CC(=C3)/C=C/C(=O)NC4=CC=CC=C4N
VFUXSYAXEKYYMB-UHFFFAOYSA-N,CCC1=C(C(=C(C=C1O)O)C(=O)C2=CC(=C(C=C2)OCCN3CCOCC3)OC)CC(=O)N(CCOC)CCOC
HXGBXQDTNZMWGS-RUZDIDTESA-N,C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
OGWKCGZFUXNPDA-CFWMRBGOSA-N,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
OGWKCGZFUXNPDA-VCNVWOPNSA-P,CC[C@@]1(CC2C[C@@](C3=C(CC[NH+](C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CC[NH+]9[C@H]7[C@@](C=CC9)(C([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
AHBKIEXBQNRDNL-UHFFFAOYSA-N,CC(=O)C12C(CC3C1(CCC4C3CCC5=CC(=O)CCC45C)C)OC(O2)(C)C6=CC=CC=C6
XKFTZKGMDDZMJI-HSZRJFAPSA-N,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)[C@@H](C5=CC=CC=C5)OC
LFUMGIOQKSBEQA-UHFFFAOYSA-N,C1CCC2=C(CC1)SC(=C2C#N)NC(=O)CCl
ZEUITGRIYCTCEM-QGZVFWFLSA-N,CNCC[C@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
GUBJNPWVIUFSTR-UHFFFAOYSA-N,CN(C)CC(=O)N1CCC(CC1)C2=CC(=C(C=C2)NC(=O)C3=NC=C(N3)C#N)C4=CCCCC4
ISZNZKHCRKXXAU-UHFFFAOYSA-N,CC(C)N=C(N)N=C(N)NC1=CC(=C(C=C1)Cl)Cl
JXLYSJRDGCGARV-CFWMRBGOSA-N,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
GDHMBNWVLWMONW-UHFFFAOYSA-N,C1CCC2=C(C1)C3=C(S2)N=C(NC3=O)CCl
CZRCFAOMWRAFIC-UHFFFAOYSA-N,CCCCCCCCCCCCCCOC1=CC=C(O1)C(=O)O
QXWKHSSBFQDQPR-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCNC1=CC=C(C=C1)C(=O)O
AOCCBINRVIKJHY-UHFFFAOYSA-N,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
JUSFANSTBFGBAF-IRXDYDNUSA-N,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOC[C@@H]5C
DOMWKUIIPQCAJU-LJHIYBGHSA-N,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C
DOMWKUIIPQCAJU-JKPPDDDBSA-N,CCCCCC(=O)O[C@@]1(CCC2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@]34C)C)C(=O)C
DOMWKUIIPQCAJU-RNAXJELESA-N,CCCCCC(=O)O[C@@]1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C
HHJUWIANJFBDHT-NYPCZBSSSA-N,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O
JWQOJVOKBAAAAR-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC
SYBONVBDFTYUQP-UHFFFAOYSA-N,C1CCCC2=C(CC1)C=C(C(=O)N2CC3CCCCC3)C(=O)NC4=NC(=CS4)CCC(=O)O
WYBNGERDAGUCOY-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=NOC(=C2)N3C=C(C4=CC=CC=C43)CN5C=CN=C5
WVLHHLRVNDMIAR-IBGZPJMESA-N,C1C[C@@H](C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3
WVLHHLRVNDMIAR-UHFFFAOYSA-N,C1CC(C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3
GWWLWDURRGNSRS-UHFFFAOYSA-N,CC1(C2=CC=CC=C2C(=CCCN(C)C)C3=CC=CC=C31)C
VSJKWCGYPAHWDS-FQEVSTJZSA-N,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
