drug_id,partner_id,gene_name,inhibitor,antagonist,agonist
DB00001,BE0000048,F2,1,0,0
DB00002,BE0000767,EGFR,0,1,0
DB00002,BE0000901,FCGR3B,0,0,0
DB00002,BE0002093,C1R,0,0,0
DB00002,BE0002094,C1QA,0,0,0
DB00002,BE0002095,C1QB,0,0,0
DB00002,BE0002096,C1QC,0,0,0
DB00002,BE0002097,FCGR3A,0,0,0
DB00002,BE0001529,C1S,0,0,0
DB00002,BE0000710,FCGR1A,0,0,0
DB00002,BE0002098,FCGR2A,0,0,0
DB00002,BE0002099,FCGR2B,0,0,0
DB00002,BE0002100,FCGR2C,0,0,0
DB00004,BE0000658,IL2RA,0,0,0
DB00004,BE0000651,IL2RB,0,0,1
DB00004,BE0002102,IL2RG,0,0,0
DB00005,BE0000704,TNF,0,0,0
DB00005,BE0000949,TNFRSF1B,0,0,0
DB00005,BE0000710,FCGR1A,0,0,0
DB00005,BE0002097,FCGR3A,0,0,0
DB00005,BE0002098,FCGR2A,0,0,0
DB00005,BE0002099,FCGR2B,0,0,0
DB00005,BE0002100,FCGR2C,0,0,0
DB00005,BE0001087,LTA,0,0,0
DB00005,BE0000901,FCGR3B,0,0,0
DB00005,BE0001529,C1S,0,0,0
DB00005,BE0002093,C1R,0,0,0
DB00005,BE0002094,C1QA,0,0,0
DB00005,BE0002095,C1QB,0,0,0
DB00005,BE0002096,C1QC,0,0,0
DB00006,BE0000048,F2,1,0,0
DB00007,BE0000203,GNRHR,0,0,1
DB00008,BE0000385,IFNAR2,0,0,1
DB00008,BE0000661,IFNAR1,0,0,1
DB00009,BE0000211,PLG,0,0,0
DB00009,BE0000538,FGA,0,0,0
DB00009,BE0000717,PLAUR,0,0,0
DB00009,BE0000240,SERPINE1,0,0,0
DB00010,BE0000625,GHRHR,0,0,1
DB00011,BE0000385,IFNAR2,0,0,1
DB00011,BE0000661,IFNAR1,0,0,1
DB00012,BE0000654,EPOR,0,0,1
DB00013,BE0000211,PLG,0,0,0
DB00013,BE0000717,PLAUR,0,0,0
DB00013,BE0000895,PLAU,0,0,0
DB00013,BE0001088,PLAT,0,0,0
DB00013,BE0000240,SERPINE1,0,0,0
DB00013,BE0000969,SERPINB2,0,0,0
DB00013,BE0002112,SERPINA5,0,0,0
DB00013,BE0000942,LRP2,0,0,0
DB00013,BE0001656,ST14,0,0,0
DB00013,BE0002113,NID1,0,0,0
DB00014,BE0000134,LHCGR,0,0,1
DB00014,BE0000203,GNRHR,0,0,1
DB00015,BE0000211,PLG,0,0,0
DB00015,BE0000538,FGA,0,0,0
DB00015,BE0000717,PLAUR,0,0,0
DB00015,BE0000240,SERPINE1,0,0,0
DB00016,BE0000654,EPOR,0,0,1
DB00017,BE0000431,CALCR,0,0,1
DB00018,BE0000661,IFNAR1,0,0,1
DB00018,BE0000385,IFNAR2,0,0,1
DB00019,BE0000793,CSF3R,0,0,1
