drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00027,BE0001032,ABCB1,0,0,1
DB00067,BE0001069,ABCC2,1,0,0
DB00091,BE0001032,ABCB1,1,1,1
DB00091,BE0001061,ABCC3,0,0,1
DB00091,BE0000703,ABCB11,0,0,1
DB00091,BE0003642,SLCO1A2,0,0,1
DB00091,BE0003643,SLC10A2,0,0,1
DB00091,BE0003644,SLC10A1,0,0,1
DB00091,BE0001066,SLC22A6,0,0,1
DB00091,BE0003651,ABCC10,0,0,1
DB00091,BE0001069,ABCC2,0,0,1
DB00091,BE0001067,ABCG2,0,0,1
DB00091,BE0001004,SLCO1B1,0,0,1
DB00091,BE0003659,SLCO1B3,0,0,1
DB00115,BE0000340,AMN,1,0,0
DB00115,BE0000238,TCN1,1,0,0
DB00115,BE0000362,TCN2,1,0,0
DB00115,BE0004690,GIF,1,0,0
DB00115,BE0000936,CUBN,1,0,0
DB00115,BE0000942,LRP2,0,0,0
DB00115,BE0000785,ABCC1,0,0,0
DB00116,BE0001069,ABCC2,0,0,1
DB00117,BE0003654,SLC16A10,1,0,1
DB00119,BE0000440,SLC16A7,1,0,1
DB00119,BE0000669,SLC16A1,1,0,1
DB00119,BE0003654,SLC16A10,1,0,1
DB00119,BE0003655,SLCO2A1,0,0,1
DB00119,BE0000449,SLC16A3,1,0,0
DB00120,BE0003654,SLC16A10,0,0,1
DB00122,BE0003647,SLC22A2,1,0,1
DB00122,BE0003648,SLC22A1,1,0,1
DB00122,BE0003650,SLC22A3,0,0,1
DB00122,BE0000106,SLC22A5,0,0,1
DB00122,BE0000757,SLC22A4,0,0,1
DB00122,BE0001059,SLC44A1,1,0,0
DB00122,BE0002182,SLC44A4,1,0,0
DB00122,BE0002183,SLC44A2,1,0,0
DB00122,BE0002184,SLC44A3,1,0,0
DB00122,BE0000696,SLC5A7,1,0,0
DB00123,BE0003654,SLC16A10,1,0,1
DB00123,BE0000757,SLC22A4,0,0,1
DB00125,BE0000106,SLC22A5,0,0,1
DB00125,BE0003654,SLC16A10,0,0,1
DB00125,BE0000757,SLC22A4,0,0,1
DB00126,BE0000168,SLC23A1,0,0,0
DB00127,BE0000757,SLC22A4,0,0,1
DB00127,BE0003648,SLC22A1,1,0,0
DB00128,BE0003654,SLC16A10,0,0,1
DB00130,BE0003654,SLC16A10,0,0,1
DB00130,BE0000285,SLC38A3,1,0,0
DB00130,BE0000236,SLC1A5,1,0,0
DB00130,BE0000789,SLC7A8,1,0,0
DB00133,BE0003654,SLC16A10,0,0,1
DB00134,BE0003654,SLC16A10,0,0,1
DB00135,BE0000178,SLC16A2,0,0,1
DB00135,BE0003654,SLC16A10,0,0,1
DB00138,BE0003654,SLC16A10,0,0,1
DB00139,BE0003645,SLC22A8,1,0,0
DB00140,BE0001066,SLC22A6,0,0,1
DB00142,BE0003654,SLC16A10,1,0,1
DB00142,BE0000669,SLC16A1,1,0,0
DB00143,BE0000785,ABCC1,1,0,1
DB00143,BE0001069,ABCC2,1,0,1
DB00143,BE0001061,ABCC3,1,0,0
DB00143,BE0001188,ABCC4,1,0,0
DB00143,BE0003639,ABCC5,1,0,0
DB00145,BE0003654,SLC16A10,1,0,1
DB00148,BE0000106,SLC22A5,0,0,1
DB00149,BE0003654,SLC16A10,0,0,1
DB00149,BE0000178,SLC16A2,1,0,0
DB00150,BE0000178,SLC16A2,0,0,1
DB00150,BE0003654,SLC16A10,0,0,1
DB00151,BE0003654,SLC16A10,0,0,1
DB00152,BE0003647,SLC22A2,0,0,1
DB00152,BE0003648,SLC22A1,1,0,0
DB00152,BE0000106,SLC22A5,0,0,1
DB00155,BE0001066,SLC22A6,1,0,0
DB00156,BE0003654,SLC16A10,0,0,1
DB00158,BE0003658,ABCC11,1,0,0
DB00158,BE0001061,ABCC3,1,0,0
DB00158,BE0001066,SLC22A6,0,0,1
DB00158,BE0001188,ABCC4,0,0,1
DB00158,BE0001067,ABCG2,1,0,0
DB00158,BE0001048,SLC46A1,1,0,0
DB00158,BE0000730,SLC25A32,1,0,0
DB00160,BE0003654,SLC16A10,0,0,1
DB00161,BE0003654,SLC16A10,0,0,1
DB00163,BE0000189,SCARB1,0,0,0
DB00163,BE0000119,ABCA1,0,0,0
DB00163,BE0000802,NPC1L1,0,0,0
DB00163,BE0001168,ABCG1,0,0,0
DB00167,BE0003654,SLC16A10,0,0,1
DB00168,BE0001066,SLC22A6,0,0,1
DB00168,BE0003645,SLC22A8,0,0,1
DB00168,BE0000879,SLC22A11,0,0,1
DB00172,BE0003654,SLC16A10,0,0,1
DB00174,BE0003654,SLC16A10,0,0,1
DB00175,BE0001004,SLCO1B1,1,0,0
DB00175,BE0001042,SLCO2B1,1,0,0
DB00175,BE0001032,ABCB1,1,0,0
DB00175,BE0003642,SLCO1A2,1,0,0
DB00175,BE0001066,SLC22A6,0,0,1
DB00175,BE0003645,SLC22A8,1,0,1
DB00175,BE0001069,ABCC2,1,0,0
DB00175,BE0000879,SLC22A11,1,0,0
DB00175,BE0001067,ABCG2,1,0,0
DB00175,BE0003646,SLC22A7,1,0,0
DB00175,BE0000669,SLC16A1,1,0,0
DB00175,BE0000703,ABCB11,1,0,0
DB00175,BE0003659,SLCO1B3,1,0,0
DB00176,BE0001032,ABCB1,0,0,1
DB00176,BE0000703,ABCB11,1,0,0
DB00177,BE0003659,SLCO1B3,1,0,0
DB00177,BE0001004,SLCO1B1,1,0,1
DB00177,BE0001069,ABCC2,1,0,0
DB00178,BE0001018,SLC15A1,1,0,0
DB00178,BE0001134,SLC15A2,1,0,0
DB00182,BE0003650,SLC22A3,1,0,0
DB00182,BE0000106,SLC22A5,1,0,0
DB00184,BE0003647,SLC22A2,0,0,1
DB00184,BE0003648,SLC22A1,0,0,1
DB00184,BE0003650,SLC22A3,0,0,1
DB00184,BE0000106,SLC22A5,0,0,1
DB00184,BE0000757,SLC22A4,0,0,1
DB00193,BE0001032,ABCB1,1,0,0
DB00196,BE0001032,ABCB1,0,0,1
DB00197,BE0000703,ABCB11,0,0,1
DB00197,BE0001004,SLCO1B1,0,0,1
DB00198,BE0001188,ABCC4,1,0,0
DB00198,BE0001018,SLC15A1,1,0,0
DB00198,BE0003645,SLC22A8,1,0,0
DB00199,BE0003659,SLCO1B3,1,0,1
DB00199,BE0000703,ABCB11,1,0,1
DB00199,BE0001032,ABCB1,1,0,1
DB00199,BE0001004,SLCO1B1,1,0,1
DB00199,BE0001069,ABCC2,1,0,0
DB00199,BE0003642,SLCO1A2,1,0,1
DB00201,BE0001067,ABCG2,0,0,1
DB00203,BE0001188,ABCC4,0,0,1
DB00203,BE0003639,ABCC5,0,0,1
DB00203,BE0003651,ABCC10,0,0,1
DB00203,BE0001004,SLCO1B1,0,0,1
DB00203,BE0001032,ABCB1,1,0,1
DB00204,BE0003647,SLC22A2,1,0,0
DB00205,BE0003657,SLC47A1,0,0,1
DB00205,BE0004752,SLC47A2,0,0,1
DB00206,BE0001032,ABCB1,1,1,1
DB00206,BE0003648,SLC22A1,0,0,1
DB00206,BE0000703,ABCB11,0,0,1
DB00206,BE0001069,ABCC2,0,0,1
DB00206,BE0003647,SLC22A2,1,0,0
DB00206,BE0001004,SLCO1B1,0,0,1
DB00206,BE0001042,SLCO2B1,0,0,1
DB00207,BE0001032,ABCB1,1,0,1
DB00207,BE0001069,ABCC2,1,0,1
DB00211,BE0001018,SLC15A1,0,0,0
DB00213,BE0001032,ABCB1,1,0,1
DB00213,BE0001067,ABCG2,1,0,1
DB00213,BE0003645,SLC22A8,0,0,1
DB00214,BE0001004,SLCO1B1,1,0,0
DB00215,BE0001032,ABCB1,1,0,1
DB00216,BE0001032,ABCB1,1,0,0
DB00220,BE0001032,ABCB1,1,1,1
DB00220,BE0003648,SLC22A1,0,0,1
DB00220,BE0003642,SLCO1A2,0,0,1
DB00220,BE0001067,ABCG2,0,0,1
DB00220,BE0001004,SLCO1B1,0,0,1
DB00220,BE0003659,SLCO1B3,0,0,1
DB00220,BE0001042,SLCO2B1,0,0,1
DB00220,BE0000703,ABCB11,1,0,0
