drug_id|name|cas|smiles|logP ALOGPS|logP ChemAxon|solubility ALOGPS|pKa (strongest acidic)|pKa (strongest basic)|drugname|drug_type|approved|experimental|illicit|investigational|nutraceutical|withdrawn|collated_partner_id|collated_gene_name|collated_target_type|collated_inhibitor|collated_inducer
DB00006|Bivalirudin|128270-60-0|CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O|-0.76|-14|4.64e-02 g/l|2.79|11.88|b'Bivalirudin'|small molecule|1|0|0|1|0|0|BE0000048 ; BE0001075|F2 ; MPO|protein ; enzyme|1 ; 1|0 ; 0
DB00007|Leuprolide|53714-56-0|CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1|1.04|-2.4|3.38e-02 g/l|9.49|11.92|b'Leuprolide'|small molecule|1|0|0|1|0|0|BE0000203 ; BE0002638|GNRHR ; CYP3A4|protein ; enzyme|0 ; 0|1 ; 0
DB00014|Goserelin|65807-02-5|CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O|0.3|-5.2|2.83e-02 g/l|9.27|10.82|b'Goserelin'|small molecule|1|0|0|0|0|0|BE0000134 ; BE0000203|LHCGR ; GNRHR|protein ; protein|0 ; 0|1 ; 1
DB00035|Desmopressin|16679-58-6|NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O|-1|-6.1|1.10e-01 g/l|9.5|11.77|b'Desmopressin'|small molecule|1|0|0|0|0|0|BE0000293 ; BE0000165 ; BE0000773 ; BE0000017 ; BE0000262|AVPR2 ; AVPR1A ; AVPR1B ; PTGS1 ; PTGS2|protein ; protein ; protein ; enzyme ; enzyme|0 ; 0 ; 0 ; 0 ; 0|1 ; 0 ; 0 ; 1 ; 1
DB00050|Cetrorelix|120287-85-6|CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O|1.33|-1.7|6.94e-03 g/l|9.5|11.79|b'Cetrorelix'|small molecule|1|0|0|1|0|0|BE0000203 ; BE0000134|GNRHR ; LHCGR|protein ; protein|0 ; 0|0 ; 0
DB00093|Felypressin|56-59-7|NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O|-1.1|-5.8|4.53e-02 g/l|11.39|10.18|b'Felypressin'|small molecule|0|1|0|0|0|0|BE0000165|AVPR1A|protein|0|1
DB00104|Octreotide|83150-76-9|[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O|0.42|-1.4|1.22e-02 g/l|11.4|10.17|b'Octreotide'|small molecule|1|0|0|1|0|0|BE0000452 ; BE0002147 ; BE0003528 ; BE0001075 ; BE0002638|SSTR1 ; SSTR5 ; SSTR2 ; MPO ; CYP3A4|protein ; protein ; protein ; enzyme ; enzyme|0 ; 0 ; 0 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0
DB00106|Abarelix|183552-38-7|CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O|2.84|-0.46|3.71e-03 g/l|9.47|10.66|b'Abarelix'|small molecule|1|0|0|1|0|1|BE0000203|GNRHR|protein|0|0
DB00114|Pyridoxal phosphate|54-47-7|CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O|-0.55|-2.1|5.70e+00 g/l|1.68|4.11|b'Pyridoxal phosphate'|small molecule|1|0|0|1|1|0|BE0000102 ; BE0000378 ; BE0000323 ; BE0000392 ; BE0000331 ; BE0000151 ; BE0000529 ; BE0000424 ; BE0000404 ; BE0000727 ; BE0000253 ; BE0000181 ; BE0000778 ; BE0000692 ; BE0000273 ; BE0000482 ; BE0000007 ; BE0000660 ; BE0000079 ; BE0000002 ; BE0000448 ; BE0000164 ; BE0000518 ; BE0000618 ; BE0000667 ; BE0000603 ; BE0000409 ; BE0000316 ; BE0000278 ; BE0000441 ; BE0000791 ; BE0000517 ; BE0000721 ; BE0002149 ; BE0000822 ; BE0000383 ; BE0002150 ; BE0000916 ; BE0002151 ; BE0002152 ; BE0002158 ; BE0002159 ; BE0002160 ; BE0002161 ; BE0002162 ; BE0002163 ; BE0004605 ; BE0004612 ; BE0002164 ; BE0002165 ; BE0000292 ; BE0000898 ; BE0002166 ; BE0002167 ; BE0002168 ; BE0000388 ; BE0002171 ; BE0002172 ; BE0002173 ; BE0002174|AGXT2 ; GAD1 ; CBS ; KYNU ; SHMT1 ; NFS1 ; GOT1 ; OAT ; ODC1 ; AADAT ; ABAT ; PNPO ; SGPL1 ; TAT ; CCBL1 ; THNSL1 ; PYGL ; SPTLC2 ; CSAD ; HDC ; AZIN2 ; SDS ; GCAT ; GLDC ; GPT ; PSAT1 ; ALAS1 ; AGXT ; PDXP ; SPTLC1 ; CTH ; BCAT1 ; BCAT2 ; PROSC ; FTCD ; GOT2 ; PYGB ; PYGM ; DDC ; GIG18 ; ALAS1 ; GAD2 ; DDC ; PDXDC1 ; CCBL2 ; GADL1 ; SCLY ; IGSF10 ; PHYKPL ; GAD1 ; SHMT2 ; ALAS2 ; GPT2 ; MOCOS ; SDSL ; SRR ; SEPSECS ; SPTLC3 ; GAD65 ; TLH6|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00115|Cyanocobalamin|68-19-9|C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2|2.66|-3.2|2.02e-02 g/l|1.82|8.68|b'Cyanocobalamin'|small molecule|1|0|0|0|1|0|BE0000734 ; BE0000777 ; BE0000763 ; BE0000320 ; BE0002175 ; BE0002176 ; BE0000456 ; BE0000340 ; BE0000238 ; BE0000362 ; BE0004690 ; BE0000936 ; BE0000942 ; BE0000785|MTR ; MUT ; MTRR ; MMAA ; MMACHC ; MTHFR ; MMAB ; AMN ; TCN1 ; TCN2 ; GIF ; CUBN ; LRP2 ; ABCC1|protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
