drug_id,drugname,drug_type,approved,experimental,illicit,investigational,nutraceutical,withdrawn
DB00001,b'Lepirudin',biotech,1,0,0,0,0,0
DB00002,b'Cetuximab',biotech,1,0,0,0,0,0
DB00004,b'Denileukin diftitox',biotech,1,0,0,1,0,0
DB00005,b'Etanercept',biotech,1,0,0,1,0,0
DB00006,b'Bivalirudin',small molecule,1,0,0,1,0,0
DB00007,b'Leuprolide',small molecule,1,0,0,1,0,0
DB00008,b'Peginterferon alfa-2a',biotech,1,0,0,1,0,0
DB00009,b'Alteplase',biotech,1,0,0,0,0,0
DB00010,b'Sermorelin',biotech,1,0,0,0,0,1
DB00011,b'Interferon alfa-n1',biotech,1,0,0,1,0,0
DB00012,b'Darbepoetin alfa',biotech,1,0,0,1,0,0
DB00013,b'Urokinase',biotech,1,0,0,1,0,1
DB00014,b'Goserelin',small molecule,1,0,0,0,0,0
DB00015,b'Reteplase',biotech,1,0,0,1,0,0
DB00016,b'Erythropoietin',biotech,1,0,0,0,0,0
DB00017,b'Salmon Calcitonin',biotech,1,0,0,1,0,0
DB00018,b'Interferon alfa-n3',biotech,1,0,0,1,0,0
DB00019,b'Pegfilgrastim',biotech,1,0,0,0,0,0
DB00020,b'Sargramostim',biotech,1,0,0,1,0,0
DB00022,b'Peginterferon alfa-2b',biotech,1,0,0,0,0,0
DB00024,b'Thyrotropin alfa',biotech,1,0,0,0,0,0
DB00025,"b'Antihemophilic factor, human recombinant'",biotech,1,0,0,1,0,0
DB00026,b'Anakinra',biotech,1,0,0,0,0,0
DB00027,b'Gramicidin D',small molecule,1,0,0,0,0,0
DB00028,b'Human immunoglobulin G',biotech,1,0,0,1,0,0
DB00029,b'Anistreplase',biotech,1,0,0,0,0,0
DB00030,b'Insulin human',biotech,1,0,0,1,0,0
DB00031,b'Tenecteplase',biotech,1,0,0,0,0,0
DB00032,b'Menotropins',biotech,1,0,0,0,0,0
DB00033,b'Interferon gamma-1b',biotech,1,0,0,1,0,0
DB00034,"b'Interferon alfa-2a, Recombinant'",biotech,1,0,0,1,0,0
DB00035,b'Desmopressin',small molecule,1,0,0,0,0,0
DB00036,b'Coagulation factor VIIa Recombinant Human',biotech,1,0,0,0,0,0
DB00038,b'Oprelvekin',biotech,1,0,0,1,0,0
DB00039,b'Palifermin',biotech,1,0,0,0,0,0
DB00040,b'Glucagon',biotech,1,0,0,0,0,0
DB00041,b'Aldesleukin',biotech,1,0,0,0,0,0
DB00042,b'Botulinum Toxin Type B',biotech,1,0,0,1,0,0
DB00043,b'Omalizumab',biotech,1,0,0,1,0,0
DB00044,b'Lutropin alfa',biotech,1,0,0,0,0,0
DB00045,b'Lyme disease vaccine (recombinant OspA)',biotech,1,0,0,0,0,1
DB00046,b'Insulin lispro',biotech,1,0,0,0,0,0
DB00047,b'Insulin glargine',biotech,1,0,0,0,0,0
DB00048,b'Collagenase clostridium histolyticum',biotech,1,0,0,1,0,0
DB00050,b'Cetrorelix',small molecule,1,0,0,1,0,0
DB00051,b'Adalimumab',biotech,1,0,0,0,0,0
DB00052,b'Somatotropin',biotech,1,0,0,1,0,0
DB00054,b'Abciximab',biotech,1,0,0,0,0,0
DB00055,b'Drotrecogin alfa',biotech,1,0,0,1,0,1
DB00056,b'Gemtuzumab ozogamicin',biotech,1,0,0,1,0,0
DB00058,b'Alpha-1-proteinase inhibitor',biotech,1,0,0,0,0,0
DB00060,b'Interferon beta-1a',biotech,1,0,0,1,0,0
DB00061,b'Pegademase',biotech,1,0,0,0,0,0
DB00063,b'Eptifibatide',biotech,1,0,0,1,0,0
DB00065,b'Infliximab',biotech,1,0,0,0,0,0
DB00066,b'Follitropin',biotech,1,0,0,0,0,0
DB00067,b'Vasopressin',small molecule,1,0,0,0,0,0
DB00068,b'Interferon beta-1b',biotech,1,0,0,0,0,0
DB00069,b'Interferon alfacon-1',biotech,1,0,0,1,0,0
DB00070,b'Hyaluronidase (ovine)',biotech,1,0,0,1,0,0
DB00071,b'Insulin pork',biotech,1,0,0,0,0,0
DB00072,b'Trastuzumab',biotech,1,0,0,1,0,0
DB00073,b'Rituximab',biotech,1,0,0,0,0,0
