partner_id,partner_name,gene_name,uniprot_id,genbank_gene_id,genbank_protein_id,hgnc_id,organism,taxonomy_id
BE0000002,Histidine decarboxylase,HDC,P19113,X54297,32109,HGNC:4855,Humans,9606
BE0000003,"Glutaminase liver isoform, mitochondrial",GLS2,Q9UI32,AF110330,6650606,HGNC:29570,Humans,9606
BE0000004,Coagulation factor XIII A chain,F13A1,P00488,M22001,182309,HGNC:3531,Humans,9606
BE0000005,"Nitric oxide synthase, inducible",NOS2,P35228,L09210,292242,HGNC:7873,Humans,9606
BE0000006,Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,L11708,306462,HGNC:5211,Humans,9606
BE0000007,"Glycogen phosphorylase, liver form",PYGL,P06737,M14636,183353,HGNC:9725,Humans,9606
BE0000008,"NAD(P) transhydrogenase, mitochondrial",NNT,Q13423,U40490,1110520,HGNC:7863,Humans,9606
BE0000009,Alcohol dehydrogenase class-3,ADH5,P11766,M30471,178134,HGNC:253,Humans,9606
BE0000010,"Aminomethyltransferase, mitochondrial",AMT,P48728,D13811,391721,HGNC:473,Humans,9606
BE0000011,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,P50213,U07681,706839,HGNC:5384,Humans,9606
BE0000012,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,Q9P0X4,AF129133,5565888,HGNC:1396,Humans,9606
BE0000013,Adenosine receptor A1,ADORA1,P30542,S45235,256155,HGNC:262,Humans,9606
BE0000014,Tyrosine-protein kinase ABL1,ABL1,P00519,X16416,28237,HGNC:76,Humans,9606
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,P12319,X06948,31318,HGNC:3609,Humans,9606
BE0000016,Coagulation factor VIII,F8,P00451,M14113,182818,HGNC:3546,Humans,9606
BE0000017,Prostaglandin G/H synthase 1,PTGS1,P23219,M31822,387018,HGNC:9604,Humans,9606
BE0000018,Beta-adrenergic receptor kinase 2,ADRBK2,P35626,X69117,312395,HGNC:290,Humans,9606
BE0000020,Dopamine D1 receptor,DRD1,P21728,X55760,30397,HGNC:3020,Humans,9606
BE0000022,Solute carrier family 13 member 1,SLC13A1,Q9BZW2,AF260824,12620132,HGNC:10916,Humans,9606
BE0000023,Vascular endothelial growth factor receptor 3,FLT4,P35916,X69878,297050,HGNC:3767,Humans,9606
BE0000024,Amiloride-sensitive sodium channel subunit beta,SCNN1B,P51168,X87159,1004271,HGNC:10600,Humans,9606
BE0000025,Collagen alpha-1(I) chain,COL1A1,P02452,Z74615,1418928,HGNC:2197,Humans,9606
BE0000026,Tubulin beta-1 chain,TUBB1,Q9H4B7,AJ292757,11230445,HGNC:16257,Humans,9606
BE0000027,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,P56181,X99726,6002197,HGNC:7719,Humans,9606
BE0000028,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,O95363,AF097441,3983103,HGNC:21062,Humans,9606
BE0000029,Vascular endothelial growth factor receptor 1,FLT1,P17948,X51602,31432,HGNC:3763,Humans,9606
BE0000030,Cystine/glutamate transporter,SLC7A11,Q9UPY5,AB026891,5668545,HGNC:11059,Humans,9606
BE0000031,7-dehydrocholesterol reductase,DHCR7,Q9UBM7,AF096305,4191398,HGNC:2860,Humans,9606
BE0000032,Dehydrogenase/reductase SDR family member 4,DHRS4,Q9BTZ2,AF044127,4105190,HGNC:16985,Humans,9606
BE0000033,Insulin receptor,INSR,P06213,M10051,307070,HGNC:6091,Humans,9606
BE0000035,Cystinosin,CTNS,O60931,Y15924,3036851,HGNC:2518,Humans,9606
BE0000036,RAF proto-oncogene serine/threonine-protein kinase,RAF1,P04049,X03484,35842,HGNC:9829,Humans,9606
BE0000037,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,O00217,U65579,1935056,HGNC:7715,Humans,9606
BE0000038,Phenylalanine--tRNA ligase alpha subunit,FARSA,Q9Y285,U07424,2102679,HGNC:3592,Humans,9606
BE0000039,Transketolase,TKT,P29401,X67688,37267,HGNC:11834,Humans,9606
BE0000040,"Lipoyltransferase 1, mitochondrial",LIPT1,Q9Y234,AB017566,4586380,HGNC:29569,Humans,9606
BE0000041,Coagulation factor V,F5,P12259,M16967,182412,HGNC:3542,Humans,9606
BE0000042,Pyridoxal kinase,PDXK,O00764,U89606,1946349,HGNC:8819,Humans,9606
BE0000043,Endothelin B receptor,EDNRB,P24530,M74921,182276,HGNC:3180,Humans,9606
BE0000044,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,Q15738,U47105,4457237,HGNC:13398,Humans,9606
BE0000045,Muscarinic acetylcholine receptor M3,CHRM3,P20309,X15266,32324,HGNC:1952,Humans,9606
BE0000046,Pyruvate kinase PKLR,PKLR,P30613,AB015983,3327365,HGNC:9020,Humans,9606
BE0000047,Solute carrier family 12 member 5,SLC12A5,Q9H2X9,AF208159,12003227,HGNC:13818,Humans,9606
BE0000048,Prothrombin,F2,P00734,M17262,339641,HGNC:3535,Humans,9606
BE0000049,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,P30273,M33195,182488,HGNC:3611,Humans,9606
BE0000050,Delta-aminolevulinic acid dehydratase,ALAD,P13716,M13928,178329,HGNC:395,Humans,9606
BE0000051,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,P14060,M27137,306889,HGNC:5217,Humans,9606
BE0000052,Cationic amino acid transporter 4,SLC7A4,O43246,AJ000730,4378940,HGNC:11062,Humans,9606
BE0000055,Glycine receptor subunit beta,GLRB,P48167,U33267,992687,HGNC:4329,Humans,9606
BE0000058,Matrix metalloproteinase-9,MMP9,P14780,J05070,177205,HGNC:7176,Humans,9606
BE0000059,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,P26439,M67466,184401,HGNC:5218,Humans,9606
BE0000060,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,P13674,M24486,190786,HGNC:8546,Humans,9606
BE0000061,Cannabinoid receptor 1,CNR1,P21554,X54937,29915,HGNC:2159,Humans,9606
BE0000062,Type-1 angiotensin II receptor,AGTR1,P30556,M91464,179122,HGNC:336,Humans,9606
BE0000063,"Serine--tRNA ligase, cytoplasmic",SARS,P49591,X91257,1050527,HGNC:10537,Humans,9606
BE0000064,Prostaglandin E2 receptor EP1 subtype,PTGER1,P34995,L22647,410209,HGNC:9593,Humans,9606
BE0000065,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,P10515,Y00978,35360,HGNC:2896,Humans,9606
BE0000066,B-lymphocyte antigen CD20,MS4A1,P11836,X12530,29774,HGNC:7315,Humans,9606
BE0000067,"Nitric oxide synthase, brain",NOS1,P29475,U17327,642526,HGNC:7872,Humans,9606
BE0000068,L-lactate dehydrogenase B chain,LDHB,P07195,X13794,1200083,HGNC:6541,Humans,9606
BE0000069,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,P24752,D90228,219918,HGNC:93,Humans,9606
BE0000070,Group 10 secretory phospholipase A2,PLA2G10,O15496,U95301,2289237,HGNC:9029,Humans,9606
BE0000071,Peroxisome proliferator-activated receptor alpha,PPARA,Q07869,L02932,307341,HGNC:9232,Humans,9606
BE0000072,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,Q9HCC0,AB050049,10934059,HGNC:6937,Humans,9606
BE0000073,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",AASS,Q9UDR5,AF229180,7264724,HGNC:17366,Humans,9606
BE0000074,Nuclear receptor subfamily 0 group B member 1,NR0B1,P51843,U31929,786532,HGNC:7960,Humans,9606
BE0000075,Growth hormone receptor,GHR,P10912,X06562,31738,HGNC:4263,Humans,9606
BE0000076,SEC14-like protein 4,SEC14L4,Q9UDX3,AY158085,27803380,HGNC:20627,Humans,9606
BE0000077,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,P00492,M31642,306885,HGNC:5157,Humans,9606
