|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | JUZYLCPPVHEVSV-LJQANCHMSA-N |    Q6YMS2   |     44.07     |
|   2   | SLZBEPLWGGRZAY-UHFFFAOYSA-N |  A0A6B9WHK4 |     43.74     |
|   3   | PIQCTGMSNWUMAF-UHFFFAOYSA-N |    Q6YMS4   |     41.77     |
|   4   | YZBUIQWOLSBWEX-OAQYLSRUSA-N |  A0A6B9WHH1 |     41.11     |
|   5   | MPEPVADGJPDEQT-UHFFFAOYSA-N |    P27915   |     38.37     |
|   6   | QAWIHIJWNYOLBE-OKKQSCSOSA-N |    Q6YMS3   |     38.17     |
|   7   | WPMJNLCLKAKMLA-UHFFFAOYSA-N |    P29991   |     37.97     |
|   8   | GQNZGCARKRHPOH-RQIKCTSVSA-N |  A0A6B9WHD5 |     37.67     |
|   9   | BUXNKFNNJJTLOS-UHFFFAOYSA-N |    P29991   |     36.22     |
|   10  | ZEKZLJVOYLTDKK-UHFFFAOYSA-N |    Q1A136   |     36.05     |
|   11  | OUXXDXXQNWKOIF-RYUDHWBXSA-N |    P29990   |     35.49     |
|   12  | ZASYVQUJFRKPOO-NSHDSACASA-N |  A0A6B9WHD5 |     35.14     |
|   13  | JGSARLDLIJGVTE-MBNYWOFBSA-N |    Q86825   |     34.77     |
|   14  | XSPUSVIQHBDITA-RKYNPMAHSA-N |  A0A6B9WHH1 |     34.66     |
|   15  | WXJFKKQWPMNTIM-VWLOTQADSA-N |    P29991   |     34.30     |
|   16  | KIVUHCNVDWYUNP-UHFFFAOYSA-N |    P29990   |     33.90     |
|   17  | CJILPKIVYILOEF-UHFFFAOYSA-N |    Q86825   |     33.87     |
|   18  | XBEDAMVJWVPVDS-UHFFFAOYSA-N |  A0A6B9WHK4 |     33.58     |
|   19  | FPQSMZBBNHABRA-UHFFFAOYSA-N |    P29990   |     33.55     |
|   20  | JQBKWZPHJOEQAO-FEJOFABCSA-N |    P29991   |     33.53     |
|   21  | WDZCUPBHRAEYDL-GZAUEHORSA-N |  A0A1S4F2S4 |     33.39     |
|   22  | JNIIDKODPGHQSS-DHDCSXOGSA-N |    Q6YMS3   |     33.03     |
|   23  | DBOZSKOENGSGEJ-UHFFFAOYSA-N |  A0A1S4F2T6 |     32.81     |
|   24  | CJILPKIVYILOEF-UHFFFAOYSA-N |    P29991   |     32.80     |
|   25  | HESSNRGIEVBPRB-PLBXONRJSA-N |    Q1A136   |     32.63     |
|   26  | WJLQPSZXCOYTHS-UHFFFAOYSA-N |    Q6YMS3   |     32.30     |
