|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | OVRBKKLFIRJPKY-UHFFFAOYSA-N |  A0A1S4F2S4 |     87.95     |
|   2   | YEASNVKEKVHQLR-UHFFFAOYSA-N |    P29990   |     85.59     |
|   3   | HRHKSTOGXBBQCB-UHFFFAOYSA-N |    P27915   |     79.68     |
|   4   | XXJWYDDUDKYVKI-UHFFFAOYSA-N |  A0A6B9WHH1 |     74.17     |
|   5   | AFSDNFLWKVMVRB-UHFFFAOYSA-N |  A0A1S4F2S4 |     73.79     |
|   6   | NEHWBYHLYZGBNO-BVEPWEIPSA-N |  A0A6B9WHD5 |     73.62     |
|   7   | NEHWBYHLYZGBNO-BVEPWEIPSA-N |    Q6YMS1   |     68.95     |
|   8   | RVFGKBWWUQOIOU-NDEPHWFRSA-N |    P27915   |     68.00     |
|   9   | SRPXSILJHWNFMK-CHPOKUKFSA-N |  A0A6B9WHD5 |     67.86     |
|   10  | SRPXSILJHWNFMK-MEDUHNTESA-N |    P29990   |     67.79     |
|   11  | SRPXSILJHWNFMK-MEDUHNTESA-N |  A0A6M3GXH9 |     67.76     |
|   12  | SRPXSILJHWNFMK-MEDUHNTESA-N |    P17763   |     67.71     |
|   13  | SRPXSILJHWNFMK-MEDUHNTESA-N |  A0A6B9WHK4 |     67.67     |
|   14  | HJYYPODYNSCCOU-SKSZWDJVSA-N |  A0A1S4F2S4 |     67.30     |
|   15  | AUZONCFQVSMFAP-UHFFFAOYSA-N |    Q6YMS2   |     67.11     |
|   16  | PVBQYTCFVWZSJK-UHFFFAOYSA-O |    P29991   |     66.12     |
|   17  | ROWSTIYZUWEOMM-UHFFFAOYSA-N |    P27915   |     63.77     |
|   18  | ZVGNESXIJDCBKN-UUEYKCAUSA-N |  A0A6B9WHJ8 |     63.18     |
|   19  | HULMNSIAKWANQO-UZQFYTNMSA-N |    P27915   |     62.75     |
|   20  | VMZMNAABQBOLAK-DBILLSOUSA-N |    P29990   |     62.34     |
|   21  | RJURFGZVJUQBHK-IIXSONLDSA-N |    P27915   |     60.81     |
|   22  | CFCUWKMKBJTWLW-OQCYXQHVSA-N |  A0A6B9WHC8 |     59.00     |
|   23  | GZKLJWGUPQBVJQ-UHFFFAOYSA-N |    Q6YMS1   |     57.80     |
|   24  | LFDOEFHQLNGBQQ-HNNXBMFYSA-N |    Q6YMS1   |     57.73     |
|   25  | ATHBCDQPZRXUNJ-UHFFFAOYSA-N |  A0A6M3GXH9 |     57.12     |
|   26  | FGAPXYWEQVSGDJ-JVXZTZIISA-N |    Q6YMS7   |     55.45     |
|   27  | KJAAEKQTENJMDT-SFECMWDFSA-N |  A0A6B9WHJ8 |     55.37     |
|   28  | FECGNJPYVFEKOD-VMPITWQZSA-N |    Q6YMS1   |     55.09     |
|   29  | JDWLROHWYAZRBW-UHFFFAOYSA-N |  A0A1S4F2S4 |     54.89     |
|   30  | BYPIURIATSUHDW-UHFFFAOYSA-N |    Q86825   |     54.37     |
|   31  | NSYZCCDSJNWWJL-HEESAXMSSA-N |    Q6YMS1   |     54.10     |
|   32  | LGFLRHWJJKLPCC-ZDUSSCGKSA-N |  A0A6B9WHH1 |     53.93     |
|   33  | XXSMGPRMXLTPCZ-UHFFFAOYSA-N |  A0A6B9WHJ8 |     53.70     |
|   34  | XMYKNCNAZKMVQN-NYYWCZLTSA-N |  A0A6B9WHL6 |     53.67     |
|   35  | OVRBKKLFIRJPKY-UHFFFAOYSA-N |    Q6YMS1   |     52.03     |
|   36  | FFGSXKJJVBXWCY-UHFFFAOYSA-N |    Q6YMS3   |     51.71     |
|   37  | BCJWHMFDQMMITC-AVPXBJHFSA-N |  A0A1S4F2S4 |     51.48     |
|   38  | HFHZKZSRXITVMK-UHFFFAOYSA-N |  A0A1S4F2S4 |     51.17     |
|   39  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |    P29991   |     50.96     |
|   40  | USZYSDMBJDPRIF-SVEJIMAYSA-N |  A0A1S4F2S4 |     50.56     |
|   41  | UBQYURCVBFRUQT-UHFFFAOYSA-N |  A0A6B9WHC8 |     50.12     |
|   42  | ZRCVYEYHRGVLOC-HYARGMPZSA-N |    Q1A136   |     50.08     |
|   43  | YIDDLAAKOYYGJG-UHFFFAOYSA-N |    P17763   |     50.02     |
|   44  | WINXAKJYORVNHU-UHFFFAOYSA-N |    Q1A136   |     49.72     |
|   45  | MYEJFUXQJGHEQK-DYDCTSDLSA-N |    Q6YMS2   |     49.49     |
|   46  | XXVLKDRPHSFIIB-UHFFFAOYSA-N |  A0A6M3GXH9 |     49.48     |
|   47  | CDOOFZZILLRUQH-GDLZYMKVSA-N |  A0A1S4F2S4 |     49.24     |
|   48  | ZDZOTLJHXYCWBA-IEXQXDKZSA-N |    Q6YMS3   |     48.82     |
|   49  | MQIRDWDCKACDRZ-DUXPYHPUSA-N |    Q6YMS1   |     48.46     |
