|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | JEGGQYICWGMXOZ-GMPMKFSHSA-N |    Q1A136   |      8.75     |
|   2   | XUHMGFKQBWZWPO-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.68     |
|   3   | CMJCXYNUCSMDBY-ZDUSSCGKSA-N |  A0A6B9WHC8 |      8.66     |
|   4   | WDZCUPBHRAEYDL-GZAUEHORSA-N |    Q1A136   |      8.65     |
|   5   | XUHMGFKQBWZWPO-UHFFFAOYSA-N |  A0A6B9WHL6 |      8.61     |
|   6   | BHYRGODCLWGHQG-LCBDOTBSSA-N |    Q1A136   |      8.60     |
|   7   | PIQCTGMSNWUMAF-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.60     |
|   8   | XUHMGFKQBWZWPO-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.60     |
|   9   | XUHMGFKQBWZWPO-UHFFFAOYSA-N |    Q1A136   |      8.60     |
|   10  | CMJCXYNUCSMDBY-ZDUSSCGKSA-N |  A0A6B9WHL6 |      8.59     |
|   11  | CMJCXYNUCSMDBY-ZDUSSCGKSA-N |  A0A6B9WHD5 |      8.59     |
|   12  | CMJCXYNUCSMDBY-ZDUSSCGKSA-N |    Q1A136   |      8.58     |
|   13  | XQVVPGYIWAGRNI-JOCHJYFZSA-N |  A0A6B9WHC8 |      8.58     |
|   14  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |  A0A6B9WHC8 |      8.57     |
|   15  | PIQCTGMSNWUMAF-UHFFFAOYSA-N |  A0A6B9WHL6 |      8.54     |
|   16  | PIQCTGMSNWUMAF-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.52     |
|   17  | XQVVPGYIWAGRNI-JOCHJYFZSA-N |  A0A6B9WHL6 |      8.51     |
|   18  | XQVVPGYIWAGRNI-JOCHJYFZSA-N |    Q1A136   |      8.51     |
|   19  | VRQXRVAKPDCRCI-ZNMIVQPWSA-N |    Q1A136   |      8.50     |
|   20  | PIQCTGMSNWUMAF-UHFFFAOYSA-N |    Q1A136   |      8.50     |
|   21  | VRQXRVAKPDCRCI-ZNMIVQPWSA-N |  A0A6B9WHC8 |      8.50     |
|   22  | XQVVPGYIWAGRNI-JOCHJYFZSA-N |  A0A6B9WHD5 |      8.50     |
|   23  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |  A0A6B9WHL6 |      8.49     |
|   24  | JEGGQYICWGMXOZ-GMPMKFSHSA-N |  A0A6B9WHL6 |      8.49     |
|   25  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |  A0A6B9WHD5 |      8.49     |
|   26  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |    Q1A136   |      8.47     |
|   27  | JEGGQYICWGMXOZ-GMPMKFSHSA-N |  A0A6B9WHC8 |      8.47     |
|   28  | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHC8 |      8.46     |
|   29  | VRQXRVAKPDCRCI-ZNMIVQPWSA-N |  A0A6B9WHL6 |      8.45     |
|   30  | VZBVEWNPFLFUCS-FXADVQPWSA-N |    Q1A136   |      8.42     |
|   31  | JQXXHWHPUNPDRT-WLSIYKJHSA-N |    Q1A136   |      8.40     |
|   32  | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHL6 |      8.40     |
|   33  | VRQXRVAKPDCRCI-ZNMIVQPWSA-N |  A0A6B9WHD5 |      8.39     |
|   34  | WDZCUPBHRAEYDL-GZAUEHORSA-N |  A0A6B9WHL6 |      8.38     |
|   35  | ATEBXHFBFRCZMA-VXTBVIBXSA-N |    Q1A136   |      8.37     |
