|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.48     |
|   2   | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6B9WHD5 |      9.45     |
|   3   | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.43     |
|   4   | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6B9WHD5 |      9.43     |
|   5   | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6B9WHL6 |      9.42     |
|   6   | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6B9WHL6 |      9.40     |
|   7   | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6B9WHK4 |      9.39     |
|   8   | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6B9WHL6 |      9.39     |
|   9   | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6B9WHL6 |      9.38     |
|   10  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6B9WHK4 |      9.38     |
|   11  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6B9WHK4 |      9.36     |
|   12  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6B9WHK4 |      9.35     |
|   13  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6B9WHC8 |      9.35     |
|   14  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6B9WHC8 |      9.32     |
|   15  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6B9WHJ8 |      9.31     |
|   16  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6B9WHC8 |      9.30     |
|   17  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6B9WHC8 |      9.30     |
|   18  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6B9WHJ8 |      9.30     |
|   19  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.29     |
|   20  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6B9WHJ8 |      9.29     |
|   21  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6B9WHJ8 |      9.28     |
|   22  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |    Q6YMS7   |      9.25     |
|   23  | MYPYJXKWCTUITO-GCTWTFLZSA-N |  A0A6B9WHD5 |      9.24     |
|   24  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A6B9WHD5 |      9.24     |
|   25  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |  A0A6B9WHL6 |      9.24     |
|   26  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |  A0A6B9WHK4 |      9.21     |
|   27  | HBOMLICNUCNMMY-UHFFFAOYSA-N |    Q6YMS7   |      9.21     |
|   28  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |    Q6YMS7   |      9.20     |
|   29  | MYPYJXKWCTUITO-GCTWTFLZSA-N |  A0A6B9WHL6 |      9.19     |
|   30  | VVWSSVXERSACCP-ZUXWQOPOSA-N |    Q6YMS7   |      9.18     |
|   31  | ZADGGFKUEYIBJC-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.18     |
|   32  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |  A0A6B9WHC8 |      9.17     |
|   33  | MYPYJXKWCTUITO-GCTWTFLZSA-N |  A0A6B9WHK4 |      9.16     |
|   34  | MIWWSGDADVMLTG-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.15     |
|   35  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |  A0A6B9WHJ8 |      9.13     |
|   36  | MYPYJXKWCTUITO-GCTWTFLZSA-N |  A0A6B9WHC8 |      9.13     |
|   37  | ZADGGFKUEYIBJC-UHFFFAOYSA-N |  A0A6B9WHL6 |      9.13     |
|   38  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |    P17763   |      9.12     |
|   39  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A1S4F2T6 |      9.12     |
|   40  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A1S4F2T6 |      9.11     |
|   41  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |    P17763   |      9.11     |
|   42  | ZADGGFKUEYIBJC-UHFFFAOYSA-N |  A0A6B9WHK4 |      9.11     |
|   43  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |    Q1A136   |      9.10     |
|   44  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |    Q1A136   |      9.10     |
|   45  | MYPYJXKWCTUITO-GCTWTFLZSA-N |  A0A6B9WHJ8 |      9.10     |
|   46  | MIWWSGDADVMLTG-UHFFFAOYSA-N |  A0A6B9WHL6 |      9.10     |
|   47  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A1S4F2T6 |      9.10     |
|   48  | VVWSSVXERSACCP-ZUXWQOPOSA-N |    P17763   |      9.09     |
|   49  | VVWSSVXERSACCP-ZUXWQOPOSA-N |    Q1A136   |      9.09     |
|   50  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A1S4F2T6 |      9.09     |
|   51  | HBOMLICNUCNMMY-UHFFFAOYSA-N |    P17763   |      9.08     |
|   52  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A6B9WHC8 |      9.07     |
|   53  | MIWWSGDADVMLTG-UHFFFAOYSA-N |  A0A6B9WHK4 |      9.07     |
|   54  | HBOMLICNUCNMMY-UHFFFAOYSA-N |    Q1A136   |      9.07     |
|   55  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A6B9WHL6 |      9.07     |
|   56  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |    Q6YMS7   |      9.06     |
|   57  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A1S4F2S4 |      9.05     |
|   58  | ZADGGFKUEYIBJC-UHFFFAOYSA-N |  A0A6B9WHC8 |      9.05     |
|   59  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A1S4F2S4 |      9.04     |
|   60  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |    Q6YMS7   |      9.03     |
|   61  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A1S4F2S4 |      9.03     |
|   62  | ZADGGFKUEYIBJC-UHFFFAOYSA-N |  A0A6B9WHJ8 |      9.03     |
|   63  | MYPYJXKWCTUITO-GCTWTFLZSA-N |    Q6YMS7   |      9.03     |
|   64  | MIWWSGDADVMLTG-UHFFFAOYSA-N |  A0A6B9WHC8 |      9.02     |
|   65  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6M3GXE4 |      9.02     |
|   66  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A6B9WHK4 |      9.01     |
|   67  | MIWWSGDADVMLTG-UHFFFAOYSA-N |  A0A6B9WHJ8 |      8.99     |
|   68  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A6B9WHJ8 |      8.99     |
|   69  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A1S4F2S4 |      8.98     |
|   70  | DEOYQVBCXCVHII-GSNHDGFMSA-N |  A0A6B9WHD5 |      8.98     |
|   71  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |    P17763   |      8.98     |
|   72  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6M3GXE4 |      8.97     |
|   73  | YJEFYCWLQDIDFY-HLYDGJMNSA-N |  A0A6B9WHD5 |      8.96     |
|   74  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6M3GXE4 |      8.96     |
|   75  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |    P17763   |      8.96     |
|   76  | ZADGGFKUEYIBJC-UHFFFAOYSA-N |    Q6YMS7   |      8.96     |
|   77  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6M3GXE4 |      8.95     |
|   78  | ZKEMUPZLDSXZCX-CEVDDVLHSA-N |  A0A6M3GXH9 |      8.95     |
|   79  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |  A0A1S4F2T6 |      8.94     |
|   80  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A6M3GXE4 |      8.94     |
|   81  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6M3GXH9 |      8.94     |
|   82  | BLUAFEHZUWYNDE-DCJAHCNHSA-N |  A0A1S4F2S4 |      8.94     |
|   83  | DEOYQVBCXCVHII-GSNHDGFMSA-N |  A0A6B9WHL6 |      8.94     |
|   84  | DEOYQVBCXCVHII-GSNHDGFMSA-N |  A0A6B9WHK4 |      8.93     |
|   85  | MYPYJXKWCTUITO-GCTWTFLZSA-N |    P17763   |      8.92     |
|   86  | HBOMLICNUCNMMY-UHFFFAOYSA-N |  A0A6M3GXH9 |      8.92     |
|   87  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |  A0A6M3GXH9 |      8.92     |
|   88  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |    Q1A136   |      8.91     |
|   89  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |    Q6YMS1   |      8.91     |
|   90  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |    Q6YMS2   |      8.91     |
|   91  | MYPYJXKWCTUITO-GCTWTFLZSA-N |  A0A1S4F2T6 |      8.90     |
|   92  | SZQLTQPHXXXMNC-UHFFFAOYSA-N |    Q6YMS3   |      8.90     |
|   93  | UXNJSZBEHANTSL-YGCMUPCZSA-N |  A0A6B9WHD5 |      8.90     |
|   94  | MIWWSGDADVMLTG-UHFFFAOYSA-N |    Q6YMS7   |      8.88     |
