,top_indices,Group,Group2
3-6-diThioPom,"['Lenalidomide', 'Pomalidomide', 'Thalidomide', '2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea"", 'Apremilast', 'Dactinomycin', 'Vintafolide', 'Vinflunine', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', 'Vinorelbine', 'Vinblastine', 'Vincristine', 'Quinupristin', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vindesine', 'Verdoheme', 'Dihydroergocristine', 'Micafungin', 'Naldemedine', 'Relcovaptan', 'Trabectedin', 'Oritavancin', 'Icatibant', 'Virginiamycin S1']",1,1
7-F-3-ThioPom,"['Lenalidomide', 'Pomalidomide', 'Vintafolide', 'Vinflunine', 'Vinorelbine', 'Vincristine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vinblastine', 'Vindesine', 'Dactinomycin', 'Thalidomide', 'Verdoheme', 'Rifalazil', 'Naldemedine', 'Trabectedin', 'Dihydroergocristine', 'Beta-Dadf, Msa, Multisubstrate Adduct Inhibitor', 'Quinupristin', 'Rifabutin', 'Oritavancin', 'Cyanocobalamin', 'Bromocriptine', 'Relcovaptan', '1-Azepan-1-Yl-2-Phenyl-2-(4-Thioxo-1,4-Dihydro-Pyrazolo[3,4-D]Pyrimidin-5-Yl)Ethanone Adduct', 'Voacamine']",1,1
5-7-diF-3-ThioPom,"['Lenalidomide', 'Pomalidomide', 'Vintafolide', 'Vinflunine', 'Vinorelbine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vincristine', 'Vinblastine', 'Vindesine', 'Verdoheme', 'Dactinomycin', 'Rifalazil', 'Trabectedin', 'Naldemedine', 'Dihydroergocristine', 'Beta-Dadf, Msa, Multisubstrate Adduct Inhibitor', 'Rifabutin', 'Cyanocobalamin', 'Bromocriptine', '1-Azepan-1-Yl-2-Phenyl-2-(4-Thioxo-1,4-Dihydro-Pyrazolo[3,4-D]Pyrimidin-5-Yl)Ethanone Adduct', 'Oritavancin', 'Relcovaptan', 'Voacamine', 'Quinupristin', 'Ergotamine']",1,1
NAP,"['Thalidomide', 'Lenalidomide', ""2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid"", 'Pomalidomide']",2,2
TFBP,"['Thalidomide', '(R)-minalrestat', 'Pomalidomide', ""2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid""]",2,3
Pomalidomide,"['Pomalidomide', 'Lenalidomide', 'Thalidomide', '2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione', 'Apremilast', '1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea""]",1,3
Apremilast,"['Apremilast', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea"", '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', 'Vintafolide', 'Vinflunine', 'Vincristine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Trabectedin', 'Vinorelbine', 'Vinblastine', '(4aS,6R,8aS)-11-[8-(1,3-Dioxo-1,3-dihydro-2H-isoindol-2-yl)octyl]-6-hydroxy-3-methoxy-5,6,9,10-tetrahydro-4aH-[1]benzofuro[3a,3,2-ef][2]benzazepin-11-ium', 'Vindesine', 'Naldemedine', 'Pomalidomide', 'Verdoheme', '(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate', 'Rifalazil', '(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate', 'Tariquidar', 'Rifabutin', 'Oritavancin', 'Voacamine', 'Dactinomycin', 'Omadacycline', 'Relcovaptan']",3,5
36DTP,"['Lenalidomide', 'Pomalidomide', 'Thalidomide', '2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea"", 'Apremilast', 'Dactinomycin', 'Vintafolide', 'Vinflunine', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', 'Vinorelbine', 'Vinblastine', 'Vincristine', 'Quinupristin', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vindesine', 'Verdoheme', 'Dihydroergocristine', 'Micafungin', 'Naldemedine', 'Relcovaptan', 'Trabectedin', 'Oritavancin', 'Icatibant', 'Virginiamycin S1']",1,6
3MP,"['Lenalidomide', 'Pomalidomide', 'Thalidomide', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea"", '2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', 'Apremilast', 'Vintafolide', 'Dactinomycin', 'Quinupristin', 'Vinflunine', 'Vinorelbine', 'Vinblastine', 'Vincristine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vindesine', 'Verdoheme', 'Virginiamycin S1', 'Micafungin', 'Icatibant', 'Relcovaptan', 'Beta-Dadf, Msa, Multisubstrate Adduct Inhibitor', 'Dihydroergocristine', 'Trabectedin', 'Rifalazil']",1,3
7-F-36DTP,"['Lenalidomide', 'Pomalidomide', 'Vintafolide', 'Vinflunine', 'Vinorelbine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vincristine', 'Vinblastine', 'Vindesine', 'Dactinomycin', 'Verdoheme', 'Naldemedine', 'Rifalazil', 'Trabectedin', 'Dihydroergocristine', 'Rifabutin', 'Oritavancin', 'Beta-Dadf, Msa, Multisubstrate Adduct Inhibitor', 'Bromocriptine', '1-Azepan-1-Yl-2-Phenyl-2-(4-Thioxo-1,4-Dihydro-Pyrazolo[3,4-D]Pyrimidin-5-Yl)Ethanone Adduct', 'Cyanocobalamin', 'Relcovaptan', 'Quinupristin', 'Dihydroergotamine', 'Ergotamine']",1,6
