Target Type	Category	Protein Name
Senolytic	A1	BCL2
Senolytic	A1	BCL2L1
Senolytic	A1	BCL2L2
Senolytic	A1	MCL1
Senolytic	A2	PI3K
Senolytic	A2	AKT
Senolytic	A2	MTOR
Senolytic	A3	HSP90
Senolytic	A4	MDM2
Senolytic	A4	MDM4
Senolytic	A5	SRC
Senolytic	A5	LCK
Senolytic	A5	FYN
Senolytic	A5	ABL1
Senolytic	A5	KIT
Senolytic	A5	PDGFRA
Senolytic	A5	PDGFRB
Senolytic	A5	EGFR
Senolytic	A5	EPHA2
Senolytic	A5	DDR1
Senolytic	A6	BRD4
Senolytic	A7	SERPINB2
Senolytic	A7	SERPINE1
Senolytic	A7	CDKN1A
Senomorphic	B1	MB21D1
Senomorphic	B1	TMEM173
Senomorphic	B1	TBK1
Senomorphic	B2	IKBKB
Senomorphic	B2	CHUK
Senomorphic	B2	IKBKG
Senomorphic	B2	RELA
Senomorphic	B3	BRD2
Senomorphic	B3	BRD3
Senomorphic	B3	BRD4
Senomorphic	B4	KDM4A
Senomorphic	B4	KDM4B
Senomorphic	B4	KDM4C
Senomorphic	B4	KDM4D
Senoreverter	C1	TP53
Senoreverter	C1	MDM2
Senoreverter	C1	CDKN2A
Senoreverter	C1	CDKN1A
Senoreverter	C1	RB1
Senoreverter	C2	ATM
Senoreverter	C2	ATR
Senoreverter	C2	CHEK1
Senoreverter	C2	CHEK2
Senoreverter	C3	HDAC1
Senoreverter	C3	RCOR1
