| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                        Tacrolimus                                                                                       |    NLRP3    |      9.56     |
|  2   |                                                                                        Tacrolimus                                                                                       |     ZBP1    |      9.19     |
|  3   |                                                                                       Zanubrutinib                                                                                      |    NLRP3    |      9.11     |
|  4   |                                                                                  Didesmethylrocaglamide                                                                                 |    NLRP3    |      9.08     |
|  5   |                                                                                        Velusetrag                                                                                       |    NLRP3    |      9.07     |
|  6   |                                                                                       Quingestanol                                                                                      |    NLRP3    |      9.05     |
|  7   |                                                                                        Calcitriol                                                                                       |    NLRP3    |      9.03     |
|  8   |                                                                                        Ibrutinib                                                                                        |    NLRP3    |      8.98     |
|  9   |                                                                                      Ergocalciferol                                                                                     |    NLRP3    |      8.93     |
|  10  |                                                                                      Concanamycin A                                                                                     |    NLRP3    |      8.87     |
|  11  |                                                                                       Calcifediol                                                                                       |    NLRP3    |      8.84     |
|  12  |                                                                                    Dihydrotachysterol                                                                                   |    NLRP3    |      8.83     |
|  13  |                                                                                      Bafilomycin B1                                                                                     |    NLRP3    |      8.83     |
|  14  |                 N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide                 |    NLRP3    |      8.78     |
|  15  |                                                                                         Apoptone                                                                                        |    NLRP3    |      8.77     |
|  16  |                                                                                       Alfacalcidol                                                                                      |    NLRP3    |      8.77     |
|  17  |                                                                                    Estradiol benzoate                                                                                   |    NLRP3    |      8.77     |
|  18  |                                                                                       Voclosporin                                                                                       |    NLRP3    |      8.76     |
|  19  |                                                                                     Cholecalciferol                                                                                     |    NLRP3    |      8.76     |
|  20  |                                                                                        Vinflunine                                                                                       |    NLRP3    |      8.74     |
|  21  |                                                                                  Testosterone cypionate                                                                                 |    NLRP3    |      8.72     |
|  22  |                                         (3ASR,4RS,8ASR,8BRS)-4-(2-(4-FLUOROBENZYL)-1,3-DIOXODEACAHYDROPYRROLO[3,4-A] PYRROLIZIN-4-YL)BENZAMIDINE                                        |    NLRP3    |      8.71     |
|  23  |                                                                                        Calcitriol                                                                                       |     ZBP1    |      8.67     |
|  24  |                                                                                        Vinflunine                                                                                       |     ZBP1    |      8.66     |
|  25  |                                                                                  Boldenone undecylenate                                                                                 |    NLRP3    |      8.66     |
|  26  |                                                                                      Ergocalciferol                                                                                     |     ZBP1    |      8.65     |
|  27  |                                                                                      Bafilomycin A1                                                                                     |    NLRP3    |      8.64     |
|  28  |                                            4-Methyl-5-[(2Z)-2-{[4-(4-morpholinyl)phenyl]imino}-2,5-dihydro-4-pyrimidinyl]-1,3-thiazol-2-amine                                           |    NLRP3    |      8.63     |
|  29  |                                                                                        Verdoheme                                                                                        |    NLRP3    |      8.63     |
|  30  |                                                                                       Elocalcitol                                                                                       |    NLRP3    |      8.60     |
|  31  |                                                                                        Tivantinib                                                                                       |    NLRP3    |      8.58     |
|  32  |                                                                                       Abexinostat                                                                                       |    NLRP3    |      8.57     |
|  33  |                                                                                  Didesmethylrocaglamide                                                                                 |     ZBP1    |      8.57     |
|  34  |                                                                                     Cholecalciferol                                                                                     |     ZBP1    |      8.56     |
|  35  |                                                                                       Calcifediol                                                                                       |     ZBP1    |      8.55     |
|  36  |                                                                                        Velusetrag                                                                                       |     ZBP1    |      8.54     |
|  37  |                                            (3R,4R)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PIPERIDIN-3-AMINE                                            |    NLRP3    |      8.53     |
|  38  |                    [(1-{2[(4-Carbamimidoyl-Phenylamino)-Methyl]-1-Methyl-1h-Benzoimidazol-5-Yl}-Cyclopropyl)-Pyridin-2-Yl-Methyleneaminooxy]-Acetic Acid Ethyl Ester                    |    NLRP3    |      8.52     |
|  39  |                                                        3-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-5-METHOXY-1,1'-BIPHENYL-2-OLATE                                                        |    NLRP3    |      8.51     |
|  40  |                                                                                       Etonogestrel                                                                                      |    NLRP3    |      8.51     |
|  41  |                                                                                       Cabozantinib                                                                                      |    NLRP3    |      8.50     |
|  42  |                                                              N-(4-phenoxyphenyl)-2-[(pyridin-4-ylmethyl)amino]nicotinamide                                                              |    NLRP3    |      8.50     |
|  43  |                                                                                       Desogestrel                                                                                       |    NLRP3    |      8.49     |
|  44  |                                                                                       Voclosporin                                                                                       |     ZBP1    |      8.49     |
|  45  |                                                                                    Dihydrotachysterol                                                                                   |     ZBP1    |      8.46     |
|  46  |                                                                                        Verdoheme                                                                                        |     ZBP1    |      8.46     |
|  47  |                                                                                       Montelukast                                                                                       |    NLRP3    |      8.45     |
|  48  |                                                  3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine                                                  |    NLRP3    |      8.45     |
|  49  |                                                                                        Telaprevir                                                                                       |    NLRP3    |      8.44     |
|  50  |                                                                                       Quingestanol                                                                                      |     ZBP1    |      8.43     |
