| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                           1-[(2-NITROPHENYL)SULFONYL]-1H-PYRROLO[3,2-B]PYRIDINE-6-CARBOXAMIDE                                                           |     ZBP1    |      7.36     |
|  2   |                                                                                         PPL-100                                                                                         |     ZBP1    |      7.34     |
|  3   |                                  N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide                                 |     ZBP1    |      7.30     |
|  4   |                                                                                 3-amino-5-phenylpentane                                                                                 |    NLRP3    |      7.28     |
|  5   |                                    4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide                                    |     ZBP1    |      7.28     |
|  6   |                                        4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE                                       |     ZBP1    |      7.27     |
|  7   |                                                                                        Darunavir                                                                                        |     ZBP1    |      7.22     |
|  8   |                                                                                 3-amino-5-phenylpentane                                                                                 |     ZBP1    |      7.21     |
|  9   |                                  (2S)-2-[3-(AMINOMETHYL)PHENYL]-3-[(R)-HYDROXY{(1R)-2-METHYL-1-[(PHENYLSULFONYL)AMINO]PROPYL}PHOSPHORYL]PROPANOIC ACID                                  |    NLRP3    |      7.19     |
|  10  |                                                                                   Atracurium besylate                                                                                   |     ZBP1    |      7.19     |
|  11  |                                                 3-{[4-([amino(imino)methyl]aminosulfonyl)anilino]methylene}-2-oxo-2,3-dihydro-1H-indole                                                 |    NLRP3    |      7.18     |
|  12  |                                                                                        Darunavir                                                                                        |    NLRP3    |      7.17     |
|  13  |                                                                      N-(2-Thienylmethyl)-2,5-Thiophenedisulfonamide                                                                     |    NLRP3    |      7.15     |
|  14  |                                                                                        Eletriptan                                                                                       |    NLRP3    |      7.14     |
|  15  |                                                             (3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol                                                            |    NLRP3    |      7.11     |
|  16  |                                                                                       Carbutamide                                                                                       |    NLRP3    |      7.09     |
|  17  |                                    4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide                                    |    NLRP3    |      7.09     |
|  18  |                                                                                   Atracurium besylate                                                                                   |    NLRP3    |      7.07     |
|  19  |                                                                                       Zafirlukast                                                                                       |    NLRP3    |      7.06     |
|  20  |                                                                                       Zafirlukast                                                                                       |     ZBP1    |      7.06     |
