| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                           (4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide                                           |    NLRP3    |      8.89     |
|  2   |                                           (4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide                                           |     ZBP1    |      8.89     |
|  3   |                                                                                       Dorzolamide                                                                                       |    NLRP3    |      8.84     |
|  4   |                                                                                        Tacrolimus                                                                                       |    NLRP3    |      8.84     |
|  5   |                                                                                       Dorzolamide                                                                                       |     ZBP1    |      8.83     |
|  6   |                                                                                        Tacrolimus                                                                                       |     ZBP1    |      8.81     |
|  7   |                                                                                        Everolimus                                                                                       |    NLRP3    |      8.72     |
|  8   |                                                                                        Sirolimus                                                                                        |    NLRP3    |      8.70     |
|  9   |                                                                                       Pimecrolimus                                                                                      |    NLRP3    |      8.69     |
|  10  |                                                                                        Everolimus                                                                                       |     ZBP1    |      8.69     |
|  11  |                                                                                        Sirolimus                                                                                        |     ZBP1    |      8.67     |
|  12  |                                                                                       Pimecrolimus                                                                                      |     ZBP1    |      8.67     |
|  13  |                                                                                          AL6528                                                                                         |    NLRP3    |      8.62     |
|  14  |                                                                                          AL6528                                                                                         |     ZBP1    |      8.61     |
|  15  |                                        Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |     ZBP1    |      8.61     |
|  16  |                                        Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |    NLRP3    |      8.59     |
|  17  |                                                                                        Benidipine                                                                                       |    NLRP3    |      8.58     |
|  18  |                                                                                       Temsirolimus                                                                                      |    NLRP3    |      8.58     |
|  19  |                                                                                       Temsirolimus                                                                                      |     ZBP1    |      8.56     |
|  20  |                                                                                        Benidipine                                                                                       |     ZBP1    |      8.54     |
|  21  |                                                                                       Brinzolamide                                                                                      |     ZBP1    |      8.52     |
|  22  |                                                                                       Brinzolamide                                                                                      |    NLRP3    |      8.51     |
|  23  |                                                                                        Clidinium                                                                                        |    NLRP3    |      8.48     |
|  24  |                                        Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |     ZBP1    |      8.48     |
|  25  |                                        Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |    NLRP3    |      8.47     |
|  26  |                                                                                        Clidinium                                                                                        |     ZBP1    |      8.43     |
|  27  |                                                                                       Rolofylline                                                                                       |     ZBP1    |      8.39     |
|  28  |                                                                                       Rolofylline                                                                                       |    NLRP3    |      8.36     |
|  29  |                                                                                          AL5300                                                                                         |     ZBP1    |      8.35     |
|  30  |                                                                                          AL5300                                                                                         |    NLRP3    |      8.34     |
|  31  |                                            5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide                                           |     ZBP1    |      8.30     |
|  32  |                                                                                       Liothyronine                                                                                      |     ZBP1    |      8.27     |
|  33  |                                            5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide                                           |    NLRP3    |      8.25     |
|  34  |                                                                                          AL4623                                                                                         |    NLRP3    |      8.22     |
|  35  |                                                                                          AL4623                                                                                         |     ZBP1    |      8.22     |
|  36  |                                                6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine                                                |    NLRP3    |      8.18     |
|  37  |                                                                                      Ridaforolimus                                                                                      |    NLRP3    |      8.18     |
|  38  |                                                                                          AL5424                                                                                         |     ZBP1    |      8.17     |
|  39  |                                                                                     Aeruginosin 98-B                                                                                    |    NLRP3    |      8.16     |
|  40  |                                                       (5-phenyl-7-(pyridin-3-ylmethylamino)pyrazolo[1,5-a]pyrimidin-3-yl)methanol                                                       |    NLRP3    |      8.16     |
|  41  |                                                6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine                                                |     ZBP1    |      8.15     |
|  42  |                                                                                        Tazobactam                                                                                       |    NLRP3    |      8.14     |
|  43  |                          (2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE                         |     ZBP1    |      8.14     |
|  44  |                                                                                     Methyclothiazide                                                                                    |     ZBP1    |      8.13     |
|  45  |                                                                                          AL7182                                                                                         |     ZBP1    |      8.13     |
|  46  |                                                                                      Ridaforolimus                                                                                      |     ZBP1    |      8.12     |
|  47  |                                                                                     Methyclothiazide                                                                                    |    NLRP3    |      8.11     |
|  48  |                                                                                     Aeruginosin 98-B                                                                                    |     ZBP1    |      8.10     |
|  49  |                                     N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide                                     |    NLRP3    |      8.09     |
|  50  |                                                                                        Tazobactam                                                                                       |     ZBP1    |      8.09     |
|  51  |                                                       (5-phenyl-7-(pyridin-3-ylmethylamino)pyrazolo[1,5-a]pyrimidin-3-yl)methanol                                                       |     ZBP1    |      8.09     |
|  52  |                                                                                       Barnidipine                                                                                       |    NLRP3    |      8.08     |
|  53  |                                                                                       Mepenzolate                                                                                       |    NLRP3    |      8.07     |
|  54  |                                                                                        Dabrafenib                                                                                       |    NLRP3    |      8.07     |
|  55  |                                                                                        Dabrafenib                                                                                       |     ZBP1    |      8.06     |
|  56  |                          (2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE                         |    NLRP3    |      8.06     |
|  57  |                                     N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide                                     |     ZBP1    |      8.05     |
|  58  |                                                                                       Barnidipine                                                                                       |     ZBP1    |      8.05     |
|  59  |                                                                                       Mepenzolate                                                                                       |     ZBP1    |      8.04     |
|  60  |                                                                                        Moxidectin                                                                                       |    NLRP3    |      8.04     |
|  61  |                                                                                          AL5424                                                                                         |    NLRP3    |      8.03     |
|  62  |                                                 4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol                                                 |     ZBP1    |      8.03     |
|  63  |                                                                                       Liothyronine                                                                                      |    NLRP3    |      8.02     |
|  64  |                                                                                         Apoptone                                                                                        |     ZBP1    |      8.01     |
|  65  |                                                                                        Tipranavir                                                                                       |    NLRP3    |      8.01     |
|  66  |                                                                                        Acitretin                                                                                        |    NLRP3    |      8.00     |
|  67  |                                                                                         Apoptone                                                                                        |    NLRP3    |      8.00     |
|  68  |                                                                                      Levothyroxine                                                                                      |     ZBP1    |      8.00     |
|  69  |                                                                                     Dextrothyroxine                                                                                     |     ZBP1    |      8.00     |
|  70  |                                                                                        Moxidectin                                                                                       |     ZBP1    |      7.99     |
|  71  |                                                                                          AL7182                                                                                         |    NLRP3    |      7.98     |
|  72  |                                                                                        Tipranavir                                                                                       |     ZBP1    |      7.97     |
|  73  |                                                                                      Latrunculin A                                                                                      |    NLRP3    |      7.96     |
|  74  |                                                                                        Doripenem                                                                                        |    NLRP3    |      7.96     |
|  75  |                                                                                        Ulobetasol                                                                                       |    NLRP3    |      7.95     |
|  76  |                                                                                        Acitretin                                                                                        |     ZBP1    |      7.95     |
|  77  |                                                                                        Ribociclib                                                                                       |     ZBP1    |      7.94     |
|  78  |                                                                                     Balanol Analog 1                                                                                    |     ZBP1    |      7.94     |
|  79  |                                                                                      Latrunculin A                                                                                      |     ZBP1    |      7.93     |
|  80  |                                                                                        Doripenem                                                                                        |     ZBP1    |      7.92     |
|  81  |                                                                                        Anatibant                                                                                        |     ZBP1    |      7.92     |
|  82  |                                                                                        Ulobetasol                                                                                       |     ZBP1    |      7.91     |
|  83  |                                                                                        Saredutant                                                                                       |     ZBP1    |      7.91     |
|  84  |                                                                                        Hycanthone                                                                                       |    NLRP3    |      7.90     |
|  85  |                                                                                       Caspofungin                                                                                       |    NLRP3    |      7.90     |
|  86  |                                                                                        Hycanthone                                                                                       |     ZBP1    |      7.89     |
|  87  |                                                                                       Caspofungin                                                                                       |     ZBP1    |      7.89     |
|  88  |                                                                                       Saxagliptin                                                                                       |    NLRP3    |      7.87     |
|  89  |                           (1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile                          |    NLRP3    |      7.87     |
|  90  |                                                                                         Timolol                                                                                         |    NLRP3    |      7.86     |
|  91  |                                                                                        Selamectin                                                                                       |    NLRP3    |      7.86     |
|  92  |                                                                                         Timolol                                                                                         |     ZBP1    |      7.86     |
|  93  |                                                                                      LATRUNCULIN B                                                                                      |    NLRP3    |      7.86     |
|  94  |                                                                                  Candesartan cilexetil                                                                                  |    NLRP3    |      7.85     |
|  95  |                                                                                     Balanol Analog 1                                                                                    |    NLRP3    |      7.85     |
|  96  |                                                                                       Saxagliptin                                                                                       |     ZBP1    |      7.84     |
|  97  |                           (1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile                          |     ZBP1    |      7.84     |
|  98  |                                                                                        Darodipine                                                                                       |    NLRP3    |      7.84     |
|  99  |                                                                                       Canfosfamide                                                                                      |    NLRP3    |      7.84     |
| 100  |                                                                                        Selamectin                                                                                       |     ZBP1    |      7.83     |
| 101  |                                                                                        Boceprevir                                                                                       |    NLRP3    |      7.83     |
| 102  |                                                                                        Sparsentan                                                                                       |     ZBP1    |      7.83     |
| 103  |                                                                                    Mometasone furoate                                                                                   |    NLRP3    |      7.82     |
| 104  |                                                                                      LATRUNCULIN B                                                                                      |     ZBP1    |      7.82     |
| 105  |                                                                                  Candesartan cilexetil                                                                                  |     ZBP1    |      7.82     |
| 106  |                                                                                        Sparsentan                                                                                       |    NLRP3    |      7.82     |
