| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                         CTS-1027                                                                                        |     ZBP1    |      7.45     |
|  2   |                                                                                        Batimastat                                                                                       |    NLRP3    |      7.34     |
|  3   |                                                                                       Mifepristone                                                                                      |    NLRP3    |      7.26     |
|  4   |                                                                                        Batimastat                                                                                       |     ZBP1    |      7.26     |
|  5   |                                                                                          GM6001                                                                                         |    NLRP3    |      7.25     |
|  6   |                                                                                       Mifepristone                                                                                      |     ZBP1    |      7.17     |
|  7   |                                                                                          GM6001                                                                                         |     ZBP1    |      7.13     |
|  8   |                   (2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE                   |    NLRP3    |      7.12     |
|  9   |                                                                                        Ulipristal                                                                                       |    NLRP3    |      7.12     |
|  10  |                                                                                       Onapristone                                                                                       |    NLRP3    |      7.11     |
|  11  |                                                                           1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE                                                                          |    NLRP3    |      7.09     |
|  12  |                                                                                        Ulipristal                                                                                       |     ZBP1    |      7.05     |
|  13  |                                             N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide                                             |    NLRP3    |      7.04     |
|  14  |                                             N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide                                             |     ZBP1    |      7.04     |
|  15  |                                                                                      Brexpiprazole                                                                                      |    NLRP3    |      7.04     |
|  16  |                                                   N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE                                                   |    NLRP3    |      7.04     |
|  17  |                                                                                       Onapristone                                                                                       |     ZBP1    |      7.02     |
|  18  |                   (2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE                   |     ZBP1    |      7.02     |
|  19  |                                                       7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide                                                       |    NLRP3    |      7.00     |
|  20  |                                              (3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                              |     ZBP1    |      7.00     |
|  21  |                                              (3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                              |    NLRP3    |      6.99     |
|  22  |                                              N-hydroxy-4-({4-[4-(trifluoromethyl)phenoxy]phenyl}sulfonyl)tetrahydro-2H-pyran-4-carboxamide                                              |     ZBP1    |      6.95     |
|  23  |                                                                                        Indinavir                                                                                        |     ZBP1    |      6.94     |
|  24  |                                   N4-HYDROXY-2-ISOBUTYL-N1-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YL)-SUCCINAMIDE                                  |    NLRP3    |      6.93     |
|  25  |                                            4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                            |    NLRP3    |      6.92     |
|  26  |                                            4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                            |     ZBP1    |      6.92     |
|  27  |                                                   N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE                                                   |     ZBP1    |      6.92     |
|  28  |                                                                                      Brexpiprazole                                                                                      |     ZBP1    |      6.91     |
|  29  |                                                                                       Roflumilast                                                                                       |    NLRP3    |      6.91     |
