| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                      Staurosporine                                                                                      |    NLRP3    |     14.56     |
|  2   |                              REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE                             |    NLRP3    |     14.45     |
|  3   |                                                                                      Staurosporine                                                                                      |     ZBP1    |     14.02     |
|  4   |                              REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE                             |     ZBP1    |     14.01     |
|  5   |                                                                                        Cenisertib                                                                                       |    NLRP3    |     13.93     |
|  6   |                                                                                       Lestaurtinib                                                                                      |    NLRP3    |     13.80     |
|  7   |                                                                                          Rhein                                                                                          |    NLRP3    |     13.77     |
|  8   |                                                                                  7-Hydroxystaurosporine                                                                                 |    NLRP3    |     13.69     |
|  9   |                                                                         5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone                                                                        |    NLRP3    |     13.65     |
|  10  |                                                                                   Motexafin gadolinium                                                                                  |    NLRP3    |     13.62     |
|  11  |                                                                                    6-O-benzylguanine                                                                                    |    NLRP3    |     13.58     |
|  12  |                                            Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide                                           |    NLRP3    |     13.55     |
|  13  |                                                                                          K-252a                                                                                         |    NLRP3    |     13.52     |
|  14  |                                                  (S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid                                                 |    NLRP3    |     13.50     |
|  15  |                                                                                       Midostaurin                                                                                       |    NLRP3    |     13.41     |
|  16  |                                                                                       Levobunolol                                                                                       |    NLRP3    |     13.39     |
|  17  |                                                                                       Lestaurtinib                                                                                      |     ZBP1    |     13.39     |
|  18  |                                   N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE                                  |    NLRP3    |     13.38     |
|  19  |                                                   N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine                                                  |    NLRP3    |     13.38     |
|  20  |                                                                                  Debromohymenialdisine                                                                                  |    NLRP3    |     13.38     |
|  21  |                                                                                        Diacerein                                                                                        |    NLRP3    |     13.36     |
|  22  |                                                                                       Pilaralisib                                                                                       |    NLRP3    |     13.35     |
|  23  |                                                                                        Semaxanib                                                                                        |    NLRP3    |     13.32     |
|  24  |                                                                         5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone                                                                        |     ZBP1    |     13.31     |
|  25  |                                                        N-ACETYL-L-PHENYLALANYL-4-[DIFLUORO(PHOSPHONO)METHYL]-L-PHENYLALANINAMIDE                                                        |    NLRP3    |     13.31     |
|  26  |                                     6-BROMO-13-THIA-2,4,8,12,19-PENTAAZATRICYCLO[12.3.1.1~3,7~]NONADECA-1(18),3(19),4,6,14,16-HEXAENE 13,13-DIOXIDE                                     |    NLRP3    |     13.30     |
|  27  |                                                                                       Mitoxantrone                                                                                      |    NLRP3    |     13.28     |
|  28  |                                                                                          Rhein                                                                                          |     ZBP1    |     13.28     |
|  29  |                                                                                  7-Hydroxystaurosporine                                                                                 |     ZBP1    |     13.27     |
|  30  |                                     6-BROMO-13-THIA-2,4,8,12,19-PENTAAZATRICYCLO[12.3.1.1~3,7~]NONADECA-1(18),3(19),4,6,14,16-HEXAENE 13,13-DIOXIDE                                     |     ZBP1    |     13.24     |
|  31  |                                                                                          K-252a                                                                                         |     ZBP1    |     13.23     |
|  32  |                                                                                         Danazol                                                                                         |    NLRP3    |     13.23     |
|  33  |                                             2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE                                             |    NLRP3    |     13.22     |
|  34  |                                                                                          R-348                                                                                          |    NLRP3    |     13.21     |
|  35  |                                                                                       Upadacitinib                                                                                      |    NLRP3    |     13.21     |
|  36  |                                   N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE                                  |     ZBP1    |     13.20     |
|  37  |                                                                                         CEP-1347                                                                                        |    NLRP3    |     13.18     |
|  38  |                             Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone                             |    NLRP3    |     13.16     |
|  39  |                                                      5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione                                                     |    NLRP3    |     13.16     |
|  40  |                                                                                         CEP-1347                                                                                        |     ZBP1    |     13.15     |
|  41  |                                                (3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE                                                |    NLRP3    |     13.14     |
|  42  |                                            Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide                                           |     ZBP1    |     13.12     |
|  43  |                                                                                        Cenisertib                                                                                       |     ZBP1    |     13.12     |
|  44  |                                              N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE                                             |    NLRP3    |     13.12     |
|  45  |                                                                    Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]                                                                    |    NLRP3    |     13.12     |
|  46  |                                                                                        Fenoldopam                                                                                       |    NLRP3    |     13.12     |
|  47  |                                                                                       Banoxantrone                                                                                      |    NLRP3    |     13.12     |
|  48  |                                                                                        Lopinavir                                                                                        |    NLRP3    |     13.10     |
|  49  |                                                              D-phenylalanyl-N-{4-[amino(iminio)methyl]benzyl}-L-prolinamide                                                             |    NLRP3    |     13.09     |
|  50  |                                                                                       Treprostinil                                                                                      |    NLRP3    |     13.08     |
