| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                      Pentoxifylline                                                                                     |     ZBP1    |     52.55     |
|  2   |                                                                           Cyclic 3',5'-thymidine monophosphate                                                                          |    NLRP3    |     46.76     |
|  3   |                                                4-(6-{[(4-METHYLCYCLOHEXYL)AMINO]METHYL}-1,4-DIHYDROINDENO[1,2-C]PYRAZOL-3-YL)BENZOIC ACID                                               |     ZBP1    |     46.61     |
|  4   |                                                                             4-(1-methyl-1-phenylethyl)phenol                                                                            |    NLRP3    |     36.79     |
|  5   |                                                                                       Pramipexole                                                                                       |    NLRP3    |     35.40     |
|  6   |                                                       3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE                                                      |     ZBP1    |     33.31     |
|  7   |                                                                               2-Nonyl-4-quinolinol 1-oxide                                                                              |    NLRP3    |     33.12     |
|  8   |                                                                                        Lpc-Ether                                                                                        |    NLRP3    |     30.49     |
|  9   |                                                                                  Aluminium monostearate                                                                                 |    NLRP3    |     30.12     |
|  10  |                                                                                        Medrysone                                                                                        |     ZBP1    |     29.02     |
|  11  |                                                                                        Daglutril                                                                                        |    NLRP3    |     28.49     |
|  12  |                                                                                        Telaprevir                                                                                       |     ZBP1    |     28.47     |
|  13  |                                                                                       Binimetinib                                                                                       |     ZBP1    |     28.16     |
|  14  |                                                                                        Procaterol                                                                                       |     ZBP1    |     27.80     |
|  15  |                                                                                      Sodium citrate                                                                                     |    NLRP3    |     27.74     |
|  16  |                                                                                 1,3,2-Dioxaborolan-2-Ol                                                                                 |     ZBP1    |     27.72     |
|  17  |                                                     (S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide                                                    |    NLRP3    |     27.55     |
|  18  |                                                                                         Abacavir                                                                                        |     ZBP1    |     27.42     |
|  19  |                                                                                        Alfuzosin                                                                                        |    NLRP3    |     26.96     |
|  20  |                                                                                        Nitisinone                                                                                       |     ZBP1    |     26.37     |
|  21  |                                                                    6-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEXANOIC ACID                                                                    |     ZBP1    |     26.07     |
|  22  |                                                               1-{2-OXO-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-5-YL}UREA                                                              |    NLRP3    |     25.63     |
|  23  |                                                                    5-(2-chlorophenyl)-1,3,4-thiadiazole-2-sulfonamide                                                                   |     ZBP1    |     25.59     |
|  24  |                                                                  Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate                                                                  |     ZBP1    |     25.06     |
|  25  |                                                                                       Rivaroxaban                                                                                       |     ZBP1    |     24.65     |
|  26  |                                                                                        Serotonin                                                                                        |    NLRP3    |     24.56     |
|  27  |                                                                         2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE                                                                        |     ZBP1    |     24.37     |
|  28  |                                                                                        Vindesine                                                                                        |     ZBP1    |     24.23     |
|  29  |                                                                                        Velusetrag                                                                                       |     ZBP1    |     24.04     |
|  30  |                                                                                        Ceritinib                                                                                        |    NLRP3    |     23.97     |
|  31  |                                   5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1-BENZOTHIOPHENE-2-SULFONAMIDE                                   |     ZBP1    |     23.72     |
|  32  |                                                                                       Canfosfamide                                                                                      |    NLRP3    |     23.46     |
|  33  |                                                                                 Methyl alpha-D-mannoside                                                                                |     ZBP1    |     23.46     |
|  34  |                                                                                     Doxercalciferol                                                                                     |    NLRP3    |     23.40     |
|  35  |                                               4-[(5-{[4-(3-CHLOROPHENYL)-3-OXOPIPERAZIN-1-YL]METHYL}-1H-IMIDAZOL-1-YL)METHYL]BENZONITRILE                                               |    NLRP3    |     23.25     |
|  36  |                                                                                        Mibolerone                                                                                       |    NLRP3    |     23.05     |
|  37  |                                                                               5-phenyl-1H-indazol-3-amine                                                                               |    NLRP3    |     23.04     |
|  38  |                                                                                        Tiopronin                                                                                        |     ZBP1    |     22.86     |
|  39  |                                                                                       Eprinomectin                                                                                      |     ZBP1    |     22.82     |
|  40  |                                                                                        Eletriptan                                                                                       |     ZBP1    |     22.51     |
|  41  |                                               2-amino-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide                                               |    NLRP3    |     22.50     |
|  42  |                                                               (3R)-4,4-DIFLUORO-3-[(4-METHOXYPHENYL)SULFONYL]BUTANOIC ACID                                                              |    NLRP3    |     22.45     |
|  43  |                                                                                       Glimepiride                                                                                       |     ZBP1    |     22.14     |
|  44  |                                                                                       Delafloxacin                                                                                      |     ZBP1    |     22.12     |
|  45  |                                                                                  Methacrylyl-Coenzyme A                                                                                 |    NLRP3    |     22.05     |
|  46  |                                                                                        Ampicillin                                                                                       |    NLRP3    |     21.55     |
|  47  |                                                                                       Phenindamine                                                                                      |     ZBP1    |     21.54     |
|  48  |                                                                                        Tasosartan                                                                                       |     ZBP1    |     21.49     |
|  49  |                                                                               S-Hydroxymethyl Glutathione                                                                               |    NLRP3    |     21.42     |
|  50  |                                                                                       Terbutaline                                                                                       |    NLRP3    |     21.42     |
|  51  |                                                                                       Becatecarin                                                                                       |     ZBP1    |     21.31     |
|  52  |                                                    N-[7-(3-AMINOPHENYL)-5-METHOXY-1,3-BENZOXAZOL-2-YL]-2,5-DICHLOROBENZENESULFONAMIDE                                                   |     ZBP1    |     21.24     |
|  53  |                                                                                      Acetylcysteine                                                                                     |     ZBP1    |     21.00     |
|  54  |                                               (3R)-3-(FLUOROMETHYL)-N-(3,3,3-TRIFLUOROPROPYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE                                              |     ZBP1    |     20.94     |
|  55  |                                                                                 16-Bromoepiandrosterone                                                                                 |    NLRP3    |     20.91     |
|  56  |                                                                       D-1-naphthyl-2-acetamido-ethane boronic acid                                                                      |     ZBP1    |     20.78     |
|  57  |                                                                                         Choline                                                                                         |     ZBP1    |     20.74     |
|  58  |                                              N-[3-[[4-[(5-CHLORO-1,3-BENZODIOXOL-4-YL)AMINO]PYRIMIDIN-2-YL]AMINO]PHENYL]METHANESULFONAMIDE                                              |     ZBP1    |     20.63     |
|  59  |                                                                           4-(2-AMINOPHENYL)-4-OXOBUTANOIC ACID                                                                          |    NLRP3    |     20.61     |
|  60  |                                                                     2-[(2',3',4'-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL                                                                     |    NLRP3    |     20.49     |
|  61  |                                                                                      Levetiracetam                                                                                      |    NLRP3    |     20.43     |
|  62  |                                                         (2Z)-N-(3-chloro-2'-methoxybiphenyl-4-yl)-2-cyano-3-hydroxybut-2-enamide                                                        |    NLRP3    |     20.34     |
|  63  |                               N-{1-[(1-carbamoylcyclopropyl)methyl]piperidin-4-yl}-N-cyclopropyl-4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]benzamide                              |     ZBP1    |     20.17     |
|  64  |                                                                                        Talinolol                                                                                        |     ZBP1    |     20.03     |
|  65  |                                                                                       Metaraminol                                                                                       |    NLRP3    |     19.96     |
|  66  |                                                    N-[7-(3-AMINOPHENYL)-5-METHOXY-1,3-BENZOXAZOL-2-YL]-2,5-DICHLOROBENZENESULFONAMIDE                                                   |    NLRP3    |     19.94     |
|  67  |                                                        4-({[(4-METHYLPIPERAZIN-1-YL)AMINO]CARBONOTHIOYL}AMINO)BENZENESULFONAMIDE                                                        |     ZBP1    |     19.85     |
|  68  |                                                                                      Thiabendazole                                                                                      |    NLRP3    |     19.77     |
|  69  |                                                                                      Etidronic acid                                                                                     |    NLRP3    |     19.76     |
|  70  |                                                                                   Tetrahydrofolic acid                                                                                  |    NLRP3    |     19.71     |
|  71  |                                                               CARBOBENZYLOXY-(L)-LEUCINYL-(L)LEUCINYL METHOXYMETHYLKETONE                                                               |     ZBP1    |     19.60     |
|  72  |                                            N-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1H-pyrrolo[2,3-b]pyridin-2-yl)-1H-indole-5-carboxamide                                           |     ZBP1    |     19.49     |
|  73  |                                                                                   Phenylpropanolamine                                                                                   |    NLRP3    |     19.41     |
|  74  |                                                                              4,4'-PROPANE-2,2-DIYLDIPHENOL                                                                              |    NLRP3    |     19.40     |
|  75  |                                                                                         Nadolol                                                                                         |    NLRP3    |     19.38     |
|  76  |                                                                                        Famotidine                                                                                       |    NLRP3    |     19.21     |
|  77  |                                                                                        Talarozole                                                                                       |    NLRP3    |     19.18     |
