| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                        Bilastine                                                                                        |    NLRP3    |     64.24     |
|  2   |                                                                                     Deoxycholic acid                                                                                    |     ZBP1    |     61.76     |
|  3   |                                                                                         Taurine                                                                                         |    NLRP3    |     59.10     |
|  4   |                                                                                         Suprofen                                                                                        |     ZBP1    |     43.50     |
|  5   |                                                                                     Isoamyl alcohol                                                                                     |    NLRP3    |     42.73     |
|  6   |                                                       3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE                                                      |     ZBP1    |     41.57     |
|  7   |                                                                  Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide                                                                  |     ZBP1    |     39.34     |
|  8   |                                                                                       Mdl 101,146                                                                                       |     ZBP1    |     37.84     |
|  9   |                                     4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine                                     |     ZBP1    |     35.44     |
|  10  |                                             3-({[3,5-DIFLUORO-3'-(TRIFLUOROMETHOXY)BIPHENYL-4-YL]AMINO}CARBONYL)THIOPHENE-2-CARBOXYLIC ACID                                             |    NLRP3    |     34.92     |
|  11  |                                                                                         Cefdinir                                                                                        |    NLRP3    |     31.82     |
|  12  |                                                                                       Chlorambucil                                                                                      |     ZBP1    |     29.89     |
|  13  |                                                                                       Ruxolitinib                                                                                       |    NLRP3    |     29.42     |
|  14  |                                                                                       Fesoterodine                                                                                      |     ZBP1    |     28.74     |
|  15  |                                               (3R)-3-(FLUOROMETHYL)-N-(3,3,3-TRIFLUOROPROPYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE                                              |     ZBP1    |     28.37     |
|  16  |                                                                                        Teniposide                                                                                       |    NLRP3    |     27.49     |
|  17  |                                                      BUT-3-ENYL-[5-(4-CHLORO-PHENYL)-3,6-DIHYDRO-[1,3,4]THIADIAZIN-2-YLIDENE]-AMINE                                                     |     ZBP1    |     25.58     |
|  18  |                                                                                  S-(2-oxo)pentadecylcoa                                                                                 |    NLRP3    |     25.49     |
|  19  |                                                                          P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid                                                                         |     ZBP1    |     23.39     |
|  20  |                 N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide                 |     ZBP1    |     23.10     |
|  21  |                                                                                        Amsacrine                                                                                        |    NLRP3    |     22.49     |
|  22  |                                                                                        Alfuzosin                                                                                        |    NLRP3    |     22.45     |
|  23  |                                                                     2',3'-dideoxy-3'-fluoro-urididine-5'-diphosphate                                                                    |    NLRP3    |     21.46     |
|  24  |                                                                                    S-Hydroxycysteine                                                                                    |     ZBP1    |     21.31     |
|  25  |                                                                                        Ampicillin                                                                                       |    NLRP3    |     21.27     |
|  26  |                                                                   N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide                                                                   |     ZBP1    |     20.74     |
|  27  |                                                                                        Fusicoccin                                                                                       |     ZBP1    |     20.38     |
|  28  |                                                                                       Famciclovir                                                                                       |     ZBP1    |     20.06     |
|  29  |                                                                                        Serotonin                                                                                        |    NLRP3    |     19.91     |
