| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                         Taurine                                                                                         |    NLRP3    |     95.53     |
|  2   |                                                                                     Deoxycholic acid                                                                                    |     ZBP1    |     87.82     |
|  3   |                                                                                     Isoamyl alcohol                                                                                     |    NLRP3    |     85.25     |
|  4   |                                                                           2-ANILINO-6-CYCLOHEXYLMETHOXYPURINE                                                                           |     ZBP1    |     61.15     |
|  5   |                                                                                         Ebastine                                                                                        |    NLRP3    |     57.95     |
|  6   |                                                               1-{2-OXO-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-5-YL}UREA                                                              |     ZBP1    |     52.71     |
|  7   |                                                                                        Tolvaptan                                                                                        |    NLRP3    |     51.84     |
|  8   |                                                                                         Cefdinir                                                                                        |    NLRP3    |     47.19     |
|  9   |                                                                                        Irinotecan                                                                                       |    NLRP3    |     44.61     |
|  10  |                                                               N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide                                                               |    NLRP3    |     44.32     |
|  11  |                                                                            4-(N,N-Dimethylamino)cinnamoyl-CoA                                                                           |    NLRP3    |     44.29     |
|  12  |                                                         1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea                                                        |    NLRP3    |     43.86     |
|  13  |                                                                                        Radicicol                                                                                        |     ZBP1    |     43.64     |
|  14  |                                                                                          PX-12                                                                                          |     ZBP1    |     41.63     |
|  15  |                                                                                       Seratrodast                                                                                       |     ZBP1    |     40.82     |
|  16  |                                                                                       Eflornithine                                                                                      |    NLRP3    |     40.65     |
|  17  |                                                                                      Benzquinamide                                                                                      |    NLRP3    |     40.53     |
|  18  |                                                                                        Lpc-Ether                                                                                        |     ZBP1    |     40.07     |
|  19  |                                                                                        Ganirelix                                                                                        |    NLRP3    |     39.79     |
|  20  |                                                                                           Tmr                                                                                           |     ZBP1    |     39.78     |
|  21  |                                                                                        Lanosterol                                                                                       |     ZBP1    |     39.71     |
|  22  |                                                                  1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide                                                                  |     ZBP1    |     39.56     |
|  23  |                                             (2R)-N-{4-[Ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide                                            |     ZBP1    |     39.53     |
|  24  |                                                 5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide                                                |     ZBP1    |     39.49     |
|  25  |                                                                          2-(2-HYDROXY-CYCLOPENTYL)-PENT-4-ENAL                                                                          |     ZBP1    |     38.95     |
|  26  |                                                   N-({(2S)-1-[(3R)-3-AMINO-4-(2-FLUOROPHENYL)BUTANOYL]PYRROLIDIN-2-YL}METHYL)BENZAMIDE                                                  |     ZBP1    |     38.82     |
|  27  |                                                                             3-isobutyl-1-methyl-7H-xanthine                                                                             |    NLRP3    |     38.68     |
|  28  |                                                                                        Metyrosine                                                                                       |    NLRP3    |     38.44     |
|  29  |                                                                                        Radicicol                                                                                        |    NLRP3    |     38.07     |
|  30  |                                                            N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE                                                           |    NLRP3    |     37.97     |
|  31  |                                                                                         NPS-2143                                                                                        |    NLRP3    |     37.73     |
|  32  |                                    1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide                                   |     ZBP1    |     37.57     |
|  33  |                                                                                      Penicillamine                                                                                      |    NLRP3    |     37.18     |
|  34  |                                                                                       Nateglinide                                                                                       |     ZBP1    |     37.13     |
|  35  |                                                                                      Triamcinolone                                                                                      |     ZBP1    |     37.05     |
|  36  |                                                                                       Aceclofenac                                                                                       |    NLRP3    |     36.85     |
|  37  |                                                                                        Guanadrel                                                                                        |     ZBP1    |     36.44     |
|  38  |                                                                                3,4-Dihydroxycinnamic Acid                                                                               |    NLRP3    |     36.42     |
|  39  |                              (2S,3S)-3-{3-[2-chloro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazol-5-yl}-1-cyclopentylidene-4-cyclopropyl-1-fluorobutan-2-amine                              |    NLRP3    |     36.23     |
|  40  |                                                                                       Albendazole                                                                                       |    NLRP3    |     36.22     |
|  41  |                                                                            Acetic Acid Salicyloyl-Amino-Ester                                                                           |     ZBP1    |     36.19     |
|  42  |                                                        N~3~-[5-(1H-INDOL-6-YL)-2-(PYRIDIN-2-YLMETHOXY)BENZYL]PYRIDINE-2,3-DIAMINE                                                       |    NLRP3    |     36.09     |
|  43  |                                                                                       Theophylline                                                                                      |    NLRP3    |     36.04     |
|  44  |                                                                                        Reserpine                                                                                        |     ZBP1    |     36.02     |
|  45  |                                                                                      Phenylephrine                                                                                      |    NLRP3    |     35.76     |
|  46  |                                       5-(3-{3-[3-HYDROXY-2-(METHOXYCARBONYL)PHENOXY]PROPENYL}PHENYL)-4-(HYDROXYMETHYL)ISOXAZOLE-3-CARBOXYLIC ACID                                       |     ZBP1    |     35.66     |
|  47  |                                                                                      Bafilomycin B1                                                                                     |     ZBP1    |     35.41     |
|  48  |                                                                   (TERT-BUTYLOXYCARBONYL)-ALANYL-AMINO ETHYL-FORMAMIDE                                                                  |    NLRP3    |     35.33     |
|  49  |                                                                                      Nalidixic acid                                                                                     |    NLRP3    |     35.29     |
|  50  |                                                                                       Etheno-Nadp                                                                                       |    NLRP3    |     35.28     |
