| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                       Encorafenib                                                                                       |     ZBP1    |      7.59     |
|  2   |                                                                                       Encorafenib                                                                                       |    NLRP3    |      7.55     |
|  3   |                                          6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2H)-one                                          |    NLRP3    |      7.47     |
|  4   |                                          6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2H)-one                                          |     ZBP1    |      7.44     |
|  5   |                                                                                        Dovitinib                                                                                        |     ZBP1    |      7.43     |
|  6   |                                        Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |     ZBP1    |      7.35     |
|  7   |                                                                                        Dovitinib                                                                                        |    NLRP3    |      7.33     |
|  8   |                                                                                         Epanolol                                                                                        |    NLRP3    |      7.28     |
|  9   |                                                                                         Epanolol                                                                                        |     ZBP1    |      7.25     |
|  10  |                                                                                        Batimastat                                                                                       |    NLRP3    |      7.24     |
|  11  |                                                                                       Mifepristone                                                                                      |    NLRP3    |      7.21     |
|  12  |                                                                                         NPS-2143                                                                                        |    NLRP3    |      7.19     |
|  13  |                                                                                        Batimastat                                                                                       |     ZBP1    |      7.19     |
|  14  |                                                                                        ORG-34517                                                                                        |    NLRP3    |      7.15     |
|  15  |                                                                                       Mifepristone                                                                                      |     ZBP1    |      7.14     |
|  16  |                                                                                        Aclidinium                                                                                       |     ZBP1    |      7.14     |
|  17  |                                                             (2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate                                                            |    NLRP3    |      7.13     |
|  18  |                                                                                          GM6001                                                                                         |    NLRP3    |      7.12     |
|  19  |                                                             (2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate                                                            |     ZBP1    |      7.10     |
|  20  |                                                                                        ORG-34517                                                                                        |     ZBP1    |      7.10     |
|  21  |                                                  (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE                                                 |    NLRP3    |      7.09     |
|  22  |                                               [1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate                                              |     ZBP1    |      7.08     |
|  23  |                                                                                         NPS-2143                                                                                        |     ZBP1    |      7.06     |
|  24  |                                                  (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE                                                 |     ZBP1    |      7.05     |
|  25  |                                                                                          GM6001                                                                                         |     ZBP1    |      7.04     |
|  26  |                                                                                       Trimetrexate                                                                                      |     ZBP1    |      7.01     |
|  27  |                                        Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |    NLRP3    |      6.99     |
