| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                 4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol                                                 |     ZBP1    |      9.02     |
|  2   |                                                 4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol                                                 |    NLRP3    |      8.90     |
|  3   |                                                      (9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL                                                      |     ZBP1    |      8.89     |
|  4   |                                           (4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide                                           |     ZBP1    |      8.86     |
|  5   |                                                                                       Dorzolamide                                                                                       |     ZBP1    |      8.85     |
|  6   |                                                                                          AL6528                                                                                         |     ZBP1    |      8.82     |
|  7   |                                                                                       Zolmitriptan                                                                                      |     ZBP1    |      8.82     |
|  8   |                                                      (9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL                                                      |    NLRP3    |      8.80     |
|  9   |                                                                                       Brinzolamide                                                                                      |     ZBP1    |      8.80     |
|  10  |                                           (4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide                                           |    NLRP3    |      8.78     |
|  11  |                                                                                          AL6528                                                                                         |    NLRP3    |      8.75     |
|  12  |                                                                                       Dorzolamide                                                                                       |    NLRP3    |      8.75     |
|  13  |                                                                                       Zolmitriptan                                                                                      |    NLRP3    |      8.75     |
|  14  |                                                                                       Brinzolamide                                                                                      |    NLRP3    |      8.73     |
|  15  |                                                                                          AL5424                                                                                         |     ZBP1    |      8.73     |
|  16  |                                                                                        Boldenone                                                                                        |     ZBP1    |      8.72     |
|  17  |                                                                                          AL5424                                                                                         |    NLRP3    |      8.66     |
|  18  |                                                                                        Anatibant                                                                                        |     ZBP1    |      8.64     |
|  19  |                                                                                        Boldenone                                                                                        |    NLRP3    |      8.62     |
|  20  |                                                                                          AL7182                                                                                         |     ZBP1    |      8.56     |
|  21  |                                                                                        Anatibant                                                                                        |    NLRP3    |      8.56     |
|  22  |                                                                                          AL7182                                                                                         |    NLRP3    |      8.50     |
|  23  |                                                                                        Stanolone                                                                                        |     ZBP1    |      8.49     |
|  24  |                                                                                5beta-dihydrotestosterone                                                                                |     ZBP1    |      8.49     |
|  25  |                                                                                    Mometasone furoate                                                                                   |     ZBP1    |      8.49     |
|  26  |                                                                                    2-Methoxyestradiol                                                                                   |     ZBP1    |      8.48     |
|  27  |                                                                                        Penbutolol                                                                                       |     ZBP1    |      8.44     |
|  28  |                                                                                        Stanolone                                                                                        |    NLRP3    |      8.43     |
|  29  |                                                                                5beta-dihydrotestosterone                                                                                |    NLRP3    |      8.43     |
|  30  |                                                                                        Forodesine                                                                                       |     ZBP1    |      8.43     |
|  31  |                                                                                    Mometasone furoate                                                                                   |    NLRP3    |      8.42     |
|  32  |                                                                                        Darunavir                                                                                        |     ZBP1    |      8.41     |
|  33  |                                                                                          AL5300                                                                                         |     ZBP1    |      8.41     |
|  34  |                                                                                    2-Methoxyestradiol                                                                                   |    NLRP3    |      8.41     |
|  35  |                                                                                          AL4623                                                                                         |     ZBP1    |      8.40     |
|  36  |                                                                                        Forodesine                                                                                       |    NLRP3    |      8.37     |
|  37  |                                            5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide                                           |     ZBP1    |      8.35     |
|  38  |                                                                                        Darunavir                                                                                        |    NLRP3    |      8.35     |
|  39  |                                                                                        Penbutolol                                                                                       |    NLRP3    |      8.34     |
|  40  |                                                                                        Tertatolol                                                                                       |     ZBP1    |      8.34     |
|  41  |                                                                                          AL5300                                                                                         |    NLRP3    |      8.34     |
|  42  |                                                                                          AL4623                                                                                         |    NLRP3    |      8.33     |
|  43  |                                            5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide                                           |    NLRP3    |      8.28     |
|  44  |                                                                                        Veliparib                                                                                        |     ZBP1    |      8.26     |
|  45  |                                                                                        Lopinavir                                                                                        |     ZBP1    |      8.26     |
|  46  |                                                                                        Tertatolol                                                                                       |    NLRP3    |      8.24     |
|  47  |                                                                                      1-Testosterone                                                                                     |     ZBP1    |      8.22     |
|  48  |                                                                                        Tamsulosin                                                                                       |     ZBP1    |      8.20     |
|  49  |                                                                                        Lopinavir                                                                                        |    NLRP3    |      8.19     |
|  50  |                                                                                        Veliparib                                                                                        |    NLRP3    |      8.19     |
|  51  |                                                                                        Tacrolimus                                                                                       |     ZBP1    |      8.18     |
|  52  |                                                                                     Resiniferatoxin                                                                                     |     ZBP1    |      8.16     |
|  53  |                                                                                      1-Testosterone                                                                                     |    NLRP3    |      8.16     |
|  54  |                                                                                        Tamsulosin                                                                                       |    NLRP3    |      8.13     |
|  55  |                                                                                     Resiniferatoxin                                                                                     |    NLRP3    |      8.10     |
|  56  |                                                                                       Testosterone                                                                                      |     ZBP1    |      8.09     |
|  57  |                                                                                     Epitestosterone                                                                                     |     ZBP1    |      8.09     |
|  58  |                                                                                        Tacrolimus                                                                                       |    NLRP3    |      8.09     |
|  59  |                                                                                  Clobetasol propionate                                                                                  |     ZBP1    |      8.08     |
|  60  |                                                                (2S)-1-(9H-Carbazol-4-yloxy)-3-(isopropylamino)propan-2-ol                                                               |     ZBP1    |      8.07     |
|  61  |                                                                                        Carvedilol                                                                                       |     ZBP1    |      8.04     |
|  62  |                                                                                       Calusterone                                                                                       |     ZBP1    |      8.04     |
|  63  |                                                                                       Testosterone                                                                                      |    NLRP3    |      8.03     |
|  64  |                                                                                     Epitestosterone                                                                                     |    NLRP3    |      8.03     |
|  65  |                                                                                  Clobetasol propionate                                                                                  |    NLRP3    |      8.01     |
|  66  |                                                               2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE                                                              |     ZBP1    |      7.98     |
|  67  |                                                                                        Bupranolol                                                                                       |     ZBP1    |      7.98     |
|  68  |                                                                                       Dexanabinol                                                                                       |     ZBP1    |      7.97     |
|  69  |                                                                                       Calusterone                                                                                       |    NLRP3    |      7.97     |
|  70  |                                                                                      Norelgestromin                                                                                     |     ZBP1    |      7.97     |
|  71  |                                                                                        Mometasone                                                                                       |     ZBP1    |      7.93     |
|  72  |                                                                                        Ponatinib                                                                                        |     ZBP1    |      7.93     |
|  73  |                                                                                        Cardarine                                                                                        |     ZBP1    |      7.92     |
|  74  |                                                               2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE                                                              |    NLRP3    |      7.91     |
|  75  |                                                                                      Ethoxzolamide                                                                                      |     ZBP1    |      7.90     |
|  76  |                                                                                        Estradiol                                                                                        |     ZBP1    |      7.90     |
|  77  |                                                                                      Levonorgestrel                                                                                     |     ZBP1    |      7.90     |
|  78  |                                                                                        Norgestrel                                                                                       |     ZBP1    |      7.90     |
|  79  |                                                                                      Norelgestromin                                                                                     |    NLRP3    |      7.89     |
|  80  |                                                                                        Lenvatinib                                                                                       |     ZBP1    |      7.88     |
|  81  |                                                                                       Dexanabinol                                                                                       |    NLRP3    |      7.88     |
|  82  |                                                                                        Ponatinib                                                                                        |    NLRP3    |      7.88     |
|  83  |                                                                                         MK-1775                                                                                         |     ZBP1    |      7.87     |
|  84  |                                                                                        PH-797804                                                                                        |     ZBP1    |      7.87     |
|  85  |                                                                                        Carvedilol                                                                                       |    NLRP3    |      7.86     |
|  86  |                                                                                        Mometasone                                                                                       |    NLRP3    |      7.86     |
|  87  |                                                                                        Cardarine                                                                                        |    NLRP3    |      7.85     |
