| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                       Lestaurtinib                                                                                      |    NLRP3    |      7.23     |
|  2   |                                                                                       Lestaurtinib                                                                                      |     ZBP1    |      7.22     |
|  3   |                                                                                          K-252a                                                                                         |    NLRP3    |      7.19     |
|  4   |                                                                                          K-252a                                                                                         |     ZBP1    |      7.18     |
|  5   |                                                                                      Staurosporine                                                                                      |    NLRP3    |      7.16     |
|  6   |                                                                                  7-Hydroxystaurosporine                                                                                 |    NLRP3    |      7.12     |
|  7   |                                                                                         CEP-1347                                                                                        |    NLRP3    |      6.98     |
|  8   |                                                                                      Staurosporine                                                                                      |     ZBP1    |      6.98     |
|  9   |                                                                                         CEP-1347                                                                                        |     ZBP1    |      6.89     |
|  10  |                                                                                  7-Hydroxystaurosporine                                                                                 |     ZBP1    |      6.85     |
|  11  |                                                                                        Sunitinib                                                                                        |    NLRP3    |      6.74     |
|  12  |                                                                                        Sunitinib                                                                                        |     ZBP1    |      6.72     |
|  13  |                              5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE                              |    NLRP3    |      6.64     |
|  14  |                              5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE                              |     ZBP1    |      6.63     |
|  15  |                              REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE                             |    NLRP3    |      6.57     |
|  16  |                              REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE                             |     ZBP1    |      6.56     |
|  17  |                                          5-[(Z)-(5-Chloro-2-oxo-1,2-dihydro-3H-indol-3-ylidene)methyl]-N,2,4-trimethyl-1H-pyrrole-3-carboxamide                                         |     ZBP1    |      6.44     |
|  18  |                                                                                 Hydrocortisone succinate                                                                                |     ZBP1    |      6.40     |
|  19  |                                                                                        Colforsin                                                                                        |     ZBP1    |      6.38     |
|  20  |                                                                                       Efonidipine                                                                                       |     ZBP1    |      6.37     |
|  21  |                                                                                      Hydrocortamate                                                                                     |     ZBP1    |      6.36     |
|  22  |                                                                                       Flunisolide                                                                                       |     ZBP1    |      6.35     |
