| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                      Staurosporine                                                                                      |    NLRP3    |     14.23     |
|  2   |                                                                                      Staurosporine                                                                                      |     ZBP1    |     13.75     |
|  3   |                                                                                          Emodin                                                                                         |     ZBP1    |     13.38     |
|  4   |                                                                                  7-Hydroxystaurosporine                                                                                 |    NLRP3    |     13.31     |
|  5   |                                                                                          K-252a                                                                                         |     ZBP1    |     13.24     |
|  6   |                                                                                       Midostaurin                                                                                       |    NLRP3    |     13.23     |
|  7   |                                                                                          Emodin                                                                                         |    NLRP3    |     13.23     |
|  8   |                                                                                          K-252a                                                                                         |    NLRP3    |     13.22     |
|  9   |                                                                                       Lestaurtinib                                                                                      |    NLRP3    |     13.17     |
|  10  |                                                                                         CEP-1347                                                                                        |    NLRP3    |     13.10     |
|  11  |                                                                                         Balanol                                                                                         |    NLRP3    |     13.04     |
|  12  |                                                          1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine                                                          |     ZBP1    |     13.03     |
|  13  |                                                          1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine                                                          |    NLRP3    |     13.00     |
|  14  |                                                      (2S)-1-{[5-(1H-Indazol-5-yl)-3-pyridinyl]oxy}-3-(7aH-indol-3-yl)-2-propanamine                                                     |    NLRP3    |     12.89     |
|  15  |                                                                                       Lestaurtinib                                                                                      |     ZBP1    |     12.83     |
|  16  |                                                                                  7-Hydroxystaurosporine                                                                                 |     ZBP1    |     12.75     |
|  17  |                                                                                        Sunitinib                                                                                        |    NLRP3    |     12.71     |
|  18  |                                                                                         Balanol                                                                                         |     ZBP1    |     12.70     |
|  19  |                                                3-(9-HYDROXY-1,3-DIOXO-4-PHENYL-2,3-DIHYDROPYRROLO[3,4-C]CARBAZOL-6(1H)-YL)PROPANOIC ACID                                                |    NLRP3    |     12.70     |
|  20  |                              5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE                              |    NLRP3    |     12.67     |
