| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                        Ponatinib                                                                                        |     ZBP1    |      8.59     |
|  2   |                                                                                        Aclidinium                                                                                       |     ZBP1    |      8.59     |
|  3   |                                             N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide                                             |    NLRP3    |      8.52     |
|  4   |                                             N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide                                             |     ZBP1    |      8.50     |
|  5   |                                                                                        Aclidinium                                                                                       |    NLRP3    |      8.46     |
|  6   |                                                                                        Ponatinib                                                                                        |    NLRP3    |      8.44     |
|  7   |                                                                                        Rifalazil                                                                                        |     ZBP1    |      8.44     |
|  8   |                                                                                      Ethoxzolamide                                                                                      |     ZBP1    |      8.35     |
|  9   |                                                                                        Rifalazil                                                                                        |    NLRP3    |      8.32     |
|  10  |                                        Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |     ZBP1    |      8.27     |
|  11  |                                                                                      Ethoxzolamide                                                                                      |    NLRP3    |      8.23     |
|  12  |                                                                                        Cangrelor                                                                                        |     ZBP1    |      8.22     |
|  13  |                                                                                      Diprenorphine                                                                                      |    NLRP3    |      8.20     |
|  14  |                                        Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |     ZBP1    |      8.16     |
|  15  |                                                                                      Diprenorphine                                                                                      |     ZBP1    |      8.15     |
|  16  |                                                                                        Dovitinib                                                                                        |     ZBP1    |      8.15     |
|  17  |                                        Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |    NLRP3    |      8.15     |
|  18  |                                                            1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3                                                            |     ZBP1    |      8.11     |
|  19  |                                                                                      Buprenorphine                                                                                      |    NLRP3    |      8.10     |
|  20  |                                                                                        Cangrelor                                                                                        |    NLRP3    |      8.10     |
|  21  |                                                                                      Glycopyrronium                                                                                     |     ZBP1    |      8.09     |
|  22  |                                          6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2H)-one                                          |     ZBP1    |      8.04     |
|  23  |                                                                                         CTS-1027                                                                                        |     ZBP1    |      8.04     |
|  24  |                                        Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |    NLRP3    |      8.04     |
|  25  |                                                                                        Dovitinib                                                                                        |    NLRP3    |      8.04     |
|  26  |                                                            1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3                                                            |    NLRP3    |      8.00     |
|  27  |                                                                                      Glycopyrronium                                                                                     |    NLRP3    |      7.99     |
|  28  |                                                                                         Afatinib                                                                                        |     ZBP1    |      7.95     |
|  29  |                                          6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2H)-one                                          |    NLRP3    |      7.95     |
|  30  |                                                                                        Eribaxaban                                                                                       |     ZBP1    |      7.93     |
|  31  |                                                                                         CTS-1027                                                                                        |    NLRP3    |      7.92     |
|  32  |                                                             2-(cycloheptylmethyl)-1,1-dioxido-1-benzothiophen-6-yl sulfamate                                                            |     ZBP1    |      7.91     |
|  33  |                                                                                         Afatinib                                                                                        |    NLRP3    |      7.88     |
|  34  |                                                                                          GM6001                                                                                         |     ZBP1    |      7.87     |
|  35  |                                                                                        Rifaximin                                                                                        |     ZBP1    |      7.85     |
|  36  |                                                                                        Etorphine                                                                                        |    NLRP3    |      7.84     |
|  37  |                                                                                          GM6001                                                                                         |    NLRP3    |      7.84     |
|  38  |                                                                                          AL5424                                                                                         |     ZBP1    |      7.83     |
|  39  |                                                                                        Eribaxaban                                                                                       |    NLRP3    |      7.83     |
|  40  |                                                             (2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate                                                            |     ZBP1    |      7.83     |
|  41  |                                                                                        Rifaximin                                                                                        |    NLRP3    |      7.82     |
|  42  |                                                                                       Eldecalcitol                                                                                      |     ZBP1    |      7.82     |
|  43  |                                                                                       Eldecalcitol                                                                                      |    NLRP3    |      7.82     |
|  44  |                                                             2-(cycloheptylmethyl)-1,1-dioxido-1-benzothiophen-6-yl sulfamate                                                            |    NLRP3    |      7.81     |
|  45  |                                                                                          Y-700                                                                                          |     ZBP1    |      7.79     |
|  46  |                                                                                       Zanubrutinib                                                                                      |     ZBP1    |      7.79     |
|  47  |                                                                                        Siponimod                                                                                        |     ZBP1    |      7.78     |
|  48  |                                                     (2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide                                                     |    NLRP3    |      7.77     |
|  49  |                                                                                        Thiorphan                                                                                        |     ZBP1    |      7.77     |
|  50  |                                                                                      Buprenorphine                                                                                      |     ZBP1    |      7.77     |
|  51  |                                                                  N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE                                                                 |     ZBP1    |      7.76     |
|  52  |                                                                                       Ruxolitinib                                                                                       |    NLRP3    |      7.76     |
|  53  |                                                                                       Encorafenib                                                                                       |     ZBP1    |      7.75     |
|  54  |                                                                                          AL5424                                                                                         |    NLRP3    |      7.74     |
|  55  |                                                 2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine                                                |     ZBP1    |      7.74     |
|  56  |                                                                                       Encorafenib                                                                                       |    NLRP3    |      7.74     |
|  57  |                                                             (2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate                                                            |    NLRP3    |      7.74     |
|  58  |                                              1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One                                             |     ZBP1    |      7.73     |
|  59  |                                                                                       Calyculin A                                                                                       |    NLRP3    |      7.73     |
|  60  |                                                                                       Zanubrutinib                                                                                      |    NLRP3    |      7.73     |
|  61  |                                                                                          Y-700                                                                                          |    NLRP3    |      7.72     |
|  62  |                                                 2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine                                                |    NLRP3    |      7.71     |
|  63  |                                                                  N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE                                                                 |    NLRP3    |      7.70     |
