| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                      Staurosporine                                                                                      |    NLRP3    |      8.07     |
|  2   |                                                                                      Staurosporine                                                                                      |     ZBP1    |      7.97     |
|  3   |                                                                                  7-Hydroxystaurosporine                                                                                 |    NLRP3    |      7.91     |
|  4   |                                                                                  7-Hydroxystaurosporine                                                                                 |     ZBP1    |      7.78     |
|  5   |                                                                                          K-252a                                                                                         |    NLRP3    |      7.37     |
|  6   |                                                                                       Lestaurtinib                                                                                      |    NLRP3    |      7.36     |
|  7   |                                                                                         CEP-1347                                                                                        |    NLRP3    |      7.31     |
|  8   |                                                                                          K-252a                                                                                         |     ZBP1    |      7.24     |
|  9   |                                                                                       Lestaurtinib                                                                                      |     ZBP1    |      7.15     |
|  10  |                                                                                         CEP-1347                                                                                        |     ZBP1    |      7.03     |
|  11  |                              REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE                             |    NLRP3    |      6.92     |
|  12  |                                                                                       Flunisolide                                                                                       |    NLRP3    |      6.59     |
|  13  |                                                                                        Brigatinib                                                                                       |     ZBP1    |      6.58     |
|  14  |                                                                                         Desonide                                                                                        |    NLRP3    |      6.55     |
|  15  |                                                                                     Gibberellic acid                                                                                    |    NLRP3    |      6.52     |
|  16  |                                                                                        Zidovudine                                                                                       |    NLRP3    |      6.52     |
|  17  |                                                                                     Flurandrenolide                                                                                     |    NLRP3    |      6.51     |
|  18  |                                              4-[(3S)-1-AZABICYCLO[2.2.2]OCT-3-YLAMINO]-3-(1H-BENZIMIDAZOL-2-YL)-6-CHLOROQUINOLIN-2(1H)-ONE                                              |    NLRP3    |      6.51     |
|  19  |                                                9-HYDROXY-6-(3-HYDROXYPROPYL)-4-(2-METHOXYPHENYL)PYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE                                                |    NLRP3    |      6.50     |
|  20  |                                                                                        Colforsin                                                                                        |    NLRP3    |      6.49     |
|  21  |                                                                                      GIBBERELLIN A4                                                                                     |    NLRP3    |      6.48     |
|  22  |                                                                                        Hycanthone                                                                                       |    NLRP3    |      6.48     |
|  23  |                                                                                          Dpb-T                                                                                          |    NLRP3    |      6.47     |
|  24  |                                                                                     5-fluorouridine                                                                                     |    NLRP3    |      6.47     |
|  25  |                                                                                         Ovalicin                                                                                        |    NLRP3    |      6.47     |
|  26  |                                                                                       Becatecarin                                                                                       |    NLRP3    |      6.46     |
|  27  |                                                                                       Onapristone                                                                                       |    NLRP3    |      6.44     |
|  28  |                                                                                Prednisolone hemisuccinate                                                                               |    NLRP3    |      6.43     |
|  29  |                                                                                       Formebolone                                                                                       |    NLRP3    |      6.42     |
|  30  |                                                                                        Stavudine                                                                                        |    NLRP3    |      6.42     |
|  31  |                                                                                      Paramethasone                                                                                      |    NLRP3    |      6.42     |
|  32  |                                                                                        Edotecarin                                                                                       |    NLRP3    |      6.41     |
|  33  |                                                                                        Thymidine                                                                                        |    NLRP3    |      6.41     |
|  34  |                                                                                        Lucanthone                                                                                       |    NLRP3    |      6.40     |
|  35  |                                                                                     Fluprednisolone                                                                                     |    NLRP3    |      6.40     |
|  36  |                                                                                        Rimexolone                                                                                       |    NLRP3    |      6.39     |
|  37  |                                                                                      Levocabastine                                                                                      |    NLRP3    |      6.39     |
|  38  |                                               (1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate                                               |    NLRP3    |      6.39     |
|  39  |                                                                                        Ulipristal                                                                                       |    NLRP3    |      6.39     |
