| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  1   |                                                                                        Tacrolimus                                                                                       |     ZBP1    |      9.42     |
|  2   |                                                                                        Tacrolimus                                                                                       |    NLRP3    |      9.26     |
|  3   |                                                                                       Rescinnamine                                                                                      |     ZBP1    |      9.05     |
|  4   |                                                                                        Tenapanor                                                                                        |     ZBP1    |      8.92     |
|  5   |                                                                                       Rescinnamine                                                                                      |    NLRP3    |      8.91     |
|  6   |                                                                                        Eletriptan                                                                                       |     ZBP1    |      8.84     |
|  7   |                                                    [3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid                                                   |    NLRP3    |      8.83     |
|  8   |                                                    [3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid                                                   |     ZBP1    |      8.80     |
|  9   |                                                           3-(3-aminophenyl)-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine                                                          |     ZBP1    |      8.76     |
|  10  |                                                                                        Tenapanor                                                                                        |    NLRP3    |      8.75     |
|  11  |                                                                                        TG-100801                                                                                        |     ZBP1    |      8.74     |
|  12  |                                                             P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate                                                            |     ZBP1    |      8.73     |
|  13  |                                                                                       Fluticasone                                                                                       |     ZBP1    |      8.69     |
|  14  |                                                                                       Afimoxifene                                                                                       |    NLRP3    |      8.69     |
|  15  |                                                                                       Afimoxifene                                                                                       |     ZBP1    |      8.66     |
|  16  |                                                                                        Rimiducid                                                                                        |     ZBP1    |      8.64     |
|  17  |                                                                                        Danoprevir                                                                                       |     ZBP1    |      8.64     |
|  18  |                                                           3-(3-aminophenyl)-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine                                                          |    NLRP3    |      8.64     |
|  19  |                                                   4-{[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino}-N-ethylpiperidine-1-carboxamide                                                   |     ZBP1    |      8.63     |
|  20  |                                                                                        TG-100801                                                                                        |    NLRP3    |      8.63     |
|  21  |                                                                                       Voclosporin                                                                                       |     ZBP1    |      8.63     |
|  22  |                                                                                        Eletriptan                                                                                       |    NLRP3    |      8.61     |
|  23  |                                                            4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole                                                            |     ZBP1    |      8.60     |
