|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P17763   |     14.34     |
|   2   | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P29991   |     14.32     |
|   3   | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P29990   |     14.32     |
|   4   | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    Q6YMS4   |     14.28     |
|   5   | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    Q6YMS3   |     14.27     |
|   6   | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P27915   |     14.27     |
|   7   | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS3   |     14.14     |
|   8   | UIARLYUEJFELEN-LROUJFHJSA-N |    P27915   |     14.11     |
|   9   | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P17763   |     14.11     |
|   10  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS4   |     14.09     |
|   11  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P29991   |     14.05     |
|   12  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS3   |     14.04     |
|   13  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29991   |     14.01     |
|   14  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS4   |     14.00     |
|   15  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P29990   |     13.98     |
|   16  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P27915   |     13.98     |
|   17  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    Q6YMS3   |     13.98     |
|   18  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29990   |     13.96     |
|   19  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    P17763   |     13.95     |
|   20  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS3   |     13.93     |
|   21  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    P29991   |     13.92     |
|   22  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    P27915   |     13.91     |
|   23  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    Q6YMS4   |     13.91     |
|   24  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P27915   |     13.91     |
|   25  | UIARLYUEJFELEN-LROUJFHJSA-N |    P17763   |     13.89     |
|   26  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS4   |     13.89     |
|   27  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    P29990   |     13.86     |
|   28  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P29991   |     13.82     |
|   29  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    Q6YMS3   |     13.81     |
|   30  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P29990   |     13.78     |
|   31  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    Q6YMS4   |     13.77     |
|   32  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    P27915   |     13.77     |
|   33  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    P29991   |     13.74     |
|   34  | PWHNTOQANLCTHN-KRWDZBQOSA-N |  A0A6B9WHL6 |     13.73     |
|   35  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    P17763   |     13.72     |
|   36  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    P29990   |     13.71     |
|   37  | DHMTURDWPRKSOA-RUZDIDTESA-N |  A0A6B9WHK4 |     13.69     |
|   38  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P17763   |     13.68     |
|   39  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |  A0A6B9WHH1 |     13.68     |
|   40  | DHMTURDWPRKSOA-RUZDIDTESA-N |  A0A6B9WHD5 |     13.67     |
|   41  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHH1 |     13.65     |
|   42  | YUAALFPUEOYPNX-UHFFFAOYSA-N |  A0A6B9WHH1 |     13.63     |
|   43  | ALKJNCZNEOTEMP-UHFFFAOYSA-N |  A0A6B9WHD5 |     13.57     |
|   44  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |    P27915   |     13.56     |
|   45  | PYKUTRHZEJHOFS-UHFFFAOYSA-N |  A0A6B9WHL6 |     13.55     |
|   46  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |    Q6YMS4   |     13.55     |
|   47  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |    Q6YMS3   |     13.54     |
|   48  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS1   |     13.53     |
|   49  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS2   |     13.53     |
|   50  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS1   |     13.52     |
|   51  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS2   |     13.52     |
|   52  | XKFTZKGMDDZMJI-HSZRJFAPSA-N |    Q6YMS3   |     13.51     |
|   53  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |    P29990   |     13.49     |
|   54  | PLDUPXSUYLZYBN-UHFFFAOYSA-N |    P27915   |     13.48     |
|   55  | ALKJNCZNEOTEMP-UHFFFAOYSA-N |  A0A6B9WHK4 |     13.48     |
|   56  | SWHNZGMQMGFQGW-MSOLQXFVSA-N |    P29991   |     13.48     |
|   57  | PLDUPXSUYLZYBN-UHFFFAOYSA-N |    Q6YMS4   |     13.47     |
|   58  | XKFTZKGMDDZMJI-HSZRJFAPSA-N |    Q6YMS4   |     13.47     |
|   59  | PLDUPXSUYLZYBN-UHFFFAOYSA-N |    Q6YMS3   |     13.47     |
|   60  | RJCWBNBKOKFWNY-IDPLTSGASA-N |  A0A6B9WHH1 |     13.46     |
|   61  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    Q6YMS1   |     13.45     |
|   62  | YUAALFPUEOYPNX-UHFFFAOYSA-N |    Q6YMS2   |     13.45     |
|   63  | XKFTZKGMDDZMJI-HSZRJFAPSA-N |    P27915   |     13.45     |
|   64  | XKFTZKGMDDZMJI-HSZRJFAPSA-N |    P29991   |     13.45     |
|   65  | MYSWGUAQZAJSOK-UHFFFAOYSA-N |  A0A6B9WHL6 |     13.44     |
|   66  | YVUQSNJEYSNKRX-UHFFFAOYSA-N |  A0A6B9WHL6 |     13.43     |
|   67  | QDITZBLZQQZVEE-YBEGLDIGSA-N |  A0A6B9WHL6 |     13.43     |
|   68  | QDITZBLZQQZVEE-MHWRWJLKSA-N |  A0A6B9WHL6 |     13.43     |
|   69  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |    P27915   |     13.43     |
|   70  | KKZJGLLVHKMTCM-UHFFFAOYSA-N |    Q6YMS3   |     13.43     |
|   71  | RJCWBNBKOKFWNY-IDPLTSGASA-N |    Q6YMS1   |     13.42     |
|   72  | RJCWBNBKOKFWNY-IDPLTSGASA-N |    Q6YMS2   |     13.42     |
|   73  | KMNLXCBYBKHKSK-BKMJKUGQSA-N |  A0A6B9WHK4 |     13.42     |
|   74  | PLDUPXSUYLZYBN-UHFFFAOYSA-N |    P29991   |     13.42     |
|   75  | XKFTZKGMDDZMJI-HSZRJFAPSA-N |    P29990   |     13.41     |
|   76  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |    P29990   |     13.41     |
|   77  | PLDUPXSUYLZYBN-UHFFFAOYSA-N |    P29990   |     13.41     |
|   78  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHH1 |     13.41     |
|   79  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |  A0A6B9WHH1 |     13.40     |
