StringDB_Gene_Name	AlphaFold_Uniprot_Id	Uniprot_Protein_Length
ZZZ3	Q8IYH5	903
ZZEF1	O43149	2961
ZYX	Q15942	572
ZYG11B	Q7Z7L7	766
ZYG11B	Q9C0D3	744
ZYG11A	Q6WRX3	759
ZXDC	Q2QGD7	858
ZXDB	P98169	803
ZXDA	P98168	799
ZWINT	O95229	277
ZWILCH	Q9H900	591
ZW10	O43264	779
ZUP1	Q96AP4	578
ZSWIM9	Q86XI8	627
ZSWIM8	A7E2V4	1837
ZSWIM7	Q19AV6	140
ZSWIM6	Q9HCJ5	1215
ZSWIM5	Q9P217	1185
ZSWIM4	Q9H7M6	989
ZSWIM3	Q96MP5	696
ZSWIM2	Q8NEG5	633
ZSWIM1	Q9BR11	485
ZSCAN9	O15535	394
ZSCAN5C	A6NGD5	496
ZSCAN5B	A6NJL1	495
ZSCAN5A	Q9BUG6	496
ZSCAN4	Q8NAM6	433
ZSCAN32	Q9NX65	697
ZSCAN31	Q96LW9	406
ZSCAN30	Q86W11	494
ZSCAN29	Q8IWY8	852
ZSCAN26	Q16670	478
ZSCAN25	Q6NSZ9	544
ZSCAN23	Q3MJ62	389
ZSCAN22	P10073	491
ZSCAN21	Q9Y5A6	473
ZSCAN20	P17040	1043
ZSCAN2	Q9GZU2	1588
ZSCAN2	P17040	1043
ZSCAN2	Q8IWY8	852
ZSCAN2	Q7Z7L9	614
ZSCAN2	Q6NSZ9	544
ZSCAN2	P10073	491
ZSCAN2	Q16670	478
ZSCAN2	Q9Y5A6	473
ZSCAN2	Q3MJ62	389
ZSCAN18	Q8TBC5	510
ZSCAN16	Q9H4T2	348
ZSCAN12	O43309	611
ZSCAN10	Q96SZ4	725
ZSCAN1	Q96SZ4	725
ZSCAN1	O43309	611
ZSCAN1	Q9BRR0	538
ZSCAN1	Q8NF99	534
ZSCAN1	Q6P9G9	518
ZSCAN1	Q8TBC5	510
ZSCAN1	Q9UNY5	444
ZSCAN1	Q8NBB4	408
ZSCAN1	Q9H4T2	348
ZSCAN1	Q96N95	335
ZSCAN1	Q8N0Y2	327
ZRSR2	Q15696	482
ZRSR2	Q15695	479
ZRANB3	Q5FWF4	1079
ZRANB2	O95218	330
ZRANB1	Q9UGI0	708
ZPR1	O75312	459
ZPLD1	Q8TCW7	415
ZPBP2	Q6X784	338
ZPBP	Q9BS86	351
ZPBP	Q6X784	338
ZP4	Q12836	540
ZP4	Q9P127	313
ZP3	P21754	424
ZP3	Q6PJE2	187
ZP2	P23471	2315
ZP2	Q05996	745
ZP2	Q86TE4	346
ZP1	Q86V48	1076
ZP1	Q9Y2X9	895
ZP1	P60852	638
ZNRF4	Q8WWF5	429
ZNRF3	Q9ULT6	936
ZNRF2	Q8NHG8	242
ZNRF1	Q8ND25	227
ZNRD2	O60232	199
ZNRD1	Q9P1U0	126
ZNHIT6	Q9NWK9	470
ZNHIT3	Q15649	155
ZNHIT2	Q9UHR6	403
ZNHIT1	O43257	154
ZNFX1	Q9P2E3	1918
ZNF99	A8MXY4	864
ZNF98	A6NK75	572
ZNF93	P35789	620
ZNF92	Q03936	586
ZNF91	O43345	1280
ZNF91	Q05481	1191
ZNF91	O75437	659
ZNF90	Q03938	601
ZNF891	A8MT65	544
ZNF888	P0CJ79	718
ZNF883	P0CG24	379
ZNF880	Q6PDB4	577
ZNF879	B4DU55	563
ZNF878	C9JN71	531
ZNF875	P10072	659
ZNF865	P0CJ78	1059
ZNF862	O60290	1169
ZNF860	A6NHJ4	632
ZNF853	P0CG23	659
ZNF852	Q6ZMS4	543
ZNF850	A8MQ14	1090
ZNF85	A8MQ14	1090
ZNF85	Q9H165	835
ZNF85	P10074	688
ZNF85	P0CG23	659
ZNF85	A1YPR0	619
ZNF85	Q7Z7L9	614
ZNF85	Q03923	595
ZNF85	O95365	584
ZNF85	Q8NCP5	570
ZNF85	Q6ZMS4	543
ZNF85	O15156	539
ZNF846	Q147U1	533
ZNF845	Q96IR2	970
ZNF844	Q08AG5	666
ZNF843	Q8N446	348
ZNF841	Q6ZN19	808
ZNF84	Q96IR2	970
ZNF84	Q6ZN19	808
ZNF84	P51523	738
ZNF84	A6NDX5	716
ZNF84	Q08AG5	666
ZNF84	Q96GE5	643
ZNF84	Q147U1	533
ZNF84	Q8N446	348
ZNF839	A8K0R7	811
ZNF837	Q96EG3	531
ZNF836	Q6ZNA1	936
ZNF835	Q9Y2P0	537
ZNF831	Q5JPB2	1677
ZNF830	Q96NB3	372
ZNF83	Q5JPB2	1677
ZNF83	Q6ZNA1	936
ZNF83	A8K0R7	811
ZNF83	Q9Y2P0	537
ZNF83	Q96EG3	531
ZNF83	P51522	516
ZNF83	Q9NSJ1	428
ZNF83	Q96NB3	372
ZNF83	Q6ZTB9	187
ZNF829	Q3KNS6	432
ZNF827	Q17R98	1081
ZNF823	P16415	610
ZNF821	O75541	412
ZNF816	Q0VGE8	651
ZNF816	P51522	516
ZNF814	B7Z6K7	855
ZNF813	Q6ZN06	617
ZNF81	B7Z6K7	855
ZNF81	P51508	661
ZNF81	Q0VGE8	651
ZNF81	Q6ZN06	617
ZNF81	P51522	516
ZNF81	Q6ZRF7	136
ZNF81	A8K554	130
ZNF808	Q8N4W9	903
ZNF805	Q5CZA5	627
ZNF804B	A4D1E1	1349
ZNF804A	Q7Z570	1209
ZNF800	Q2TB10	664
ZNF80	O95785	1651
ZNF80	A4D1E1	1349
ZNF80	Q7Z570	1209
ZNF80	Q8N4W9	903
ZNF80	Q2TB10	664
ZNF80	Q5CZA5	627
ZNF80	P56270	477
ZNF80	P51504	273
ZNF80	Q86VZ6	243
ZNF8	Q5JPB2	1677
ZNF8	O95785	1651
ZNF8	A4D1E1	1349
ZNF8	Q7Z570	1209
ZNF8	O60290	1169
ZNF8	Q8WW38	1151
ZNF8	A8MQ14	1090
ZNF8	Q17R98	1081
ZNF8	P0CJ78	1059
ZNF8	Q96IR2	970
ZNF8	Q6ZNA1	936
ZNF8	Q8N4W9	903
ZNF8	B7Z6K7	855
ZNF8	Q9H165	835
ZNF8	O43313	823
ZNF8	Q96JM3	812
ZNF8	A8K0R7	811
ZNF8	Q6ZN19	808
ZNF8	P51523	738
ZNF8	P0CJ79	718
ZNF8	A6NDX5	716
ZNF8	P10074	688
ZNF8	Q08AG5	666
ZNF8	Q2TB10	664
ZNF8	P51508	661
ZNF8	P0CG23	659
ZNF8	P10072	659
ZNF8	Q0VGE8	651
ZNF8	Q96GE5	643
ZNF8	A6NHJ4	632
ZNF8	Q5CZA5	627
ZNF8	A1YPR0	619
ZNF8	Q6ZN06	617
ZNF8	Q7Z7L9	614
ZNF8	P16415	610
ZNF8	Q03923	595
ZNF8	O95365	584
ZNF8	Q6PDB4	577
ZNF8	P17098	575
ZNF8	Q8NCP5	570
ZNF8	B4DU55	563
ZNF8	A8MT65	544
ZNF8	Q6ZMS4	543
ZNF8	O15156	539
ZNF8	Q9Y2P0	537
ZNF8	Q147U1	533
ZNF8	Q96EG3	531
ZNF8	C9JN71	531
ZNF8	A0A087WUV0	522
ZNF8	P51522	516
ZNF8	P51815	510
ZNF8	P56270	477
ZNF8	Q3KNS6	432
ZNF8	Q9NSJ1	428
ZNF8	O75541	412
ZNF8	P0CG24	379
ZNF8	Q96NB3	372
ZNF8	Q8N446	348
ZNF8	P51504	273
ZNF8	Q86VZ6	243
ZNF8	Q49A33	203
ZNF8	Q6ZTB9	187
ZNF8	Q6ZT77	177
ZNF8	Q6ZRF7	136
ZNF8	A8K554	130
ZNF8	O60384	105
ZNF799	Q96GE5	643
ZNF793	Q6ZN11	406
ZNF792	Q3KQV3	632
ZNF791	Q3KP31	576
ZNF790	Q6PG37	636
ZNF79	Q9NSC2	1324
ZNF79	Q9BXA9	1300
ZNF79	Q9UJQ4	1053
ZNF79	Q9Y467	1007
ZNF79	Q96GE5	643
ZNF79	Q6PG37	636
ZNF79	Q3KQV3	632
ZNF79	Q3KP31	576
ZNF79	Q15937	498
ZNF79	Q96SL8	496
ZNF79	Q6ZN11	406
ZNF789	Q5FWF6	425
ZNF787	Q6DD87	382
ZNF786	Q8N393	782
ZNF785	A8K8V0	405
ZNF784	Q8NCA9	323
ZNF783	Q6ZMS7	546
ZNF782	Q6ZMW2	699
ZNF781	Q8N8C0	355
ZNF780B	Q9Y6R6	833
ZNF780A	O75290	641
ZNF778	Q96MU6	729
ZNF777	Q9ULD5	831
ZNF776	Q68DI1	518
