|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6M3GXH9 |      9.45     |
|   2   | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6M3GXH9 |      9.45     |
|   3   | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A1S4F2S4 |      9.39     |
|   4   | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A1S4F2S4 |      9.39     |
|   5   | WOFMFGQZHJDGCX-ZULDAHANSA-N |    P27915   |      9.33     |
|   6   | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    P27915   |      9.33     |
|   7   | WOFMFGQZHJDGCX-ZULDAHANSA-N |    P29990   |      9.33     |
|   8   | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    P29990   |      9.33     |
|   9   | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q6YMS4   |      9.32     |
|   10  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS4   |      9.32     |
|   11  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q6YMS3   |      9.31     |
|   12  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS3   |      9.31     |
|   13  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    P29991   |      9.30     |
|   14  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    P29991   |      9.30     |
|   15  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q6YMS1   |      9.29     |
|   16  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q6YMS2   |      9.29     |
|   17  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS1   |      9.29     |
|   18  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS2   |      9.29     |
|   19  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    P17763   |      9.28     |
|   20  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    P17763   |      9.28     |
|   21  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHC8 |      9.28     |
|   22  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHC8 |      9.28     |
|   23  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHJ8 |      9.23     |
|   24  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHJ8 |      9.23     |
|   25  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHD5 |      9.21     |
|   26  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHD5 |      9.21     |
|   27  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHL6 |      9.19     |
|   28  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHL6 |      9.19     |
|   29  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHK4 |      9.17     |
|   30  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHK4 |      9.17     |
|   31  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A1S4F2T6 |      9.17     |
|   32  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A1S4F2T6 |      9.17     |
|   33  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHH1 |      9.17     |
|   34  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHH1 |      9.17     |
|   35  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q6YMS7   |      9.16     |
|   36  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS7   |      9.16     |
|   37  | MBUVEWMHONZEQD-UHFFFAOYSA-N |  A0A1S4F2S4 |      9.15     |
|   38  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q1A136   |      9.14     |
|   39  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q1A136   |      9.14     |
|   40  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6M3GXE4 |      9.09     |
|   41  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6M3GXE4 |      9.09     |
|   42  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q86825   |      9.09     |
|   43  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q86825   |      9.09     |
|   44  | MBUVEWMHONZEQD-UHFFFAOYSA-N |    Q6YMS4   |      9.07     |
|   45  | MBUVEWMHONZEQD-UHFFFAOYSA-N |    P27915   |      9.06     |
|   46  | MBUVEWMHONZEQD-UHFFFAOYSA-N |  A0A6M3GXH9 |      9.06     |
|   47  | MBUVEWMHONZEQD-UHFFFAOYSA-N |    Q6YMS3   |      9.06     |
|   48  | MBUVEWMHONZEQD-UHFFFAOYSA-N |    Q6YMS1   |      9.02     |
|   49  | MBUVEWMHONZEQD-UHFFFAOYSA-N |    Q6YMS2   |      9.02     |
|   50  | MBUVEWMHONZEQD-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.95     |
|   51  | MBUVEWMHONZEQD-UHFFFAOYSA-N |    P29990   |      8.95     |
|   52  | DSDNAKHZNJAGHN-MXTYGGKSSA-N |  A0A1S4F2S4 |      8.95     |
