|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | UIARLYUEJFELEN-LROUJFHJSA-N |    Q86825   |      7.44     |
|   2   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q86825   |      7.29     |
|   3   | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A1S4F2S4 |      7.25     |
|   4   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A1S4F2S4 |      7.19     |
|   5   | UIARLYUEJFELEN-LROUJFHJSA-N |    P27915   |      7.19     |
|   6   | MGGBYMDAPCCKCT-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.95     |
|   7   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P27915   |      6.95     |
|   8   | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |    Q6YMS3   |      6.91     |
|   9   | ODUBEYQKYAQFNS-UHFFFAOYSA-N |    Q6YMS3   |      6.91     |
|   10  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |    Q6YMS4   |      6.91     |
|   11  | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |    Q6YMS4   |      6.91     |
|   12  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |    Q6YMS1   |      6.90     |
|   13  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |    Q6YMS2   |      6.90     |
|   14  | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |    Q6YMS1   |      6.90     |
|   15  | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |    Q6YMS2   |      6.90     |
|   16  | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |  A0A6B9WHH1 |      6.88     |
|   17  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6M3GXH9 |      6.87     |
|   18  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6M3GXH9 |      6.85     |
|   19  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHJ8 |      6.83     |
|   20  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHJ8 |      6.83     |
|   21  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A1S4F2T6 |      6.82     |
|   22  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    Q6YMS3   |      6.82     |
|   23  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.81     |
|   24  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    Q6YMS4   |      6.80     |
|   25  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    Q6YMS1   |      6.80     |
|   26  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    Q6YMS2   |      6.80     |
|   27  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    Q86825   |      6.80     |
|   28  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A1S4F2T6 |      6.80     |
|   29  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A1S4F2S4 |      6.76     |
|   30  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q1A136   |      6.74     |
|   31  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    Q86825   |      6.74     |
|   32  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |    Q86825   |      6.73     |
|   33  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q1A136   |      6.72     |
|   34  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6M3GXE4 |      6.70     |
|   35  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6M3GXE4 |      6.69     |
|   36  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS7   |      6.68     |
|   37  | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |    Q86825   |      6.66     |
|   38  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHH1 |      6.65     |
|   39  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS7   |      6.65     |
|   40  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    P27915   |      6.62     |
|   41  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHK4 |      6.61     |
|   42  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |    P27915   |      6.61     |
|   43  | UIARLYUEJFELEN-LROUJFHJSA-N |    P17763   |      6.61     |
|   44  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHD5 |      6.60     |
|   45  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHD5 |      6.58     |
|   46  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHK4 |      6.57     |
|   47  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    Q86825   |      6.56     |
|   48  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P17763   |      6.56     |
|   49  | WKDACQVEJIVHMZ-UHFFFAOYSA-N |    Q6YMS4   |      6.54     |
|   50  | WKDACQVEJIVHMZ-UHFFFAOYSA-N |    Q6YMS3   |      6.53     |
|   51  | WKDACQVEJIVHMZ-UHFFFAOYSA-N |    Q6YMS1   |      6.53     |
|   52  | WKDACQVEJIVHMZ-UHFFFAOYSA-N |    Q6YMS2   |      6.53     |
|   53  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS1   |      6.52     |
|   54  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS2   |      6.52     |
|   55  | BTUDYMZUFKDIFZ-PWSAKUHLSA-N |    P27915   |      6.51     |
|   56  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS3   |      6.50     |
|   57  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS4   |      6.48     |
|   58  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHH1 |      6.46     |
|   59  | MVSQDUZRRVBYLA-HYARGMPZSA-N |  A0A6B9WHH1 |      6.46     |
|   60  | KSGCNXAZROJSNW-UHFFFAOYSA-N |    Q86825   |      6.46     |
|   61  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29991   |      6.46     |
|   62  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHL6 |      6.46     |
|   63  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHC8 |      6.45     |
|   64  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHC8 |      6.45     |
|   65  | MVSQDUZRRVBYLA-HYARGMPZSA-N |  A0A6M3GXE4 |      6.44     |
|   66  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHL6 |      6.44     |
|   67  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    P29991   |      6.43     |
|   68  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    P29990   |      6.43     |
|   69  | RGFBZLBLQNVLCJ-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.43     |
|   70  | RGFBZLBLQNVLCJ-UHFFFAOYSA-N |    Q86825   |      6.43     |
|   71  | XBGNERSKEKDZDS-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.42     |
|   72  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A6M3GXH9 |      6.42     |
|   73  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P29991   |      6.42     |
|   74  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29990   |      6.41     |
|   75  | WKDACQVEJIVHMZ-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.41     |
|   76  | KSGCNXAZROJSNW-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.41     |
|   77  | XBGNERSKEKDZDS-UHFFFAOYSA-N |    Q6YMS3   |      6.40     |
|   78  | XBGNERSKEKDZDS-UHFFFAOYSA-N |    Q6YMS1   |      6.40     |
|   79  | XBGNERSKEKDZDS-UHFFFAOYSA-N |    Q6YMS2   |      6.40     |
|   80  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A6B9WHJ8 |      6.40     |
|   81  | KSGCNXAZROJSNW-UHFFFAOYSA-N |    P27915   |      6.39     |
|   82  | KSGCNXAZROJSNW-UHFFFAOYSA-N |    Q6YMS1   |      6.38     |
|   83  | KSGCNXAZROJSNW-UHFFFAOYSA-N |    Q6YMS2   |      6.38     |
|   84  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A1S4F2T6 |      6.37     |
|   85  | KSGCNXAZROJSNW-UHFFFAOYSA-N |    Q6YMS3   |      6.37     |
|   86  | YLMVVEDAZPUKCY-UHFFFAOYSA-N |    P27915   |      6.36     |
|   87  | XBGNERSKEKDZDS-UHFFFAOYSA-N |    Q6YMS4   |      6.36     |
|   88  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P29990   |      6.35     |
|   89  | JDHBSANRAFEDMI-QGZVFWFLSA-N |  A0A1S4F2S4 |      6.35     |
|   90  | YLMVVEDAZPUKCY-UHFFFAOYSA-N |    Q6YMS1   |      6.34     |
|   91  | YLMVVEDAZPUKCY-UHFFFAOYSA-N |    Q6YMS2   |      6.34     |
|   92  | QSPOQCXMGPDIHI-UHFFFAOYSA-N |    Q86825   |      6.34     |
|   93  | SVYRYFAUQHVGAI-BMWLXYDHSA-N |    Q6YMS3   |      6.33     |
|   94  | SVYRYFAUQHVGAI-BMWLXYDHSA-N |    Q6YMS1   |      6.33     |
|   95  | SVYRYFAUQHVGAI-BMWLXYDHSA-N |    Q6YMS2   |      6.33     |
|   96  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS1   |      6.33     |
|   97  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS2   |      6.33     |
|   98  | YLMVVEDAZPUKCY-UHFFFAOYSA-N |    Q6YMS4   |      6.32     |
|   99  | YLMVVEDAZPUKCY-UHFFFAOYSA-N |    Q6YMS3   |      6.32     |
|  100  | JDHBSANRAFEDMI-QGZVFWFLSA-N |  A0A6M3GXE4 |      6.32     |
|  101  | KSGCNXAZROJSNW-UHFFFAOYSA-N |    Q6YMS4   |      6.32     |
|  102  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS3   |      6.31     |
|  103  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    P27915   |      6.31     |
|  104  | SVYRYFAUQHVGAI-BMWLXYDHSA-N |    Q6YMS4   |      6.31     |
|  105  | MVSQDUZRRVBYLA-HYARGMPZSA-N |  A0A1S4F2S4 |      6.31     |
|  106  | XRVJPLDTMUSSDE-UHFFFAOYSA-N |    P27915   |      6.30     |
|  107  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS4   |      6.30     |
|  108  | SVYRYFAUQHVGAI-BMWLXYDHSA-N |    Q86825   |      6.29     |
|  109  | YLMVVEDAZPUKCY-UHFFFAOYSA-N |  A0A6B9WHH1 |      6.29     |
|  110  | SVYRYFAUQHVGAI-BMWLXYDHSA-N |  A0A6B9WHH1 |      6.29     |
|  111  | RGFBZLBLQNVLCJ-UHFFFAOYSA-N |    Q6YMS3   |      6.27     |
|  112  | XBGNERSKEKDZDS-UHFFFAOYSA-N |    Q86825   |      6.27     |
|  113  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    Q6YMS1   |      6.27     |
|  114  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    Q6YMS2   |      6.27     |
|  115  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    P27915   |      6.27     |
|  116  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A6B9WHK4 |      6.27     |
|  117  | RGFBZLBLQNVLCJ-UHFFFAOYSA-N |    Q6YMS1   |      6.27     |
|  118  | RGFBZLBLQNVLCJ-UHFFFAOYSA-N |    Q6YMS2   |      6.27     |
|  119  | GMJWAIMJHBTYPD-UHFFFAOYSA-N |    P27915   |      6.26     |
|  120  | JDHBSANRAFEDMI-QGZVFWFLSA-N |  A0A6B9WHK4 |      6.26     |
|  121  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    Q6YMS3   |      6.26     |
|  122  | RGFBZLBLQNVLCJ-UHFFFAOYSA-N |    Q6YMS4   |      6.25     |
|  123  | XBGNERSKEKDZDS-UHFFFAOYSA-N |    P27915   |      6.25     |
|  124  | MGGBYMDAPCCKCT-UHFFFAOYSA-N |    P29990   |      6.25     |
|  125  | MVSQDUZRRVBYLA-HYARGMPZSA-N |    Q6YMS4   |      6.24     |
|  126  | ODUBEYQKYAQFNS-UHFFFAOYSA-N |  A0A6M3GXH9 |      6.23     |
|  127  | MVSQDUZRRVBYLA-HYARGMPZSA-N |  A0A6M3GXH9 |      6.23     |
|  128  | YZBUIQWOLSBWEX-OAQYLSRUSA-N |    Q86825   |      6.23     |
|  129  | JDHBSANRAFEDMI-QGZVFWFLSA-N |    P17763   |      6.23     |
|  130  | XRVJPLDTMUSSDE-UHFFFAOYSA-N |  A0A1S4F2S4 |      6.23     |
