|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | XFILPEOLDIKJHX-QYZOEREBSA-N |  A0A6B9WHC8 |      8.95     |
|   2   | VKHAHZOOUSRJNA-GCNJZUOMSA-N |  A0A6B9WHC8 |      8.95     |
|   3   | OFXAEWYLVPBGGU-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.88     |
|   4   | MAVDNGWEBZTACC-HNNXBMFYSA-N |  A0A6B9WHC8 |      8.76     |
|   5   | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6B9WHC8 |      8.74     |
|   6   | PEOGZQMDIONZGY-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.74     |
|   7   | CMEFLKIFRPLMJK-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.72     |
|   8   | XFILPEOLDIKJHX-QYZOEREBSA-N |  A0A6B9WHD5 |      8.58     |
|   9   | VKHAHZOOUSRJNA-GCNJZUOMSA-N |  A0A6B9WHD5 |      8.55     |
|   10  | ZKIAIYBUSXZPLP-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.55     |
|   11  | CGBJSGAELGCMKE-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.54     |
|   12  | QRXOZHSEEGNRFC-ZYHUDNBSSA-N |  A0A6B9WHC8 |      8.53     |
|   13  | DWZAEMINVBZMHQ-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.53     |
|   14  | OFXAEWYLVPBGGU-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.53     |
|   15  | MPVGZUGXCQEXTM-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.51     |
|   16  | BVAHPPKGOOJSPU-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.49     |
|   17  | QTBWCSQGBMPECM-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.49     |
|   18  | XFILPEOLDIKJHX-QYZOEREBSA-N |  A0A6B9WHL6 |      8.48     |
|   19  | VKHAHZOOUSRJNA-GCNJZUOMSA-N |  A0A6B9WHL6 |      8.47     |
|   20  | XUHMGFKQBWZWPO-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.47     |
|   21  | XFILPEOLDIKJHX-QYZOEREBSA-N |    Q1A136   |      8.44     |
|   22  | VKHAHZOOUSRJNA-GCNJZUOMSA-N |    Q1A136   |      8.43     |
|   23  | WJRRGYBTGDJBFX-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.42     |
|   24  | KAZMQKPLIPWQNO-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.42     |
|   25  | GZKLJWGUPQBVJQ-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.42     |
|   26  | WXUUCRLKXQMWRY-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.41     |
|   27  | RXBWRFDZXRAEJT-SZNOJMITSA-N |  A0A6B9WHC8 |      8.41     |
|   28  | CWHUFRVAEUJCEF-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.40     |
|   29  | KPEUDULLQDHKAZ-VROINQGHSA-N |  A0A6B9WHC8 |      8.39     |
|   30  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6B9WHD5 |      8.39     |
|   31  | OFXAEWYLVPBGGU-UHFFFAOYSA-N |  A0A6B9WHL6 |      8.39     |
|   32  | PEOGZQMDIONZGY-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.38     |
|   33  | IBEANEPZNLVRRY-RCZVLFRGSA-N |  A0A6B9WHC8 |      8.37     |
|   34  | CMEFLKIFRPLMJK-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.37     |
|   35  | OFXAEWYLVPBGGU-UHFFFAOYSA-N |    Q1A136   |      8.35     |
|   36  | ZBNZXTGUTAYRHI-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.34     |
|   37  | MAVDNGWEBZTACC-HNNXBMFYSA-N |  A0A6B9WHD5 |      8.34     |
|   38  | VCFBPAOSTLMYIV-SANMLTNESA-N |  A0A6B9WHC8 |      8.33     |
|   39  | AILRADAXUVEEIR-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.33     |
|   40  | CGBJSGAELGCMKE-UHFFFAOYSA-N |  A0A6B9WHL6 |      8.32     |
