#string_protein_id | preferred_name | protein_size
9606.ENSP00000000233 | ARF5 | 180
9606.ENSP00000000412 | M6PR | 277
9606.ENSP00000001008 | FKBP4 | 459
9606.ENSP00000001146 | CYP26B1 | 512
9606.ENSP00000002125 | NDUFAF7 | 441
9606.ENSP00000002165 | FUCA2 | 467
9606.ENSP00000002596 | HS3ST1 | 307
9606.ENSP00000002829 | SEMA3F | 785
9606.ENSP00000003084 | CFTR | 1480
9606.ENSP00000003100 | CYP51A1 | 509
9606.ENSP00000003302 | USP28 | 1077
9606.ENSP00000004531 | SLC7A2 | 698
9606.ENSP00000004982 | HSPB6 | 160
9606.ENSP00000005178 | PDK4 | 411
9606.ENSP00000005226 | USH1C | 899
9606.ENSP00000005257 | RALA | 206
9606.ENSP00000005260 | BAIAP2L1 | 511
9606.ENSP00000005284 | CACNG3 | 315
9606.ENSP00000005286 | TMEM132A | 1024
9606.ENSP00000005340 | DVL2 | 736
9606.ENSP00000005386 | RPAP3 | 665
9606.ENSP00000005587 | SKAP2 | 359
9606.ENSP00000005995 | PRSS21 | 314
9606.ENSP00000006015 | HOXA11 | 313
9606.ENSP00000006053 | CX3CL1 | 397
9606.ENSP00000006275 | TRAPPC6A | 173
9606.ENSP00000006526 | WDR54 | 334
9606.ENSP00000006658 | SPATA20 | 802
9606.ENSP00000006724 | CEACAM7 | 265
9606.ENSP00000006777 | RHBDD2 | 364
9606.ENSP00000007390 | TSR3 | 312
9606.ENSP00000007414 | OSBPL7 | 842
9606.ENSP00000007699 | YBX2 | 364
9606.ENSP00000007735 | KRT33A | 404
9606.ENSP00000008391 | TFAP2D | 452
9606.ENSP00000008527 | CRY1 | 586
9606.ENSP00000008938 | PGLYRP1 | 196
9606.ENSP00000009041 | STARD3NL | 234
9606.ENSP00000009105 | CAMK1G | 476
9606.ENSP00000009530 | CD74 | 296
9606.ENSP00000010299 | FAM76A | 341
9606.ENSP00000011292 | CPA1 | 419
9606.ENSP00000011473 | SYPL1 | 259
9606.ENSP00000011619 | RANBP9 | 729
9606.ENSP00000011653 | CD4 | 458
9606.ENSP00000011898 | TSPAN9 | 239
9606.ENSP00000012049 | QPCTL | 382
9606.ENSP00000012443 | PPP5C | 499
9606.ENSP00000013070 | UBR7 | 425
9606.ENSP00000013125 | MAP4K5 | 846
9606.ENSP00000013222 | INMT | 263
9606.ENSP00000013807 | ERCC1 | 323
9606.ENSP00000014914 | GPRC5A | 357
9606.ENSP00000014930 | HEBP1 | 189
9606.ENSP00000016171 | COX15 | 410
9606.ENSP00000016913 | MS4A12 | 267
