|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | FBFAUZJZQKXEGH-IXOWOOARSA-N |    Q86825   |     67.58     |
|   2   | FASDKYOPVNHBLU-SSDOTTSWSA-N |    P17763   |     59.31     |
|   3   | RYBJORHCUPVNMB-UHFFFAOYSA-N |    P17763   |     45.93     |
|   4   | FASDKYOPVNHBLU-UHFFFAOYSA-N |  A0A6B9WHH1 |     44.35     |
|   5   | IPPHNIGBWNJLAF-RDQAVJLLSA-N |    Q1A136   |     44.21     |
|   6   | JPTSIWRGXIZEOO-UHFFFAOYSA-N |  A0A6B9WHD5 |     43.70     |
|   7   | AUJKWLGOXRSXRX-JVXZTZIISA-N |    Q86825   |     42.11     |
|   8   | KJCLPXFGPVCAKL-UHFFFAOYSA-N |  A0A6B9WHJ8 |     42.08     |
|   9   | PBZBXDCHQQCLGL-UHFFFAOYSA-M |  A0A6M3GXE4 |     40.55     |
|   10  | NHHQJBCNYHBUSI-UHFFFAOYSA-N |    Q6YMS3   |     39.99     |
|   11  | IPWKIXLWTCNBKN-ZCFIWIBFSA-N |    Q6YMS2   |     39.13     |
|   12  | DLMNZGAILMQDHA-UHFFFAOYSA-N |  A0A6B9WHD5 |     38.80     |
|   13  | CSATZFOKBJPVHH-CRHVHDRLSA-N |    Q6YMS1   |     38.68     |
|   14  | WPMJNLCLKAKMLA-UHFFFAOYSA-N |    P29991   |     38.63     |
|   15  | VHRSUDSXCMQTMA-WHRMJWEKSA-N |    Q6YMS2   |     38.47     |
|   16  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS7   |     38.21     |
|   17  | RTHCYVBBDHJXIQ-MRXNPFEDSA-N |    P29991   |     36.87     |
|   18  | FVIZARNDLVOMSU-IRFFNABBSA-N |  A0A6B9WHD5 |     36.32     |
|   19  | JHBIMJKLBUMNAU-UHFFFAOYSA-N |  A0A6M3GXH9 |     35.96     |
|   20  | HUADITLKOCMHSB-UHFFFAOYSA-N |    Q6YMS3   |     35.91     |
|   21  | WDFKMLRRRCGAKS-UHFFFAOYSA-N |  A0A6M3GXE4 |     35.85     |
|   22  | KHAWQRZRRJLHHX-UHFFFAOYSA-N |  A0A6B9WHC8 |     35.24     |
|   23  | YECRYLBCIYSJSO-UHFFFAOYSA-N |    Q6YMS7   |     35.04     |
|   24  | KIZITKARUSPCHY-UHFFFAOYSA-N |  A0A6M3GXH9 |     34.57     |
|   25  | LLVLMYRWABCVEU-UHFFFAOYSA-N |  A0A6B9WHL6 |     33.91     |
|   26  | OLCWFLWEHWLBTO-HSZRJFAPSA-N |  A0A6M3GXE4 |     33.79     |
|   27  | YYCCUFKHCNSRIA-HJWRWDBZSA-N |  A0A1S4F2T6 |     33.68     |
|   28  | KBMJKFIPTVIFOH-UHFFFAOYSA-N |    Q1A136   |     33.20     |
|   29  | FBFAUZJZQKXEGH-IXOWOOARSA-N |  A0A6B9WHK4 |     33.14     |
|   30  | OWEGWHBOCFMBLP-UHFFFAOYSA-N |    Q6YMS1   |     32.52     |
|   31  | QRPSQQUYPMFERG-LFYBBSHMSA-N |  A0A6B9WHL6 |     32.11     |
|   32  | QQJHRQZZCNYDMX-VPUSJEBWSA-N |    Q6YMS1   |     32.05     |
|   33  | RFWVETIZUQEJEF-UHFFFAOYSA-N |    Q6YMS1   |     31.96     |
|   34  | KBMJKFIPTVIFOH-UHFFFAOYSA-N |    P27915   |     31.74     |
|   35  | QWEWGXUTRTXFRF-KBPBESRZSA-N |  A0A6B9WHK4 |     31.58     |
|   36  | RTHCYVBBDHJXIQ-INIZCTEOSA-N |  A0A6M3GXH9 |     31.06     |
|   37  | AQSSMEORRLJZLU-UHFFFAOYSA-N |  A0A1S4F2S4 |     29.91     |
|   38  | JROFGZPOBKIAEW-UHFFFAOYSA-N |    Q6YMS7   |     29.90     |
|   39  | DWAFYCQODLXJNR-UHFFFAOYSA-L |    Q6YMS1   |     29.81     |
|   40  | DWAFYCQODLXJNR-UHFFFAOYSA-L |    Q6YMS2   |     29.81     |
|   41  | XURFYCWNUGWGDL-VQJWOFKYSA-N |    P17763   |     29.80     |
|   42  | MHXVDXXARZCVRK-WCWDXBQESA-N |    Q6YMS7   |     29.73     |
|   43  | DWAFYCQODLXJNR-UHFFFAOYSA-L |  A0A6B9WHL6 |     29.69     |
|   44  | DWAFYCQODLXJNR-UHFFFAOYSA-L |  A0A6B9WHC8 |     29.62     |
|   45  | DWAFYCQODLXJNR-UHFFFAOYSA-L |    P27915   |     29.57     |
|   46  | BCEHBSKCWLPMDN-QLJPJBMISA-N |    P29990   |     29.47     |
|   47  | HIBWHHQXUSKNOV-UHFFFAOYSA-N |    Q6YMS2   |     29.41     |
|   48  | XZEUAXYWNKYKPL-UHFFFAOYSA-N |    P27915   |     29.22     |
|   49  | JHBWYQRKOUBPCA-UHFFFAOYSA-N |    Q6YMS1   |     29.20     |
|   50  | KJAAEKQTENJMDT-SFECMWDFSA-N |    P29990   |     29.06     |
|   51  | HGOAIWZFTWACBD-UHFFFAOYSA-O |    Q86825   |     28.87     |
|   52  | ODKNJVUHOIMIIZ-RRKCRQDMSA-N |  A0A1S4F2S4 |     28.78     |
|   53  | QRPSQQUYPMFERG-LFYBBSHMSA-N |    Q6YMS2   |     28.62     |
|   54  | VVWSSVXERSACCP-ZUXWQOPOSA-N |  A0A6B9WHL6 |     28.46     |
|   55  | OKBVVJOGVLARMR-VINNURBNSA-N |  A0A6M3GXE4 |     28.45     |
|   56  | VLFJECXUHXIQBJ-HNNXBMFYSA-N |  A0A6B9WHJ8 |     28.33     |
|   57  | QVFVAKQHELFATN-UHFFFAOYSA-N |  A0A6B9WHK4 |     28.24     |
