|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | QADHLRWLCPCEKT-LOVVWNRFSA-N |  A0A6B9WHD5 |      9.36     |
|   2   | QADHLRWLCPCEKT-LOVVWNRFSA-N |    Q6YMS7   |      9.33     |
|   3   | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHD5 |      9.32     |
|   4   | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHD5 |      9.32     |
|   5   | QADHLRWLCPCEKT-LOVVWNRFSA-N |    Q86825   |      9.21     |
|   6   | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHL6 |      9.18     |
|   7   | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHL6 |      9.18     |
|   8   | QULDDKSCVCJTPV-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.17     |
|   9   | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q6YMS7   |      9.16     |
|   10  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q6YMS7   |      9.16     |
|   11  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6M3GXE4 |      9.14     |
|   12  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6M3GXE4 |      9.14     |
|   13  | WOFMFGQZHJDGCX-ZULDAHANSA-N |  A0A6B9WHC8 |      9.13     |
|   14  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |  A0A6B9WHC8 |      9.13     |
|   15  | QADHLRWLCPCEKT-LOVVWNRFSA-N |  A0A6B9WHL6 |      9.12     |
|   16  | QADHLRWLCPCEKT-LOVVWNRFSA-N |  A0A6B9WHC8 |      9.10     |
|   17  | QADHLRWLCPCEKT-LOVVWNRFSA-N |  A0A6M3GXE4 |      9.07     |
|   18  | QULDDKSCVCJTPV-UHFFFAOYSA-N |  A0A6B9WHL6 |      9.02     |
|   19  | QADHLRWLCPCEKT-LOVVWNRFSA-N |    P27915   |      9.01     |
|   20  | FIMYFEGKMOCQKT-UHFFFAOYSA-N |  A0A6B9WHD5 |      9.01     |
|   21  | WOFMFGQZHJDGCX-ZULDAHANSA-N |    Q86825   |      9.01     |
|   22  | WOFMFGQZHJDGCX-DAUIHXSWSA-N |    Q86825   |      9.01     |
|   23  | QADHLRWLCPCEKT-LOVVWNRFSA-N |    Q6YMS3   |      9.01     |
|   24  | DSDNAKHZNJAGHN-MXTYGGKSSA-N |  A0A6B9WHD5 |      9.00     |
|   25  | DSDNAKHZNJAGHN-IHCAYWNCSA-N |  A0A6B9WHD5 |      9.00     |
|   26  | QULDDKSCVCJTPV-UHFFFAOYSA-N |    Q6YMS7   |      8.99     |
|   27  | QULDDKSCVCJTPV-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.99     |
|   28  | QULDDKSCVCJTPV-UHFFFAOYSA-N |  A0A6M3GXE4 |      8.98     |
|   29  | FIMYFEGKMOCQKT-UHFFFAOYSA-N |  A0A6B9WHL6 |      8.98     |
