|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A6B9WHC8 |      8.17     |
|   2   | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A6B9WHD5 |      8.17     |
|   3   | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A6B9WHC8 |      8.14     |
|   4   | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A6B9WHD5 |      8.10     |
|   5   | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q6YMS4   |      8.07     |
|   6   | XUKUURHRXDUEBC-KAYWLYCHSA-N |  A0A6B9WHC8 |      8.05     |
|   7   | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A6M3GXE4 |      8.04     |
|   8   | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q6YMS3   |      8.04     |
|   9   | XUKUURHRXDUEBC-KAYWLYCHSA-N |  A0A6B9WHD5 |      8.01     |
|   10  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q6YMS1   |      7.99     |
|   11  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q6YMS2   |      7.99     |
|   12  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q1A136   |      7.98     |
|   13  | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A6M3GXH9 |      7.97     |
|   14  | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A1S4F2S4 |      7.96     |
|   15  | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A6B9WHL6 |      7.96     |
|   16  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6B9WHC8 |      7.96     |
|   17  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A6M3GXE4 |      7.95     |
|   18  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6B9WHD5 |      7.95     |
|   19  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A6B9WHL6 |      7.93     |
|   20  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q6YMS4   |      7.92     |
|   21  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    P27915   |      7.90     |
|   22  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q1A136   |      7.89     |
|   23  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q6YMS3   |      7.89     |
|   24  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q86825   |      7.89     |
|   25  | XUKUURHRXDUEBC-KAYWLYCHSA-N |  A0A6M3GXE4 |      7.87     |
|   26  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q6YMS4   |      7.87     |
|   27  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A6M3GXH9 |      7.86     |
|   28  | XUKUURHRXDUEBC-KAYWLYCHSA-N |  A0A6B9WHL6 |      7.86     |
|   29  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6M3GXE4 |      7.85     |
|   30  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q6YMS1   |      7.84     |
|   31  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q6YMS2   |      7.84     |
|   32  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q6YMS3   |      7.84     |
|   33  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q6YMS4   |      7.83     |
|   34  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q1A136   |      7.81     |
|   35  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    P17763   |      7.80     |
|   36  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q6YMS1   |      7.80     |
|   37  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q6YMS2   |      7.80     |
|   38  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q6YMS3   |      7.80     |
|   39  | AYOUDDAETNMCBW-GSHUGGBRSA-N |  A0A6B9WHC8 |      7.79     |
|   40  | XUKUURHRXDUEBC-KAYWLYCHSA-N |  A0A6M3GXH9 |      7.79     |
|   41  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q86825   |      7.78     |
|   42  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A1S4F2S4 |      7.77     |
|   43  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    Q6YMS4   |      7.77     |
|   44  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q1A136   |      7.76     |
|   45  | AYOUDDAETNMCBW-GSHUGGBRSA-N |  A0A6B9WHD5 |      7.76     |
|   46  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6B9WHL6 |      7.75     |
|   47  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q6YMS1   |      7.75     |
|   48  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q6YMS2   |      7.75     |
|   49  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A1S4F2S4 |      7.75     |
|   50  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6M3GXH9 |      7.75     |
|   51  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    Q6YMS3   |      7.74     |
|   52  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    P27915   |      7.74     |
|   53  | GKHRDWHFKKUYAX-KSZLIROESA-N |    P27915   |      7.73     |
|   54  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q86825   |      7.71     |
|   55  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    Q6YMS1   |      7.70     |
|   56  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    Q6YMS2   |      7.70     |
|   57  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q86825   |      7.68     |
|   58  | GDCDJDVICJMYLY-HBMCJLEFSA-N |    Q6YMS7   |      7.67     |
|   59  | XUKUURHRXDUEBC-KAYWLYCHSA-N |  A0A1S4F2S4 |      7.66     |
|   60  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    P17763   |      7.66     |
|   61  | XEAOPVUAMONVLA-QGZVFWFLSA-N |  A0A6B9WHC8 |      7.65     |
|   62  | PPUXXDKQNAHHON-BJLQDIEVSA-N |  A0A6B9WHC8 |      7.65     |
|   63  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    P27915   |      7.65     |
|   64  | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A6B9WHH1 |      7.65     |
|   65  | SHZPNDRIDUBNMH-NIJVSVLQSA-L |  A0A6B9WHC8 |      7.64     |
|   66  | GPNFRRPXCRWXHN-MNSAWQCASA-L |  A0A6B9WHC8 |      7.64     |
|   67  | FQCKMBLVYCEXJB-MNSAWQCASA-L |  A0A6B9WHC8 |      7.64     |
|   68  | AYOUDDAETNMCBW-GSHUGGBRSA-N |  A0A6M3GXE4 |      7.64     |
|   69  | PPUXXDKQNAHHON-BJLQDIEVSA-N |  A0A6B9WHD5 |      7.64     |
|   70  | GKHRDWHFKKUYAX-KSZLIROESA-N |    P17763   |      7.63     |
|   71  | XEAOPVUAMONVLA-QGZVFWFLSA-N |  A0A6B9WHD5 |      7.62     |
|   72  | SHZPNDRIDUBNMH-NIJVSVLQSA-L |  A0A6B9WHD5 |      7.61     |
|   73  | GPNFRRPXCRWXHN-MNSAWQCASA-L |  A0A6B9WHD5 |      7.61     |
|   74  | FQCKMBLVYCEXJB-MNSAWQCASA-L |  A0A6B9WHD5 |      7.61     |
|   75  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    P27915   |      7.61     |
|   76  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |  A0A6B9WHC8 |      7.60     |
|   77  | AYOUDDAETNMCBW-GSHUGGBRSA-N |  A0A1S4F2S4 |      7.60     |
|   78  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |  A0A6B9WHD5 |      7.59     |
|   79  | GDCDJDVICJMYLY-HBMCJLEFSA-N |  A0A1S4F2T6 |      7.59     |
|   80  | XEAOPVUAMONVLA-QGZVFWFLSA-N |    Q6YMS4   |      7.58     |
|   81  | GCUZFFAPBPDIFM-IKXQUJFKSA-M |  A0A6B9WHD5 |      7.57     |
|   82  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS4   |      7.57     |
|   83  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    P17763   |      7.57     |
|   84  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    Q1A136   |      7.56     |
|   85  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |    Q6YMS7   |      7.56     |
|   86  | AYOUDDAETNMCBW-GSHUGGBRSA-N |  A0A6B9WHL6 |      7.56     |
|   87  | XEAOPVUAMONVLA-QGZVFWFLSA-N |    Q6YMS3   |      7.55     |
|   88  | AYOUDDAETNMCBW-GSHUGGBRSA-N |  A0A6M3GXH9 |      7.55     |
|   89  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS3   |      7.54     |
|   90  | GCUZFFAPBPDIFM-IKXQUJFKSA-M |  A0A6B9WHC8 |      7.54     |
|   91  | PPUXXDKQNAHHON-BJLQDIEVSA-N |  A0A6M3GXE4 |      7.51     |
|   92  | XEAOPVUAMONVLA-QGZVFWFLSA-N |    Q6YMS1   |      7.51     |
|   93  | XEAOPVUAMONVLA-QGZVFWFLSA-N |    Q6YMS2   |      7.51     |
|   94  | PPUXXDKQNAHHON-BJLQDIEVSA-N |    Q6YMS4   |      7.51     |
|   95  | XEAOPVUAMONVLA-QGZVFWFLSA-N |  A0A6M3GXE4 |      7.51     |
|   96  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    P17763   |      7.50     |
|   97  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS1   |      7.49     |
|   98  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS2   |      7.49     |
|   99  | XUKUURHRXDUEBC-KAYWLYCHSA-N |    Q6YMS7   |      7.49     |
|  100  | IBEANEPZNLVRRY-RCZVLFRGSA-N |  A0A6B9WHD5 |      7.49     |
|  101  | DCGOBMXDEKHEOP-KRWDZBQOSA-N |  A0A6B9WHC8 |      7.48     |
|  102  | DCGOBMXDEKHEOP-KRWDZBQOSA-N |  A0A6B9WHD5 |      7.48     |
|  103  | IBEANEPZNLVRRY-RCZVLFRGSA-N |  A0A6B9WHC8 |      7.48     |
|  104  | RPDFDSQFBCJTDY-GAQXSTBRSA-N |  A0A6B9WHC8 |      7.48     |
|  105  | PPUXXDKQNAHHON-BJLQDIEVSA-N |    Q6YMS3   |      7.48     |
|  106  | WSMQUUGTQYPVPD-OAHLLOKOSA-N |  A0A6B9WHC8 |      7.48     |
|  107  | GKHRDWHFKKUYAX-KSZLIROESA-N |  A0A6B9WHH1 |      7.47     |
|  108  | RPDFDSQFBCJTDY-GAQXSTBRSA-N |  A0A6B9WHD5 |      7.47     |
|  109  | WSMQUUGTQYPVPD-OAHLLOKOSA-N |  A0A6B9WHD5 |      7.47     |
|  110  | SHZPNDRIDUBNMH-NIJVSVLQSA-L |  A0A6M3GXE4 |      7.46     |
|  111  | GPNFRRPXCRWXHN-MNSAWQCASA-L |  A0A6M3GXE4 |      7.46     |
|  112  | FQCKMBLVYCEXJB-MNSAWQCASA-L |  A0A6M3GXE4 |      7.46     |
|  113  | XEAOPVUAMONVLA-QGZVFWFLSA-N |  A0A1S4F2S4 |      7.46     |
|  114  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |  A0A6M3GXE4 |      7.46     |
|  115  | AYOUDDAETNMCBW-GSHUGGBRSA-N |    Q86825   |      7.46     |
|  116  | GIRQUEZTDUZNPE-GQKVEGPNSA-N |  A0A6B9WHH1 |      7.46     |
|  117  | GKHRDWHFKKUYAX-KSZLIROESA-N |    Q6YMS7   |      7.45     |
|  118  | SHZPNDRIDUBNMH-NIJVSVLQSA-L |    Q6YMS4   |      7.45     |
|  119  | GPNFRRPXCRWXHN-MNSAWQCASA-L |    Q6YMS4   |      7.45     |
|  120  | FQCKMBLVYCEXJB-MNSAWQCASA-L |    Q6YMS4   |      7.45     |
|  121  | XEAOPVUAMONVLA-QGZVFWFLSA-N |  A0A6B9WHL6 |      7.45     |
|  122  | DCGOBMXDEKHEOP-KRWDZBQOSA-N |    Q6YMS4   |      7.45     |
|  123  | PPUXXDKQNAHHON-BJLQDIEVSA-N |    Q1A136   |      7.44     |
