|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    P29991   |     13.70     |
|   2   | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    P27915   |     13.68     |
|   3   | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    P29990   |     13.66     |
|   4   | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    Q6YMS4   |     13.61     |
|   5   | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    Q6YMS3   |     13.60     |
|   6   | BMGQWWVMWDBQGC-IIFHNQTCSA-N |    P17763   |     13.55     |
|   7   | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P27915   |     13.48     |
|   8   | DMQYDVBIPXAAJA-VHXPQNKSSA-N |  A0A6B9WHK4 |     13.44     |
|   9   | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P29991   |     13.43     |
|   10  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS1   |     13.42     |
|   11  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS2   |     13.42     |
|   12  | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    Q6YMS4   |     13.42     |
|   13  | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    Q6YMS3   |     13.42     |
|   14  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |  A0A6B9WHJ8 |     13.41     |
|   15  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P27915   |     13.40     |
|   16  | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P27915   |     13.39     |
|   17  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P29991   |     13.38     |
|   18  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |  A0A6B9WHD5 |     13.38     |
|   19  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |    Q6YMS1   |     13.37     |
|   20  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |    Q6YMS2   |     13.37     |
|   21  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P29990   |     13.37     |
|   22  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHH1 |     13.36     |
|   23  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P29990   |     13.36     |
|   24  | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P29990   |     13.36     |
|   25  | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P17763   |     13.35     |
|   26  | UIARLYUEJFELEN-LROUJFHJSA-N |    P27915   |     13.35     |
|   27  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS4   |     13.35     |
|   28  | WPHKIQPVPYJNAX-UHFFFAOYSA-N |    P29991   |     13.35     |
|   29  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS3   |     13.35     |
|   30  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29991   |     13.34     |
|   31  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |  A0A6B9WHH1 |     13.33     |
|   32  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P17763   |     13.32     |
|   33  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29990   |     13.32     |
|   34  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS4   |     13.31     |
|   35  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS4   |     13.31     |
|   36  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |  A0A6B9WHC8 |     13.31     |
|   37  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS3   |     13.31     |
|   38  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHC8 |     13.29     |
|   39  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    Q6YMS3   |     13.29     |
|   40  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHJ8 |     13.28     |
|   41  | UIARLYUEJFELEN-LROUJFHJSA-N |    P17763   |     13.27     |
|   42  | KSOVGRCOLZZTPF-QMKUDKLTSA-N |    P17763   |     13.26     |
|   43  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q1A136   |     13.25     |
|   44  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHH1 |     13.25     |
|   45  | HUXYBQXJVXOMKX-UHFFFAOYSA-N |  A0A6B9WHD5 |     13.25     |
|   46  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A6B9WHH1 |     13.24     |
|   47  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHK4 |     13.23     |
|   48  | DMQYDVBIPXAAJA-VHXPQNKSSA-N |  A0A6B9WHL6 |     13.20     |
|   49  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHL6 |     13.20     |
|   50  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6M3GXH9 |     13.18     |
|   51  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q86825   |     13.18     |
|   52  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |  A0A6B9WHH1 |     13.18     |
|   53  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6M3GXE4 |     13.18     |
|   54  | HUXYBQXJVXOMKX-UHFFFAOYSA-N |  A0A6B9WHK4 |     13.18     |
|   55  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6M3GXH9 |     13.18     |
|   56  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    P29991   |     13.17     |
|   57  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6M3GXE4 |     13.17     |
|   58  | BMGQWWVMWDBQGC-IIFHNQTCSA-N |  A0A6B9WHK4 |     13.16     |
|   59  | RYYNGWLOYLRZLK-UHFFFAOYSA-N |    P27915   |     13.15     |
|   60  | HUXYBQXJVXOMKX-UHFFFAOYSA-N |  A0A6B9WHL6 |     13.15     |
