UniProtId,Label,Gene_Name,
Q16671,reviewed,AMHR2_HUMAN,
Q92563,reviewed,TICN2_HUMAN,
A4IF30,reviewed,S35F4_HUMAN,
Q9NZD1,reviewed,GPC5D_HUMAN,
Q8NFK1,reviewed,CXG3_HUMAN,
O76002,reviewed,OR2J2_HUMAN,
Q9Y6V7,reviewed,DDX49_HUMAN,
P05538,reviewed,DQB2_HUMAN,
Q13316,reviewed,DMP1_HUMAN,
D6RCP7,reviewed,U17LJ_HUMAN,
Q9ULC6,reviewed,PADI1_HUMAN,
Q96J94,reviewed,PIWL1_HUMAN,
O60602,reviewed,TLR5_HUMAN,
A0A0B4J275,reviewed,TVA17_HUMAN,
Q9Y5I2,reviewed,PCDAA_HUMAN,
Q495C1,reviewed,RN212_HUMAN,
O00487,reviewed,PSDE_HUMAN,
A1L3X0,reviewed,ELOV7_HUMAN,
Q92564,reviewed,DCNL4_HUMAN,
Q96B23,reviewed,ARK2N_HUMAN,
P19883,reviewed,FST_HUMAN,
Q9BW62,reviewed,KATL1_HUMAN,
O76001,reviewed,OR2J3_HUMAN,
Q59GN2,reviewed,R39L5_HUMAN,
P07358,reviewed,CO8B_HUMAN,
Q9ULC5,reviewed,ACSL5_HUMAN,
Q7RTS5,reviewed,OTOP3_HUMAN,
O60603,reviewed,TLR2_HUMAN,
A0A0B4J276,reviewed,TVA25_HUMAN,
Q02742,reviewed,GCNT1_HUMAN,
Q9Y5I3,reviewed,PCDA1_HUMAN,
Q9BQP9,reviewed,BPIA3_HUMAN,
P0DI82,reviewed,TPC2B_HUMAN,
Q6RSH7,reviewed,VHLL_HUMAN,
P30566,reviewed,PUR8_HUMAN,
A2RUB6,reviewed,CCD66_HUMAN,
Q9P1D8,reviewed,YP008_HUMAN,
P51654,reviewed,GPC3_HUMAN,
Q92565,reviewed,RPGF5_HUMAN,
Q9UNA4,reviewed,POLI_HUMAN,
O76000,reviewed,OR2B3_HUMAN,
Q8NBV4,reviewed,PLPP7_HUMAN,
Q13310,reviewed,PABP4_HUMAN,
Q5SWW7,reviewed,CJ055_HUMAN,
P07359,reviewed,GP1BA_HUMAN,
Q9ULC4,reviewed,MCTS1_HUMAN,
Q96J92,reviewed,WNK4_HUMAN,
Q7RTS6,reviewed,OTOP2_HUMAN,
A0A0B4J277,reviewed,TVA22_HUMAN,
Q9H582,reviewed,ZN644_HUMAN,
P13051,reviewed,UNG_HUMAN,
P16066,reviewed,ANPRA_HUMAN,
A0A0B4J2A2,reviewed,PAL4C_HUMAN,
Q4G0J3,reviewed,LARP7_HUMAN,
Q567U6,reviewed,CCD93_HUMAN,
Q16674,reviewed,MIA_HUMAN,
P41229,reviewed,KDM5C_HUMAN,
Q6ZRM9,reviewed,YG024_HUMAN,
P23435,reviewed,CBLN1_HUMAN,
Q5JVG8,reviewed,ZN506_HUMAN,
Q96B21,reviewed,TM45B_HUMAN,
Q9NZD2,reviewed,GLTP_HUMAN,
Q9BW60,reviewed,ELOV1_HUMAN,
Q96LM9,reviewed,CT173_HUMAN,
Q9ULC3,reviewed,RAB23_HUMAN,
Q03989,reviewed,ARI5A_HUMAN,
Q7RTS7,reviewed,K2C74_HUMAN,
Q5U4P2,reviewed,ASPH1_HUMAN,
Q9H583,reviewed,HEAT1_HUMAN,
