|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.94     |
|   2   | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHD5 |      8.91     |
|   3   | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.90     |
|   4   | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A6B9WHL6 |      8.89     |
|   5   | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHC8 |      8.88     |
|   6   | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHL6 |      8.87     |
|   7   | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A6B9WHK4 |      8.85     |
|   8   | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHK4 |      8.81     |
|   9   | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A6M3GXE4 |      8.81     |
|   10  | PHXJVRSECIGDHY-UHFFFAOYSA-N |    Q86825   |      8.78     |
|   11  | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6M3GXE4 |      8.78     |
|   12  | VZBVEWNPFLFUCS-FXADVQPWSA-N |    Q86825   |      8.76     |
|   13  | PHXJVRSECIGDHY-UHFFFAOYSA-N |    Q1A136   |      8.75     |
|   14  | VZBVEWNPFLFUCS-FXADVQPWSA-N |    Q1A136   |      8.72     |
|   15  | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A6B9WHJ8 |      8.72     |
|   16  | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A6B9WHJ8 |      8.70     |
|   17  | PHXJVRSECIGDHY-UHFFFAOYSA-N |    Q6YMS7   |      8.69     |
|   18  | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A1S4F2T6 |      8.68     |
|   19  | PGSRKJVMAOWDEC-SXOMAYOGSA-N |  A0A6B9WHD5 |      8.67     |
|   20  | PGSRKJVMAOWDEC-UHFFFAOYSA-N |  A0A6B9WHD5 |      8.67     |
|   21  | VZBVEWNPFLFUCS-FXADVQPWSA-N |    Q6YMS7   |      8.66     |
|   22  | VZBVEWNPFLFUCS-FXADVQPWSA-N |  A0A1S4F2T6 |      8.65     |
|   23  | PGSRKJVMAOWDEC-SXOMAYOGSA-N |  A0A6B9WHC8 |      8.65     |
|   24  | PGSRKJVMAOWDEC-UHFFFAOYSA-N |  A0A6B9WHC8 |      8.65     |
|   25  | PHXJVRSECIGDHY-UHFFFAOYSA-N |  A0A1S4F2S4 |      8.64     |
