|  Rank |          Drug Name          | Target Name | Binding Score |
|   1   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHH1 |      8.44     |
|   2   | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHH1 |      8.14     |
|   3   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A1S4F2S4 |      7.79     |
|   4   | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A1S4F2S4 |      7.79     |
|   5   | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6M3GXE4 |      7.73     |
|   6   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHD5 |      7.69     |
|   7   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q86825   |      7.69     |
|   8   | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHD5 |      7.68     |
|   9   | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6M3GXH9 |      7.67     |
|   10  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q1A136   |      7.66     |
|   11  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6M3GXE4 |      7.64     |
|   12  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P27915   |      7.64     |
|   13  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS4   |      7.60     |
|   14  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q1A136   |      7.59     |
|   15  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q86825   |      7.58     |
|   16  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6M3GXH9 |      7.58     |
|   17  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    P17763   |      7.58     |
|   18  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHK4 |      7.56     |
|   19  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHK4 |      7.56     |
|   20  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A1S4F2T6 |      7.56     |
|   21  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS1   |      7.55     |
|   22  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS2   |      7.55     |
|   23  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS3   |      7.54     |
|   24  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHJ8 |      7.53     |
|   25  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS4   |      7.53     |
|   26  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS3   |      7.52     |
|   27  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS1   |      7.52     |
|   28  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS2   |      7.52     |
|   29  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHL6 |      7.52     |
|   30  | UIARLYUEJFELEN-LROUJFHJSA-N |    P27915   |      7.51     |
|   31  | UIARLYUEJFELEN-LROUJFHJSA-N |    P17763   |      7.49     |
|   32  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHL6 |      7.46     |
|   33  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A1S4F2T6 |      7.43     |
|   34  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHC8 |      7.43     |
|   35  | UIARLYUEJFELEN-LROUJFHJSA-N |  A0A6B9WHJ8 |      7.40     |
|   36  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |  A0A6B9WHC8 |      7.38     |
|   37  | UIARLYUEJFELEN-LROUJFHJSA-N |    Q6YMS7   |      7.35     |
|   38  | UIARLYUEJFELEN-LROUJFHJSA-N |    P29991   |      7.30     |
|   39  | PBCZSGKMGDDXIJ-HQCWYSJUSA-N |    Q6YMS7   |      7.22     |
